name,address,LHIN,licensee,management,home_type,beds,short_stay,residents_council,family_council,accreditation,additional_info,city,postal_code,number_of_beds,last_rqi_date,first_inspection_date,last_inspection_date,total_inspections,5y_inspections,2y_inspections,total_complaints,5y_complaints,2y_complaints,total_critical,5y_critical,2y_critical,total_withOrders,5y_withOrders,2y_withOrders
GOLDEN PLOUGH LODGE,983 Burnham Street,Central East,The Corporation Of The County Of Northumberland,,Municipal,Home with approximately 151 beds,No,Yes,Yes,Yes,,Cobourg, K9A5J6,151.0,2017-04-20,2010-09-22,2020-07-17,61.0,29.0,4.0,17.0,8.0,1.0,27.0,8.0,3.0,11.0,6.0,
GOLDEN YEARS NURSING HOME,704 Eagle Street North P.O. Box 3277,Waterloo Wellington,Golden Years Nursing Homes (Cambridge) Inc.,,For-Profit,Home with approximately 90 beds,No,Yes,Yes,No,,Cambridge, N3H4T3,90.0,2018-03-19,2010-07-21,2020-10-16,54.0,24.0,10.0,23.0,9.0,3.0,12.0,5.0,3.0,14.0,8.0,4.0
GOOD SAMARITAN NURSING HOME,481 Victoria Street East,Central,Clurelea Ltd.,,For-Profit,Home with approximately 64 beds,No,Yes,No,Yes,,Alliston, L9R1J8,64.0,2017-12-21,2011-11-29,2020-10-05,14.0,8.0,4.0,3.0,,,5.0,3.0,2.0,1.0,1.0,1.0
GRACE MANOR,45 Kingknoll Drive,Central West,Holland Christian Homes Inc.,,Non-Profit,Home with approximately 120 beds,No,Yes,Yes,Yes,,Brampton, L6Y5P2,120.0,2017-05-12,2010-08-05,2020-09-03,33.0,16.0,9.0,20.0,7.0,5.0,11.0,3.0,3.0,11.0,5.0,1.0
GRACE VILLA NURSING HOME,45 Lockton Crescent,Hamilton Niagara Haldimand Brant (Hnhb),Grace Villa Limited,Apans Health Services,For-Profit,Home with approximately 184 beds,No,Yes,No,Yes,,Hamilton, L8V4V5,184.0,2018-11-28,2010-07-08,2020-05-22,79.0,24.0,10.0,37.0,9.0,4.0,13.0,5.0,4.0,31.0,13.0,4.0
GRANDVIEW LODGE / DUNNVILLE,657 Lock Street West,Hamilton Niagara Haldimand Brant (Hnhb),The Corporation Of Haldimand County,,Municipal,Home with approximately 128 beds,No,Yes,Yes,Yes,,Dunnville, N1A1V9,128.0,2018-11-06,2010-08-18,2019-11-04,37.0,17.0,7.0,16.0,8.0,4.0,12.0,4.0,1.0,9.0,5.0,
GRANITE RIDGE CARE COMMUNITY,5501 Abbott Street East,Champlain,Specialty Care Ottawa Inc.,,For-Profit,Home with approximately 224 beds,No,Yes,Yes,Yes,,Stittsville, K2S2C5,224.0,2017-11-14,2010-08-30,2020-10-15,32.0,20.0,8.0,16.0,8.0,5.0,17.0,9.0,3.0,2.0,,
GREENWOOD COURT,90 Greenwood Drive,South West,Tri-county Mennonite Homes,,Non-Profit,Home with approximately 45 beds,No,Yes,No,No,,Stratford, N5A7W5,45.0,2017-05-16,2010-09-27,2020-09-08,20.0,12.0,3.0,6.0,4.0,,4.0,3.0,2.0,4.0,1.0,
GREY GABLES HOME FOR THE AGED,206 Toronto Street South,South West,Corporation Of The County Of Grey,,Municipal,Home with approximately 66 beds,No,Yes,Yes,No,,Markdale, N0C1H0,66.0,2018-12-06,2010-08-05,2020-09-23,39.0,18.0,7.0,10.0,6.0,2.0,21.0,5.0,1.0,8.0,5.0,3.0
GROVE PARK HOME FOR SENIOR CITIZENS,234 Cook Street,North Simcoe Muskoka,Grove Park Home For Senior Citizens,,Non-Profit,Home with approximately 143 beds,No,Yes,No,Yes,,Barrie, L4M4H5,143.0,2017-12-27,2012-02-01,2020-07-31,22.0,14.0,8.0,5.0,3.0,3.0,9.0,5.0,4.0,3.0,1.0,
GROVES PARK LODGE,470 Raglan Street North,Champlain,Gem Health Care Group Limited,,For-Profit,Home with approximately 90 beds,Yes,Yes,Yes,Yes,,Renfrew, K7V1P5,90.0,2017-10-17,2010-10-19,2019-12-06,19.0,14.0,8.0,4.0,3.0,2.0,10.0,7.0,5.0,3.0,3.0,2.0
H.J. MCFARLAND MEMORIAL HOME,"R.R. #2, 603 Highway 49 Hallowell Township",South East,County Of Prince Edward,,Municipal,Home with approximately 84 beds,No,Yes,Yes,Yes,,Picton, K0K2T0,84.0,2018-07-16,2011-05-10,2020-09-30,60.0,33.0,11.0,16.0,8.0,3.0,31.0,15.0,7.0,14.0,9.0,2.0
HALLOWELL HOUSE,13628 Loyalist Parkway,South East,Revera Long Term Care Inc.,,For-Profit,Home with approximately 97 beds,No,Yes,Yes,Yes,,Picton, K0K2T0,97.0,2018-10-29,2010-09-09,2020-07-21,40.0,17.0,7.0,17.0,6.0,3.0,18.0,5.0,3.0,5.0,5.0,2.0
HAMILTON CONTINUING CARE,125 Wentworth Street South,Hamilton Niagara Haldimand Brant (Hnhb),Schlegel Villages Inc.,,For-Profit,Home with approximately 64 beds,No,Yes,No,Yes,,Hamilton, L8N2Z1,64.0,2018-12-04,2010-11-21,2020-08-10,40.0,19.0,6.0,15.0,3.0,1.0,13.0,4.0,1.0,14.0,9.0,2.0
HAMPTON TERRACE CARE CENTRE,75 Plains Road West,Hamilton Niagara Haldimand Brant (Hnhb),Unger Nursing Homes Limited,,For-Profit,Home with approximately 101 beds,No,Yes,Yes,Yes,,Burlington, L7T1E8,101.0,2017-05-08,2011-09-21,2020-09-16,31.0,14.0,5.0,16.0,5.0,2.0,4.0,3.0,1.0,11.0,5.0,1.0
HANOVER CARE CENTRE,700-19th Avenue,South West,Hanover Nursing Home Limited,,For-Profit,Home with approximately 41 beds,No,Yes,No,No,,Hanover, N4N3S6,41.0,2017-10-18,2010-11-24,2020-09-11,21.0,12.0,3.0,8.0,3.0,1.0,7.0,3.0,2.0,4.0,2.0,
HARDY TERRACE,612 Mount Pleasant Road R. R. #2,Hamilton Niagara Haldimand Brant (Hnhb),"Diversicare Canada Management Services Co., Inc.",,For-Profit,Home with approximately 101 beds,Yes,Yes,Yes,Yes,,Brantford, N3T5L5,101.0,2017-11-21,2010-09-02,2020-08-05,44.0,18.0,10.0,21.0,6.0,4.0,16.0,6.0,4.0,14.0,6.0,4.0
HARMONY HILLS CARE COMMUNITY,1800 O'Connor Drive,Toronto Central,2063414 Ontario Limited As General Partner Of 2063414 Investment Lp,,For-Profit,Home with approximately 160 beds,No,Yes,Yes,Yes,,Toronto, M4A1W7,160.0,2017-11-06,2010-12-14,2020-02-14,17.0,7.0,4.0,6.0,2.0,2.0,7.0,2.0,2.0,1.0,,
HAROLD AND GRACE BAKER CENTRE,1 Northwestern Avenue,Central,Harold And Grace Baker Centre,Revera Long Term Care Inc.,Non-Profit,Home with approximately 120 beds,No,Yes,Yes,Yes,,Toronto, M6M2J7,120.0,2018-09-06,2011-06-20,2020-05-22,19.0,10.0,3.0,12.0,3.0,1.0,5.0,2.0,1.0,3.0,1.0,
HASTINGS CENTENNIAL MANOR,1 Manor Lane P.O. Box 758,South East,The Corporation Of The County Of Hastings,,Municipal,Home with approximately 110 beds,Yes,Yes,Yes,Yes,,Bancroft, K0L1C0,110.0,2018-07-23,2011-03-01,2020-08-25,32.0,26.0,12.0,7.0,5.0,5.0,20.0,16.0,6.0,2.0,1.0,
HASTINGS MANOR HOME FOR THE AGED,476 Dundas Street West P.O. Box 458,South East,The Corporation Of The County Of Hastings,,Municipal,Home with approximately 253 beds,Yes,Yes,Yes,Yes,,Belleville, K8N5B2,253.0,2018-03-07,2010-09-29,2020-09-18,70.0,55.0,12.0,29.0,21.0,6.0,35.0,25.0,5.0,9.0,8.0,
HAWTHORN WOODS CARE COMMUNITY,9257 Goreway Drive,Central West,2063414 Ontario Limited As General Partner Of 2063414 Investment Lp,,For-Profit,Home with approximately 160 beds,No,Yes,Yes,Yes,,Brampton, L6P0N5,160.0,2018-10-02,2010-09-16,2020-10-14,57.0,25.0,13.0,27.0,7.0,4.0,26.0,11.0,6.0,8.0,6.0,3.0
HAWTHORNE PLACE CARE CENTRE,2045 Finch Avenue West,Central,Rykka Care Centres Lp,,For-Profit,Home with approximately 269 beds,Yes,Yes,Yes,Yes,,North York, M3N1M9,269.0,2018-12-13,2010-11-04,2020-08-26,85.0,28.0,10.0,45.0,12.0,5.0,29.0,9.0,2.0,27.0,9.0,5.0
HEARTWOOD (FKA VERSA-CARE CORNWALL),201-11th Street East,Champlain,Heartwood Operating Inc.,,For-Profit,Home with approximately 118 beds,No,Yes,Yes,Yes,,Cornwall, K6H2Y6,118.0,2018-01-09,2010-10-14,2020-07-17,38.0,23.0,12.0,20.0,13.0,6.0,15.0,6.0,4.0,2.0,2.0,2.0
HEIDEHOF LONG TERM CARE HOME,600 Lake Street,Hamilton Niagara Haldimand Brant (Hnhb),"Benevolent Society ""heidehof"" For The Care Of The Aged",,Non-Profit,Home with approximately 106 beds,No,Yes,No,No,,St. Catharines, L2N4J4,106.0,2018-08-27,2011-05-05,2020-02-19,21.0,11.0,3.0,6.0,2.0,,4.0,1.0,,6.0,4.0,
HELEN HENDERSON NURSING HOME,343 Amherst Drive,South East,Gibson Holdings (Ontario) Ltd.,,For-Profit,Home with approximately 104 beds,No,Yes,Yes,Yes,,Amherstview, K7N1X3,104.0,2018-07-04,2010-09-27,2020-01-20,57.0,26.0,8.0,29.0,11.0,2.0,14.0,8.0,4.0,6.0,2.0,2.0
HELLENIC CARE FOR SENIORS (TORONTO),215 Tyrrel Avenue,Toronto Central,Hellenic Care For Seniors (Toronto) Inc.,,Non-Profit,Home with approximately 81 beds,No,Yes,No,Yes,,Toronto, M6G4A9,81.0,2017-10-20,2011-12-01,2020-01-20,19.0,9.0,5.0,9.0,2.0,2.0,4.0,2.0,2.0,1.0,1.0,1.0
HELLENIC HOME - SCARBOROUGH,2411 Lawrence Avenue East,Central East,Hellenic Home For The Aged Inc.,,Non-Profit,Home with approximately 128 beds,Yes,Yes,Yes,Yes,,Scarborough, M1P4X1,128.0,2018-02-07,2010-07-15,2020-03-04,35.0,15.0,10.0,24.0,6.0,4.0,5.0,3.0,2.0,4.0,4.0,4.0
HENLEY PLACE,1961 Cedarhollow Blvd,South West,Henley Place Limited,Primacare Living Solutions Inc.,For-Profit,Home with approximately 192 beds,No,Yes,Yes,Yes,,London, N5X0K2,192.0,2018-05-18,2014-03-07,2020-09-25,59.0,41.0,16.0,32.0,17.0,4.0,20.0,16.0,9.0,6.0,5.0,2.0
HERITAGE GREEN NURSING HOME,353 Isaac Brock Drive,Hamilton Niagara Haldimand Brant (Hnhb),Heritage Green Nursing Home,,Non-Profit,Home with approximately 167 beds,No,Yes,Yes,Yes,,Stoney Creek, L8J2J3,167.0,2018-05-18,2010-08-06,2020-01-20,60.0,26.0,15.0,23.0,9.0,6.0,11.0,4.0,3.0,28.0,11.0,3.0
HERON TERRACE LONG TERM CARE COMMUNITY,11550 McNorton Street,Erie St. Clair,S & R Nursing Homes Ltd.,,For-Profit,Home with approximately 140 beds,No,Yes,No,Yes,,Windsor, N8P1T9,140.0,2017-07-18,2010-12-07,2020-09-25,87.0,35.0,9.0,55.0,20.0,5.0,28.0,12.0,4.0,5.0,,
HIGHLAND WOOD,7199 Gelert Road P.O. Box 115,Central East,Haliburton Highlands Health Services Corporation,,Non-Profit,Home with approximately 30 beds,No,Yes,Yes,Yes,,Haliburton, K0M1S0,30.0,2017-10-06,2011-08-19,2020-02-27,14.0,9.0,5.0,2.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,1.0
HILLCREST VILLAGE CARE CENTRE,255 Russell Street,North Simcoe Muskoka,Hillcrest Village Inc.,,For-Profit,Home with approximately 164 beds,No,Yes,Yes,Yes,,Midland, L4R5L6,164.0,2018-07-11,2011-06-26,2020-10-07,22.0,12.0,6.0,10.0,3.0,2.0,11.0,5.0,3.0,2.0,2.0,1.0
HILLEL LODGE,10 Nadolny Sachs Private,Champlain,The Ottawa Jewish Home For The Aged,,Non-Profit,Home with approximately 121 beds,No,Yes,Yes,Yes,,Ottawa, K2A4G7,121.0,2017-07-11,2011-08-18,2020-09-28,46.0,30.0,14.0,28.0,16.0,10.0,14.0,8.0,4.0,7.0,5.0,2.0
HILLSDALE ESTATES,590 Oshawa Blvd. North,Central East,Regional Municipality Of Durham,,Municipal,Home with approximately 300 beds,No,Yes,Yes,Yes,,Oshawa, L1G5T9,300.0,2018-06-26,2010-08-18,2020-11-05,49.0,28.0,11.0,24.0,10.0,4.0,22.0,9.0,5.0,12.0,9.0,5.0
HILLSDALE TERRACES,600 Oshawa Blvd. North,Central East,Regional Municipality Of Durham,,Municipal,Home with approximately 200 beds,No,Yes,Yes,Yes,,Oshawa, L1G5T9,200.0,2017-11-09,2010-08-16,2020-11-17,55.0,24.0,7.0,30.0,13.0,5.0,22.0,7.0,2.0,5.0,3.0,1.0
HILLSIDE MANOR,R. R. #5,South West,Revera Long Term Care Inc.,,For-Profit,Home with approximately 90 beds,No,Yes,Yes,Yes,,Stratford, N5A6S6,90.0,2017-12-20,2010-08-26,2020-10-19,27.0,15.0,7.0,8.0,4.0,2.0,16.0,7.0,5.0,1.0,1.0,
HILLTOP MANOR NURSING HOME (MERRICKVILLE),1005 St Lawrence Street P.O. Box 430,South East,Hilltop Manor Nursing Home,,For-Profit,Home with approximately 60 beds,No,Yes,Yes,No,,Merrickville, K0G1N0,60.0,2017-07-18,2010-08-01,2020-08-31,40.0,11.0,4.0,23.0,3.0,1.0,5.0,3.0,1.0,8.0,2.0,1.0
HOGARTH RIVERVIEW MANOR,300 Lillie Street,North West,St. Joseph's Care Group,Extendicare (Canada) Inc.,Non-Profit,Home with approximately 543 beds,No,Yes,Yes,Yes,,Thunder Bay, P7C4Y7,543.0,2018-05-24,2010-09-21,2020-10-01,79.0,57.0,28.0,34.0,22.0,11.0,27.0,15.0,10.0,46.0,33.0,13.0
HOPE STREET TERRACE,20 Hope Street South,Central East,"Cvh (No. 6) Lp By Its General Partners, Southbridge Health Care Gp Inc. And Southbridge Care Homes (A Limited Partnership, By Its General Partner, Southbridge Care Homes Inc.)",,For-Profit,Home with approximately 97 beds,Yes,Yes,No,Yes,,Port Hope, L1A2M8,97.0,2018-02-09,2010-09-17,2020-06-10,38.0,19.0,7.0,10.0,3.0,1.0,19.0,9.0,4.0,6.0,1.0,1.0
HORNEPAYNE COMMUNITY HOSPITAL,278 Front Street P.O. Box 190,North East,Hornepayne Community Hospital,,Non-Profit,Home with approximately 12 beds,No,No,No,Yes,,Hornepayne, P0M1Z0,12.0,2018-06-21,2011-06-14,2020-10-01,11.0,7.0,4.0,2.0,,,,,,7.0,6.0,3.0
HUMBER VALLEY TERRACE,95 Humber College Blvd.,Central West,Humber Valley Terrace Operating Inc.,,For-Profit,Home with approximately 158 beds,No,Yes,Yes,Yes,,Rexdale, M9V5B5,158.0,2018-04-10,2010-11-30,2020-06-15,33.0,15.0,2.0,18.0,3.0,,8.0,5.0,1.0,8.0,7.0,2.0
HURON LODGE LONG TERM CARE HOME,1881 Cabana Road West,Erie St. Clair,Corporation Of The City Of Windsor,,Municipal,Home with approximately 224 beds,Yes,Yes,No,Yes,,Windsor, N9G1C7,224.0,2018-06-19,2010-11-03,2020-11-13,42.0,24.0,8.0,26.0,11.0,3.0,15.0,8.0,3.0,,,
HURONLEA HOME FOR THE AGED,820 Turnberry Street South,South West,Corporation Of The County Of Huron,,Municipal,Home with approximately 64 beds,No,Yes,Yes,No,,Brussels, N0G1H0,64.0,2017-10-18,2010-08-31,2020-08-24,25.0,14.0,5.0,6.0,5.0,2.0,13.0,3.0,2.0,4.0,2.0,1.0
HURONVIEW HOME FOR THE AGED,77722A London Road R.R. #5,South West,Corporation Of The County Of Huron,,Municipal,Home with approximately 120 beds,No,Yes,Yes,No,,Clinton, N0M1L0,120.0,2017-07-14,2010-09-15,2020-03-03,38.0,17.0,6.0,14.0,7.0,1.0,18.0,7.0,5.0,4.0,1.0,
HYLAND CREST,6 McPherson Street P.O. Box 30,Central East,Haliburton Highlands Health Services Corporation,,Municipal,Home with approximately 62 beds,Yes,Yes,Yes,Yes,,Minden, K0M2K0,62.0,2018-11-14,2010-10-19,2020-11-09,20.0,11.0,6.0,4.0,1.0,,12.0,5.0,5.0,7.0,4.0,2.0
IDLEWYLD MANOR,449 Sanatorium Road,Hamilton Niagara Haldimand Brant (Hnhb),Idlewyld Manor,,Non-Profit,Home with approximately 192 beds,No,Yes,Yes,Yes,,Hamilton, L9C2A7,192.0,2017-04-12,2010-08-17,2020-11-10,57.0,18.0,10.0,27.0,5.0,3.0,20.0,5.0,4.0,15.0,10.0,6.0
ILER LODGE,111 Iler Avenue,Erie St. Clair,Axr Operating (National) Lp,,For-Profit,Home with approximately 104 beds,No,Yes,Yes,Yes,,Essex, N8M1T6,104.0,2018-10-01,2010-08-26,2020-11-10,103.0,44.0,16.0,51.0,22.0,9.0,52.0,16.0,5.0,4.0,2.0,
INA GRAFTON GAGE HOME,40 Bell Estate Road,Central East,Ina Grafton Gage Home Of Toronto,,Non-Profit,Home with approximately 128 beds,No,No,Yes,Yes,,Scarborough, M1L0E2,128.0,2018-08-23,2010-07-08,2020-05-25,59.0,28.0,7.0,32.0,14.0,3.0,16.0,8.0,3.0,13.0,5.0,2.0
IOOF SENIORS HOME,10 Brooks Street,North Simcoe Muskoka,Ioof Seniors Homes Inc.,,Non-Profit,Home with approximately 188 beds,Yes,Yes,Yes,No,,Barrie, L4N7X2,188.0,2018-07-20,2011-02-09,2020-08-27,29.0,17.0,7.0,12.0,4.0,,11.0,7.0,4.0,10.0,7.0,3.0
IROQUOIS LODGE NURSING HOME,1755 Chiefswood Road P.O. Box 309,Hamilton Niagara Haldimand Brant (Hnhb),Six Nations Of The Grand River,Extendicare (Canada) Inc.,Non-Profit,Home with approximately 50 beds,Yes,Yes,Yes,Yes,,Ohsweken, N0A1M0,50.0,2018-04-17,2011-05-18,2020-10-21,17.0,12.0,7.0,5.0,2.0,1.0,6.0,3.0,3.0,4.0,4.0,2.0
ISABEL AND ARTHUR MEIGHEN MANOR,155 Millwood Road,Toronto Central,The Governing Council Of The Salvation Army In Canada,,Non-Profit,Home with approximately 168 beds,No,Yes,Yes,Yes,,Toronto, M4S1J6,168.0,2018-07-18,2011-01-06,2020-06-05,34.0,16.0,7.0,21.0,5.0,3.0,8.0,4.0,2.0,6.0,4.0,2.0
IVAN FRANKO HOME (ETOBICOKE),767 Royal York Road,Toronto Central,Ukrainian Home For The Aged,,Non-Profit,Home with approximately 85 beds,No,Yes,Yes,Yes,,Toronto, M8Y2T3,85.0,2018-01-15,2011-09-08,2019-10-09,11.0,7.0,5.0,1.0,,,5.0,4.0,4.0,1.0,,
JOHN NOBLE HOME,97 Mount Pleasant Street,Hamilton Niagara Haldimand Brant (Hnhb),The John Noble Home,,Municipal,Home with approximately 156 beds,No,Yes,Yes,Yes,,Brantford, N3T1T5,156.0,2017-12-07,2010-09-09,2020-10-23,23.0,7.0,2.0,7.0,2.0,1.0,11.0,2.0,1.0,2.0,2.0,1.0
KEMPTVILLE DISTRICT HOSPITAL,2675 Concession Road P. O. Bag 2007,Champlain,Kemptville District Hospital,,Non-Profit,Home with approximately 12 beds,Yes,Yes,Yes,Yes,,Kemptville, K0G1J0,12.0,2019-02-11,2011-10-19,2019-08-16,13.0,9.0,4.0,1.0,,,,,,4.0,4.0,1.0
KENNEDY LODGE,1400 Kennedy Road,Central East,Revera Long Term Care Inc.,,For-Profit,Home with approximately 289 beds,Yes,Yes,Yes,Yes,,Scarborough, M1P4V6,289.0,2018-07-03,2011-07-18,2020-02-04,23.0,9.0,5.0,7.0,2.0,2.0,13.0,3.0,2.0,2.0,2.0,1.0
KENSINGTON VILLAGE,1340 Huron Street,South West,Sharon Farms & Enterprises Limited,,For-Profit,Home with approximately 126 beds,Yes,Yes,Yes,Yes,,London, N5V3R3,126.0,2018-10-26,2010-07-20,2020-08-10,69.0,25.0,3.0,41.0,12.0,,13.0,6.0,1.0,10.0,4.0,1.0
KENTWOOD PARK,2 Ontario Street,South East,0760444 B.C. Ltd. As General Partner On Behalf Of Omni Health Care Limited Partnership,,For-Profit,Home with approximately 45 beds,No,Yes,Yes,Yes,,Picton, K0K2T0,45.0,2018-05-08,2010-09-08,2020-10-28,27.0,13.0,6.0,9.0,3.0,2.0,13.0,6.0,3.0,2.0,1.0,1.0
KILEAN LODGE,83 Main Street East,Hamilton Niagara Haldimand Brant (Hnhb),Revera Long Term Care Inc.,,For-Profit,Home with approximately 50 beds,No,Yes,Yes,Yes,,Grimsby, L3M1N6,50.0,2017-06-07,2010-10-29,2020-11-01,15.0,5.0,2.0,5.0,,,8.0,2.0,2.0,1.0,,
KING CITY LODGE NURSING HOME,146 Fog Road,Central,Poranganel Holdings Limited,,For-Profit,Home with approximately 36 beds,No,Yes,Yes,Yes,,King City, L7B1A3,36.0,2017-12-20,2011-09-30,2020-10-27,13.0,8.0,3.0,8.0,4.0,3.0,2.0,,,1.0,1.0,
KING NURSING HOME,49 Sterne Street,Central West,King Nursing Home Limited,,For-Profit,Home with approximately 86 beds,Yes,Yes,Yes,Yes,,Bolton, L7E1B9,86.0,2018-09-26,2010-08-17,2020-08-24,55.0,22.0,12.0,13.0,4.0,2.0,16.0,6.0,4.0,23.0,9.0,5.0
KINGSWAY LODGE NURSING HOME,310 Queen Street East R.R. #6,South West,Kingsway Nursing Homes Limited,,For-Profit,Home with approximately 63 beds,Yes,Yes,Yes,No,,St. Marys, N4X1C8,63.0,2018-05-04,2010-11-30,2020-02-24,18.0,10.0,4.0,6.0,1.0,,6.0,4.0,3.0,3.0,1.0,1.0
KIPLING ACRES,2233 Kipling Avenue,Central West,Toronto Long-term Care Homes And Services,,Municipal,Home with approximately 337 beds,Yes,Yes,Yes,Yes,,Etobicoke, M9W4L3,337.0,2018-05-04,2010-09-07,2020-08-14,41.0,20.0,11.0,20.0,7.0,5.0,19.0,8.0,5.0,3.0,3.0,2.0
KNOLLCREST LODGE,50 William Street,South West,Knollcrest Lodge,,Non-Profit,Home with approximately 78 beds,Yes,Yes,Yes,No,,Milverton, N0K1M0,78.0,2017-11-21,2010-12-20,2020-10-09,14.0,6.0,3.0,4.0,1.0,1.0,6.0,2.0,2.0,1.0,1.0,
KRISTUS DARZS LATVIAN HOME,11290 Pine Valley Drive,Central,Kristus Darzs Latvian Home,,Non-Profit,Home with approximately 100 beds,Yes,Yes,No,No,,Woodbridge, L4L1A6,100.0,2017-11-29,2011-11-17,2019-07-15,18.0,13.0,6.0,4.0,4.0,1.0,7.0,5.0,4.0,5.0,4.0,4.0
LABDARA LITHUANIAN NURSING HOME,5 Resurrection Road,Mississauga Halton,Labdara Foundation,Assured Care Consulting Inc.,Non-Profit,Home with approximately 90 beds,No,Yes,Yes,No,,Toronto, M9A5G1,90.0,2018-04-11,2010-09-28,2020-01-22,18.0,6.0,3.0,6.0,,,8.0,2.0,2.0,1.0,1.0,
LADY DUNN HEALTH CENTRE (WAWA),17 Government Road P.O. Box 179,North East,Lady Dunn Health Centre,,Non-Profit,Home with approximately 16 beds,Yes,Yes,Yes,Yes,,Wawa, P0S1K0,16.0,2018-04-17,2011-11-16,2020-11-06,15.0,10.0,3.0,2.0,1.0,,5.0,3.0,1.0,7.0,6.0,1.0
LAKELAND LONG TERM CARE (ELDCAP),6 Albert Street,North East,West Parry Sound Health Centre,,Non-Profit,Home with approximately 20 beds,No,No,No,No,,Parry Sound, P2A3A4,20.0,2017-06-14,2011-12-08,2020-06-17,13.0,8.0,2.0,3.0,1.0,,6.0,3.0,2.0,2.0,1.0,
LAKELAND LONG TERM CARE SERVICES,6 Albert Street,North East,Lakeland Long Term Care Services Corporation,,Non-Profit,Home with approximately 90 beds,No,Yes,No,No,,Parry Sound, P2A3A4,90.0,2017-06-14,2011-12-08,2020-06-17,23.0,17.0,10.0,5.0,3.0,2.0,10.0,6.0,5.0,8.0,6.0,2.0
LAKESHORE LODGE,3197 Lakeshore Blvd. West,Toronto Central,Toronto Long-term Care Homes And Services,,Municipal,Home with approximately 150 beds,No,Yes,Yes,Yes,,Etobicoke, M8V3X5,150.0,2017-11-16,2011-01-11,2020-07-07,14.0,7.0,3.0,10.0,2.0,1.0,4.0,2.0,2.0,,,
LAKESIDE LONG TERM CARE CENTRE,150 Dunn Avenue,Toronto Central,Toronto Rehabilitation Institute,Extendicare (Canada) Inc.,Non-Profit,Home with approximately 128 beds,Yes,Yes,Yes,Yes,,Toronto, M6K2R6,128.0,2018-08-02,2011-12-20,2020-01-28,13.0,8.0,3.0,6.0,2.0,1.0,2.0,1.0,1.0,1.0,,
LAKEVIEW MANOR,133 Main Street P.O. Box 514,Central East,Regional Municipality Of Durham,,Municipal,Home with approximately 149 beds,Yes,Yes,Yes,Yes,,Beaverton, L0K1A0,149.0,2017-08-31,2010-07-14,2020-03-09,30.0,14.0,5.0,9.0,3.0,1.0,13.0,5.0,4.0,4.0,2.0,
LAMBTON MEADOWVIEW VILLA,3958 Petrolia Line R. R. #4,Erie St. Clair,The Corporation Of The County Of Lambton,,Municipal,Home with approximately 125 beds,No,Yes,Yes,No,,Petrolia, N0N1R0,125.0,2018-05-24,2010-11-04,2020-09-21,33.0,20.0,8.0,10.0,7.0,2.0,19.0,9.0,4.0,4.0,3.0,
LANARK HEIGHTS LONG TERM CARE CENTRE,46 Lanark Crescent,Waterloo Wellington,Steeves & Rozema Enterprises Limited,,For-Profit,Home with approximately 160 beds,No,Yes,Yes,Yes,,Kitchener, N2N2Z8,160.0,2017-12-06,2010-08-26,2020-10-27,81.0,19.0,6.0,34.0,7.0,2.0,34.0,8.0,4.0,10.0,3.0,
LANARK LODGE,"115 Christie Lake Road, R. R. #4 Lot 27, Concession 2",South East,The Corporation Of The County Of Lanark,,Municipal,Home with approximately 163 beds,Yes,Yes,Yes,Yes,,Perth, K7H3C6,163.0,2018-10-17,2010-08-10,2020-01-24,36.0,26.0,14.0,14.0,10.0,6.0,15.0,10.0,6.0,3.0,3.0,2.0
LANCASTER LONG TERM CARE RESIDENCE,105 Military Road North P.O. Box 429,Champlain,"Dtoc Ii Long Term Care Lp, By Its General Partner, Dtoc Ii Long Term Care Mgp (A General Partnership) By Its Partners, Dtoc Ii Long Term Care Gp Inc. And Arch Venture Holdings Inc.",Responsive Health Management Inc.,For-Profit,Home with approximately 60 beds,No,Yes,Yes,Yes,,Lancaster, K0C1N0,60.0,2017-09-14,2011-10-26,2020-03-11,34.0,18.0,4.0,,,,22.0,8.0,4.0,5.0,4.0,
LANGSTAFF SQUARE CARE COMMUNITY,170 Red Maple Road,Central,2063414 Ontario Limited As General Partner Of 2063414 Investment Lp,,For-Profit,Home with approximately 160 beds,No,Yes,Yes,Yes,,Richmond Hill, L4B4T8,160.0,2017-10-02,2010-09-27,2020-08-11,18.0,13.0,5.0,13.0,7.0,3.0,3.0,2.0,2.0,3.0,2.0,1.0
LAPOINTE-FISHER NURSING HOME,271 Metcalfe Street,Waterloo Wellington,"Lapointe-fisher Nursing Home, Limited",,For-Profit,Home with approximately 92 beds,No,Yes,Yes,Yes,,Guelph, N1E4Y8,92.0,2017-05-17,2010-09-08,2020-11-17,50.0,28.0,13.0,25.0,12.0,5.0,15.0,7.0,3.0,15.0,10.0,6.0
LEACOCK CARE CENTRE,25 Museum Drive,North Simcoe Muskoka,Orillia Long Term Care Centre Inc.,,For-Profit,Home with approximately 145 beds,Yes,Yes,Yes,Yes,"705-325-9181 ext.  201
doc: cara sander
rcollins@jarlette.com
",Orillia, L3V7T9,145.0,2018-12-28,2010-09-15,2020-08-25,35.0,23.0,9.0,14.0,7.0,2.0,14.0,7.0,3.0,10.0,8.0,4.0
