name,address,LHIN,home_type,short_stay,residents_council,family_council,accreditation,additional_info,city,postal_code,first_inspection_date,total_inspections,5y_inspections,2y_inspections,total_complaints,5y_complaints,2y_complaints,total_critical,5y_critical,2y_critical,total_withOrders,5y_withOrders,2y_withOrders,cleaned_name,outbreak,number_beds,CSDname,CSDuid,latitude,longitude
LAKELAND LONG TERM CARE (ELDCAP),6 Albert Street,North East,Non-Profit,No,No,No,No,,Parry Sound, P2A3A4,2011-12-08,14,9,3,3,1,,6,4,3,2,1,,lakeland long term care (eldcap),0,20,Parry Sound,3549032,45.3407019,-80.0176609
LAKELAND LONG TERM CARE SERVICES,6 Albert Street,North East,Non-Profit,No,Yes,No,No,,Parry Sound, P2A3A4,2011-12-08,24,18,11,5,3,2,10,7,6,8,7,3,lakeland long term care services,0,90,Parry Sound,3549032,45.340766,-80.017672
LAKESHORE LODGE,3197 Lakeshore Blvd. West,Toronto Central,Municipal,No,Yes,Yes,Yes,,Etobicoke, M8V3X5,2011-01-11,17,10,6,10,3,2,4,4,4,,,,lakeshore lodge,1,150,Toronto,3520005,43.59721667,-79.51845532
LAKESIDE LONG TERM CARE CENTRE,150 Dunn Avenue,Toronto Central,Non-Profit,Yes,Yes,Yes,Yes,,Toronto, M6K2R6,2011-12-20,14,9,4,6,3,2,2,1,1,1,,,lakeside long term care centre,0,128,Toronto,3520005,43.636584,-79.433168
LAKEVIEW MANOR,133 Main Street P.O. Box 514,Central East,Municipal,Yes,Yes,Yes,Yes,,Beaverton, L0K1A0,2010-07-14,31,15,6,9,3,1,13,6,5,4,2,,lakeview manor,1,149,Brock,3518039,44.42747763,-79.16356588
LAMBTON MEADOWVIEW VILLA,3958 Petrolia Line R. R. #4,Erie St. Clair,Municipal,No,Yes,Yes,No,,Petrolia, N0N1R0,2010-11-04,35,22,10,10,7,2,19,11,6,4,4,1,lambton meadowview villa,1,125,Enniskillen,3538016,42.88448582,-82.16482359
LANARK HEIGHTS LONG TERM CARE CENTRE,46 Lanark Crescent,Waterloo Wellington,For-Profit,No,Yes,Yes,Yes,,Kitchener, N2N2Z8,2010-08-26,82,20,7,34,8,3,33,8,4,10,3,,lanark heights long term care centre,1,160,Kitchener,3530013,43.42436319,-80.53544803
LANARK LODGE,"115 Christie Lake Road, R. R. #4 Lot 27, Concession 2",South East,Municipal,Yes,Yes,Yes,Yes,,Perth, K7H3C6,2010-08-10,37,27,15,14,10,6,15,11,7,3,3,2,lanark lodge,1,163,Tay Valley,3509015,44.90398014,-76.27207578
LANCASTER LONG TERM CARE RESIDENCE,105 Military Road North P.O. Box 429,Champlain,For-Profit,No,Yes,Yes,Yes,,Lancaster, K0C1N0,2011-10-26,38,22,8,,,,22,12,8,5,4,,chartwell lancaster long term care residence,0,60,South Glengarry,3501005,45.14626646,-74.50391692
LANGSTAFF SQUARE CARE COMMUNITY,170 Red Maple Road,Central,For-Profit,No,Yes,Yes,Yes,,Richmond Hill, L4B4T8,2010-09-27,20,15,7,13,8,4,3,3,3,3,3,2,langstaff square care community,0,160,Richmond Hill,3519038,43.84482422,-79.42478351
LAPOINTE-FISHER NURSING HOME,271 Metcalfe Street,Waterloo Wellington,For-Profit,No,Yes,Yes,Yes,,Guelph, N1E4Y8,2010-09-08,56,34,19,25,15,8,15,10,6,15,11,7,lapointe-fisher nursing home,0,92,Guelph,3523008,43.56346913,-80.25748785
LEACOCK CARE CENTRE,25 Museum Drive,North Simcoe Muskoka,For-Profit,Yes,Yes,Yes,Yes,"705-325-9181 ext.  201
doc: cara sander
rcollins@jarlette.com
",Orillia, L3V7T9,2010-09-15,41,29,15,14,8,3,14,10,6,10,9,5,leacock care centre,0,145,Orillia,3543052,44.60660015,-79.39492597
LEAMINGTON MENNONITE HOME LONG TERM CARE RESIDENCE,35 Pickwick Drive,Erie St. Clair,Non-Profit,No,Yes,Yes,No,,Leamington, N8H4T5,2010-11-17,20,13,6,6,3,1,5,5,3,1,1,,leamington mennonite home long term care residence,1,84,Leamington,3537003,42.04374165,-82.59059485
LEE MANOR HOME,875 Sixth Street East,South West,Municipal,No,Yes,Yes,No,,Owen Sound, N4K5W5,2010-11-03,37,17,11,15,5,4,16,7,5,2,2,2,lee manor home,0,150,Owen Sound,3542059,44.56074357,-80.92749966
LINHAVEN,403 Ontario Street,Hamilton Niagara Haldimand Brant (Hnhb),Municipal,Yes,Yes,Yes,Yes,,St. Catharines, L2N1L5,2010-09-21,56,21,12,22,6,3,21,11,7,10,5,3,linhaven,1,248,St. Catharines,3526053,43.18351721,-79.26633031
LONGFIELDS MANOR,330 Beatrice Drive,Champlain,For-Profit,No,Yes,Yes,Yes,,Nepean, K2J5A5,2011-07-12,34,22,10,14,9,5,15,9,4,,,,longfields manor,0,114,Ottawa,3506008,45.28026603,-75.72981554
MACASSA LODGE,701 Upper Sherman Avenue,Hamilton Niagara Haldimand Brant (Hnhb),Municipal,No,Yes,Yes,Yes,,Hamilton, L8V3M7,2010-09-22,31,18,11,10,3,3,10,7,5,6,4,2,macassa lodge,1,270,Hamilton,3525005,43.22567639,-79.84867319
MACKENZIE HEALTH LONG TERM CARE FACILITY,10 Trench Street,Central,Non-Profit,No,Yes,Yes,Yes,,Richmond Hill, L4C4Z3,2011-10-19,25,16,8,11,6,4,8,5,3,5,3,2,mackenzie health long term care facility,1,168,Richmond Hill,3519038,43.87045412,-79.45081182
MACKENZIE PLACE,52 George Street,Central,For-Profit,No,Yes,Yes,Yes,,Newmarket, L3Y4V3,2011-02-07,27,21,10,14,11,5,7,6,5,2,2,1,mackenzie place,1,93,Newmarket,3519048,44.05748695,-79.47891695
MADONNA CARE COMMUNITY,1541 St. Joseph Boulevard,Champlain,For-Profit,No,Yes,Yes,Yes,,Orleans, K1C7L3,2011-05-17,111,68,40,43,24,14,48,32,20,11,6,4,madonna care community,1,160,Ottawa,3506008,45.46043427,-75.559988
MAIN STREET TERRACE,77 Main Street,Toronto Central,For-Profit,Yes,Yes,Yes,Yes,,Toronto, M4E2V6,2010-10-05,49,25,9,26,10,5,12,10,4,6,2,,main street terrace,1,150,Toronto,3520005,43.68160949,-79.29859826
MAITLAND MANOR,290 South Street,South West,For-Profit,Yes,Yes,Yes,Yes,,Goderich, N7A4G6,2011-03-02,36,22,11,12,6,3,16,9,5,7,5,4,maitland manor,1,91,Goderich,3540028,43.73314149,-81.71190013
MALTON VILLAGE LONG TERM CARE CENTRE,7075 Rexwood Road,Central West,Municipal,No,Yes,Yes,Yes,,Mississauga, L4T4M1,2010-07-22,62,21,14,29,6,5,18,7,5,6,4,2,malton village long term care centre,1,160,Mississauga,3521005,43.71847959,-79.62437147
MANITOULIN CENTENNIAL MANOR HOME FOR THE AGED,70 Robinson Street Postal Bag 460,North East,Municipal,No,Yes,No,No,,Little Current, P0P1K0,2011-02-28,26,12,6,7,2,1,11,5,3,10,3,1,manitoulin centennial manor home for the aged,0,60,Northeastern Manitoulin and the Islands,3551017,45.98389625,-81.93648973
MANITOULIN LODGE,3 Main Street P. O. Box 648,North East,For-Profit,Yes,Yes,Yes,Yes,,Gore Bay, P0P1H0,2010-07-23,28,12,8,10,3,3,11,4,4,5,3,,manitoulin lodge,1,62,Gore Bay,3551026,45.91388961,-82.46562059
MANOIR MAROCHEL,949 Montreal Road,Champlain,For-Profit,No,Yes,Yes,No,,Ottawa, K1K0S6,2011-05-18,115,68,22,29,14,4,34,18,10,43,30,4,manoir marochel,1,64,Ottawa,3506008,45.44785486,-75.62821042
MAPLE GROVE CARE COMMUNITY,215 Sunny Meadow Blvd.,Central West,For-Profit,No,Yes,Yes,Yes,,Brampton, L6R3B5,2010-07-20,39,24,15,18,11,7,12,5,4,11,11,7,maple grove care community,1,160,Brampton,3521010,43.75771219,-79.75483001
MAPLE MANOR NURSING HOME,73 Bidwell Street,South West,For-Profit,No,Yes,Yes,Yes,,Tillsonburg, N4G3T8,2010-10-26,29,16,8,7,2,,12,6,5,7,7,5,maple manor nursing home,0,106,Tillsonburg,3532004,42.86006238,-80.72991974
MAPLE PARK LODGE,6 Hagey Avenue,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes,,Fort Erie, L2A5M5,2011-01-19,26,15,5,9,4,2,11,7,3,4,2,,maple park lodge,0,96,Fort Erie,3526003,42.91045417,-78.92271967
MAPLE VIEW,1029-4Th Avenue West,South West,For-Profit,No,Yes,Yes,Yes,,Owen Sound, N4K4W1,2010-07-21,20,10,4,3,1,,10,4,3,4,2,,maple view,1,29,Owen Sound,3542059,44.56743597,-80.94905687
MAPLE VIEW LODGE,"746 County Road, 42 East P.O. Box 100",South East,Municipal,No,Yes,Yes,No,,Athens, K0E1B0,2011-06-08,33,14,4,7,3,1,15,4,1,5,3,1,maple view lodge,1,60,Athens,3507042,44.63454631,-75.93144305
MAPLE VILLA LONG TERM CARE CENTRE,441 Maple Avenue,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes,,Burlington, L7S1L8,2011-02-15,18,11,5,8,6,3,4,2,2,4,1,,maple villa long term care centre,0,93,Burlington,3524002,43.31995171,-79.80289539
MAPLEWOOD,12 Maplewood Avenue Box 249,South East,For-Profit,No,Yes,Yes,Yes,,Brighton, K0K1H0,2011-10-12,26,20,11,3,2,2,15,12,7,6,5,3,maplewood,1,49,Brighton,3514004,44.0396526,-77.7444136
MARIANHILL NURSING HOME,600 Cecelia Street,Champlain,Non-Profit,Yes,Yes,Yes,Yes,,Pembroke, K8A7Z3,2011-11-30,34,24,14,13,9,7,16,11,7,,,,marianhill nursing home,0,139,Pembroke,3547064,45.81487556,-77.10391504
MARIANN HOME,9915 Yonge Street,Central,Non-Profit,No,Yes,Yes,Yes,,Richmond Hill, L4C1V1,2010-12-12,13,6,3,2,1,,4,2,2,4,2,,mariann home,0,64,Richmond Hill,3519038,43.86921402,-79.43615722
MARKHAVEN,54 Parkway Avenue,Central,Non-Profit,No,No,Yes,No,,Markham, L3P2G4,2010-11-08,27,15,10,9,2,2,8,5,4,6,5,4,markhaven,1,96,Markham,3519036,43.88371943,-79.25422906
MARSHALL GOWLAND MANOR,749 Devine Street,Erie St. Clair,Municipal,No,Yes,Yes,No,,Sarnia, N7T1X3,2010-08-27,66,35,17,29,15,6,26,15,9,4,3,3,marshall gowland manor,1,126,Sarnia,3538030,42.96399632,-82.38446927
MAUNO KAIHLA KOTI,723 North Street,North East,Non-Profit,Yes,Yes,Yes,No,,Sault Ste Marie, P6B6G8,2011-11-02,21,13,4,5,3,1,6,4,2,3,1,,mauno kaihla koti,0,63,Sault Ste. Marie,3557061,46.5396691,-84.33693736
MAXVILLE MANOR,80 Mechanic Street West,Champlain,Non-Profit,Yes,Yes,Yes,No,,Maxville, K0C1T0,2010-09-17,32,10,3,12,3,2,10,3,,7,1,1,maxville manor,1,122,North Glengarry,3501050,45.28415857,-74.86345425
MAYNARD NURSING HOME,28 Halton Street,Toronto Central,For-Profit,No,Yes,Yes,Yes,,Toronto, M6J1R3,2011-08-25,21,11,4,8,1,,4,2,2,8,6,2,maynard nursing home,1,77,Toronto,3520005,43.64880888,-79.4191815
MCCALL CENTRE LONG TERM CARE INTERIM UNIT,140 SHERWAY DRIVE,Mississauga Halton,Non-Profit,No,Yes,No,Yes,,ETOBICOKE, M9C1A4,2012-09-07,11,8,4,1,,,,,,2,2,2,mccall centre long term care interim unit,1,21,Toronto,3520005,43.61006437,-79.56210244
MCCORMICK HOME,2022 Kains Road,South West,Non-Profit,Yes,Yes,Yes,Yes,,London, N6K0A8,2010-08-24,49,20,11,18,4,1,25,12,8,,,,mccormick home,0,160,London,3539036,42.96884017,-81.35418445
MCGARRELL PLACE,355 McGarrell Drive,South West,For-Profit,No,Yes,Yes,Yes,,London, N6G0B1,2011-02-18,51,25,14,14,7,2,32,15,12,1,,,mcgarrell place,0,157,London,3539036,43.02383798,-81.29614393
MEADOW PARK (LONDON),1210 Southdale Road East,South West,For-Profit,Yes,Yes,Yes,Yes,,London, N6E1B4,2010-08-11,91,51,14,48,26,8,26,16,4,12,9,2,meadow park (london),1,126,London,3539036,42.94667847,-81.2020519
MEADOW PARK NURSING HOME (CHATHAM),110 Sandys Street,Erie St. Clair,For-Profit,Yes,Yes,Yes,Yes,,Chatham, N7L4X3,2011-11-04,19,8,5,8,2,2,6,2,2,,,,meadow park nursing home (chatham),0,99,Chatham-Kent,3536020,42.40705193,-82.19885326
MEAFORD LONG TERM CARE - A PEOPLECARE COMMUNITY,135 William Street,South West,For-Profit,Yes,Yes,Yes,Yes,,Meaford, N4L1T4,2010-11-04,37,10,6,10,2,2,14,3,2,7,3,3,meaford long term care - a peoplecare community,0,77,Meaford,3542047,44.61169379,-80.60054596
MENNONITE BRETHREN SENIOR CITIZENS HOME,1 Tabor Drive,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,Yes,Yes,Yes,No,,St Catharines, L2N1V9,2010-10-08,28,13,6,5,1,,13,6,4,4,4,1,mennonite brethren senior citizens home,1,128,St. Catharines,3526053,43.1888487,-79.2335379
MIDDLESEX TERRACE,2094 Gideon Drive R.R. #1,South West,For-Profit,No,Yes,Yes,Yes,,Delaware, N0L1E0,2010-08-24,44,22,8,10,5,,26,12,7,3,2,,middlesex terrace,0,105,Middlesex Centre,3539033,42.92353736,-81.42514196
MIDLAND GARDENS CARE COMMUNITY,130 Midland Avenue,Central East,For-Profit,Yes,Yes,Yes,Yes,,Scarborough, M1N4B2,2010-07-16,86,62,39,40,28,21,27,17,10,33,32,17,midland gardens care community,1,299,Toronto,3520005,43.7083586,-79.24749635
MILL CREEK CARE CENTRE,286 Hurst Drive,North Simcoe Muskoka,Non-Profit,Yes,Yes,Yes,Yes,,Barrie, L4N0Z3,2011-01-30,38,16,9,18,4,3,11,6,3,12,8,4,mill creek care centre,0,160,Barrie,3543042,44.3689931,-79.65609964
MILLENNIUM TRAIL MANOR,6861 Oakwood Drive,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes,,Niagara Falls, L2E6S5,2010-12-14,51,24,14,23,9,5,17,9,7,13,4,1,millennium trail manor,0,160,Niagara Falls,3526043,43.076347,-79.11734305
MIRAMICHI LODGE,725 Pembroke Street West,Champlain,Municipal,Yes,Yes,Yes,Yes,,Pembroke, K8A8S6,2010-10-22,30,18,10,11,8,5,15,7,5,1,1,1,miramichi lodge,1,166,Pembroke,3547064,45.82684776,-77.13017355
MISSISSAUGA LONG TERM CARE FACILITY,26 Peter Street North,Mississauga Halton,For-Profit,No,Yes,No,Yes,,Mississauga, L5H2G7,2010-08-30,15,11,6,3,3,2,3,3,3,4,4,1,mississauga long term care facility,0,55,Mississauga,3521005,43.54970386,-79.59094324
MITCHELL NURSING HOME,"184 Napier Street, S.S. #1",South West,Non-Profit,No,Yes,Yes,No,,Mitchell, N0K1N0,2010-08-31,35,11,6,14,5,2,9,2,2,6,1,1,mitchell nursing home,0,48,West Perth,3531025,43.47396537,-81.20189084
MOIRA PLACE LONG-TERM CARE HOME,415 River Street West P.O. Box 200,South East,For-Profit,No,Yes,Yes,Yes,,Tweed, K0K3J0,2011-07-28,37,27,7,12,7,2,14,13,4,5,2,,moira place long-term care home,1,128,Tweed,3512030,44.47111572,-77.31915479
MON SHEONG HOME FOR THE AGED,36 D'Arcy Street,Toronto Central,Non-Profit,Yes,Yes,No,No,,Toronto, M5T1J7,2010-12-02,13,9,4,3,1,1,4,4,3,,,,mon sheong home for the aged,1,105,Toronto,3520005,43.65527498,-79.39314779
MON SHEONG RICHMOND HILL LONG TERM CARE CENTRE,11199 Yonge Street,Central,Non-Profit,Yes,Yes,Yes,No,,Richmond Hill, L4S1L2,2011-10-14,13,10,6,4,4,4,4,2,2,,,,mon sheong richmond hill long term care centre,0,192,Richmond Hill,3519038,43.90134473,-79.44320193
MON SHEONG SCARBOROUGH LONG TERM CARE CENTRE,2030 Mcnicoll Avenue,Central East,Non-Profit,Yes,Yes,Yes,No,,Scarborough, M1V5P4,2011-11-26,18,13,6,5,4,2,8,6,3,2,1,,mon sheong scarborough long term care centre,1,160,Toronto,3520005,43.81309612,-79.29999097
MONTFORT,705 Montreal Road,Champlain,For-Profit,No,Yes,Yes,Yes,,Ottawa, K1K0M9,2011-03-02,89,53,26,43,25,22,27,10,4,14,12,,montfort,1,128,Ottawa,3506008,45.44672936,-75.64059562
MORRISTON PARK NURSING HOME,7363 Calfass Road R. R. #2,Waterloo Wellington,For-Profit,No,Yes,No,No,,Puslinch, N0B2J0,2010-08-11,20,6,2,4,1,,5,1,1,6,,,morriston park nursing home,0,28,Puslinch,3523001,43.44004921,-80.1276776
MOUNT HOPE CENTRE FOR LONG TERM CARE,21 Grosvenor Street P.O. Box 5777,South West,Non-Profit,Yes,Yes,Yes,Yes,,London, N6A1Y6,2011-04-19,90,47,18,40,16,2,36,23,13,19,12,4,mount hope centre for long term care,1,394,London,3539036,42.99894988,-81.25634222
MOUNT NEMO CHRISTIAN NURSING HOME,4486 Guelph Line,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,No,Yes,Yes,Yes,,Burlington, L7P0N2,2010-12-07,19,11,6,3,1,1,3,2,2,4,3,1,mount nemo christian nursing home,0,61,Burlington,3524002,43.40257242,-79.87556992
MUSKOKA LANDING,65 Rogers Cove Drive,North Simcoe Muskoka,For-Profit,Yes,Yes,Yes,Yes,,Huntsville, P1H2L9,2011-10-25,33,17,9,15,2,2,10,7,4,5,5,1,muskoka landing,0,94,Huntsville,3544042,45.33624348,-79.20221468
MUSKOKA SHORES CARE COMMUNITY,200 Kelly Drive,North Simcoe Muskoka,For-Profit,No,Yes,Yes,Yes,,Gravenhurst, P1P1P3,2011-01-10,47,33,22,19,10,6,15,13,9,13,12,6,muskoka shores care community,0,183,Gravenhurst,3544002,44.9143044,-79.36729389
"NIAGARA HEALTH SYSTEM, WELLAND HOSPITAL SITE, EXTENDED CARE UNIT",155 Ontario Street,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,No,Yes,No,Yes,,St. Catharines, L2R5K3,2010-10-14,31,14,6,13,1,1,5,4,3,10,5,1,"niagara health system, welland hospital site, extended care unit",0,115,Welland,3526032,42.97988177,-79.24856448
NIAGARA INA GRAFTON GAGE VILLAGE,413 Linwell Road,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,No,Yes,Yes,No,,St Catharines, L2M7Y2,2011-09-20,30,21,7,8,5,2,3,3,2,13,9,2,niagara ina grafton gage village,0,40,St. Catharines,3526053,43.20027151,-79.22528859
NIAGARA LONG TERM CARE RESIDENCE,120 Wellington Street P.O. Box 985,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes,,Niagara-On-The-Lake, L0S1J0,2010-09-15,20,10,7,9,2,2,5,3,3,3,2,1,chartwell niagara long term care residence,0,124,Niagara-on-the-Lake,3526047,43.2549638,-79.0657413
NIPIGON DISTRICT MEMORIAL HOSPITAL,125 Hogan Road P O Box 37,North West,Non-Profit,No,Yes,No,Yes,,Nipigon, P0T2J0,2011-10-03,15,11,7,1,1,,4,3,3,5,3,3,nipigon district memorial hospital,0,15,Nipigon,3558044,49.0155755,-88.2759054
NIPISSING MANOR NURSING CARE CENTER,1202 Highway 94,North East,For-Profit,No,Yes,Yes,Yes,,Corbeil, P0H1K0,2011-10-02,22,17,12,6,4,3,6,5,4,4,4,4,nipissing manor nursing care center,0,120,East Ferris,3548034,46.24835493,-79.33681562
NISBET LODGE,740 Pape Avenue,Toronto Central,Non-Profit,No,Yes,Yes,Yes,,Toronto, M4K3S7,2011-07-07,17,14,10,8,6,6,3,3,3,2,2,2,nisbet lodge,1,103,Toronto,3520005,43.68025289,-79.34558197
NITHVIEW HOME,200 Boullee Street,Waterloo Wellington,Non-Profit,No,Yes,Yes,No,,New Hamburg, N3A2K4,2010-11-16,48,25,13,15,7,3,23,10,7,10,9,5,nithview home,0,99,Wilmot,3530020,43.38053997,-80.70159538
NORFINCH CARE COMMUNITY,22 Norfinch Drive,Central,For-Profit,No,Yes,Yes,Yes,,North York, M3N1X1,2010-08-30,17,13,7,9,5,3,2,2,2,2,2,2,norfinch care community,0,160,Toronto,3520005,43.7567876,-79.52618684
NORTH CENTENNIAL MANOR,2 Kimberly Drive,North East,Non-Profit,No,Yes,Yes,No,,Kapuskasing, P5N1L5,2011-11-16,17,11,5,2,1,1,8,5,4,4,3,,north centennial manor,0,78,Kapuskasing,3556066,49.42402834,-82.43174902
NORTH LAMBTON LODGE,39 Morris Street R.R. #6,Erie St. Clair,Municipal,No,Yes,Yes,No,,Forest, N0N1J0,2011-05-13,30,19,12,7,6,3,19,10,9,,,,north lambton lodge,0,88,Lambton Shores,3538040,43.09281026,-81.99290376
NORTH PARK NURSING HOME,450 Rustic Road,Central,For-Profit,No,Yes,Yes,Yes,,North York, M6L1W9,2010-09-23,26,8,5,11,2,1,6,2,2,3,1,,north park nursing home,1,75,Toronto,3520005,43.71741799,-79.48214652
NORTH RENFREW LONG-TERM CARE SERVICES,47 Ridge Road P.O. Box 1988,Champlain,Non-Profit,Yes,Yes,No,No,,Deep River, K0J1P0,2011-11-23,22,10,5,4,1,1,6,4,2,5,1,,north renfrew long-term care services inc.,0,21,Deep River,3547096,46.10283609,-77.48846579
NORTH SHORE HEALTH NETWORK – ELDCAP UNIT,525 Causley Street P.O. Box 970,North East,Non-Profit,No,Yes,No,Yes,,Blind River, P0R1B0,2011-11-22,12,6,2,1,,,4,,,2,1,,north shore health network - eldcap unit,0,10,Blind River,3557038,46.18737143,-82.92406797
NORTH SHORE HEALTH NETWORK – LTC UNIT,525 Causley Street P. O. Box 970,North East,Non-Profit,No,Yes,Yes,Yes,,Blind River, P0R1B0,2011-11-22,15,7,3,3,,,4,1,1,5,3,1,north shore health network - ltc unit,0,22,Blind River,3557038,46.18737143,-82.92406797
NORTHLAND POINTE,2 Fielden Avenue,Hamilton Niagara Haldimand Brant (Hnhb),Municipal,No,Yes,No,Yes,,Port Colborne, L3K6G4,2010-07-21,31,12,8,12,2,2,10,5,4,8,1,1,northland pointe,0,151,Port Colborne,3526011,42.8807752,-79.2576692
NORTHRIDGE,496 Postridge Drive,Mississauga Halton,For-Profit,No,Yes,Yes,Yes,,Oakville, L6H7A2,2010-11-09,35,13,5,15,2,1,11,6,3,8,4,1,northridge,1,133,Oakville,3524001,43.48960334,-79.71426817
NORTHVIEW NURSING HOME,77 River Road P.O. Box 1139,North East,For-Profit,Yes,Yes,No,Yes,,Englehart, P0J1H0,2011-04-26,23,15,7,9,7,4,4,3,1,7,4,1,northview nursing home,1,48,Englehart,3554052,47.8219425,-79.8655049
NORTHWOOD LODGE,51 Highway 105 P.O. Box 420,North West,Municipal,No,Yes,Yes,No,,Red Lake, P0V2M0,2011-10-24,19,11,5,3,1,1,3,1,1,13,7,2,northwood lodge,0,32,Red Lake,3560042,51.01327044,-93.82244384
NORVIEW LODGE,44 Rob Blake Way,Hamilton Niagara Haldimand Brant (Hnhb),Municipal,Yes,Yes,Yes,Yes,,Simcoe, N3Y0E3,2011-02-08,24,14,5,6,1,,10,6,3,4,4,1,norview lodge,1,179,Norfolk County,3528052,42.8372838,-80.33304111
NORWOOD NURSING HOME,122 Tyndall Avenue,Toronto Central,For-Profit,No,Yes,Yes,Yes,,Toronto, M6K2E2,2011-06-24,16,9,4,7,2,1,3,2,2,1,,,norwood nursing home,1,60,Toronto,3520005,43.63752278,-79.4293819
OAK TERRACE,291 Mississaga Street West,North Simcoe Muskoka,For-Profit,No,Yes,Yes,Yes,,Orillia, L3V3B9,2010-11-02,33,10,7,14,,,8,4,4,5,2,2,oak terrace,0,94,Orillia,3543052,44.60302415,-79.43126489
OAKWOOD PARK LODGE,6747 Oakwood Drive,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,Yes,Yes,No,Yes,,Niagara Falls, L2E6S5,2011-02-15,53,31,18,22,12,8,15,8,7,13,9,2,oakwood park lodge,0,153,Niagara Falls,3526043,43.0769904,-79.11785895
ONEIDA NATION OF THE THAMES LONG-TERM CARE HOME (TSI' NU: YOYANTLE' NA' TUHUWATISNI),"2229 Elm Avenue, R.R. #2",South West,Non-Profit,No,Yes,Yes,No,,Southwold, N0L2G0,2012-04-12,40,20,6,23,7,,8,6,5,3,3,1,oneida nation of the thames long-term care home (tsi' nu: yoyantle' na' tuhuwatisni),0,64,Oneida 41,3539021,42.81734514,-81.41178225
ORCHARD TERRACE CARE CENTRE,199 Glover Road,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes,,Stoney Creek, L8E5J2,2011-09-19,20,13,5,7,5,2,3,1,1,7,6,1,orchard terrace care centre,0,45,Hamilton,3525005,43.21015079,-79.68313844
ORCHARD VILLA,1955 Valley Farm Road,Central East,For-Profit,No,Yes,Yes,Yes,,Pickering, L1V3R6,2010-07-15,73,42,18,32,16,9,22,10,6,20,16,4,orchard villa,1,233,Pickering,3518001,43.84623863,-79.0826885
OWEN HILL CARE COMMUNITY,130 Owen Street,North Simcoe Muskoka,For-Profit,No,Yes,Yes,Yes,,Barrie, L4M3H7,2011-04-21,18,9,5,5,1,1,7,3,3,2,,,owen hill care community,1,57,Barrie,3543042,44.3951391,-79.69019855
PARISIEN MANOR,439 Second Street East,Champlain,For-Profit,No,Yes,No,Yes,,Cornwall, K6H1Z2,2011-04-07,31,20,10,18,11,6,7,4,2,2,2,2,parisien manor,0,65,Cornwall,3501012,45.02136413,-74.71865558
PARK LANE TERRACE,295 Grand River Street North,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes,,Paris, N3L2N9,2010-11-24,47,37,17,20,15,5,12,10,8,15,14,7,park lane terrace,0,132,Brant,3529005,43.21149506,-80.38916816
PARKVIEW HOME LONG-TERM CARE,123 Weldon Road,Central,Non-Profit,No,Yes,Yes,Yes,,Stouffville, L4A0G8,2011-02-07,17,10,5,4,2,2,6,3,3,3,2,,parkview home long-term care,0,128,Whitchurch-Stouffville,3519044,43.96541475,-79.25898437
PARKVIEW MANOR HEALTH CARE CENTRE,98-3rd Street South East P.O. Box 298,South West,For-Profit,No,Yes,Yes,Yes,,Chesley, N0G1L0,2011-06-22,18,12,8,5,1,1,4,3,3,8,8,4,parkview manor health care centre,1,34,Arran-Elderslie,3541043,44.2983199,-81.091335
PARKVIEW NURSING CENTRE,545 King Street West,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes,,Hamilton, L8P1C1,2011-01-14,14,9,5,7,4,3,2,2,2,,,,parkview nursing centre,0,126,Hamilton,3525005,43.26103249,-79.88486411
PARKWOOD MENNONITE HOME,726 New Hampshire Street,Waterloo Wellington,Non-Profit,No,Yes,Yes,Yes,,Waterloo, N2K4M1,2010-09-01,24,15,11,8,5,4,8,4,4,4,4,4,parkwood mennonite home,1,96,Waterloo,3530016,43.51640151,-80.50225763
PEEL MANOR,525 Main Street North,Central West,Municipal,No,Yes,Yes,Yes,,Brampton, L6X1N9,2010-08-18,57,17,8,25,5,2,16,8,6,10,1,,peel manor,1,177,Brampton,3521010,43.69999507,-79.78142981
PEOPLECARE A.R. GOUDIE KITCHENER,369 Frederick Street,Waterloo Wellington,Non-Profit,No,Yes,Yes,Yes,,Kitchener, N2H2P1,2010-08-25,33,18,8,12,6,4,15,7,4,2,2,,peoplecare a.r. goudie kitchener,1,80,Kitchener,3530013,43.4564955,-80.47446971
PEOPLECARE HILLTOP MANOR CAMBRIDGE,42 Elliott Street,Waterloo Wellington,For-Profit,No,Yes,Yes,Yes,,Cambridge, N1R2J2,2010-11-17,43,24,7,15,8,2,18,10,3,8,8,4,peoplecare hilltop manor cambridge,1,185,Cambridge,3530010,43.35352749,-80.30996865
