name,inspection_types,inspection_dates
ST PATRICK'S HOME,Complaints Inspection,2010-08-24
ST PATRICK'S HOME,Critical Incident Inspection,2010-08-24
ST. ANDREW'S TERRACE LONG TERM CARE COMMUNITY,Critical Incident Inspection,2020-10-02
ST. ANDREW'S TERRACE LONG TERM CARE COMMUNITY,Critical Incident Inspection,2020-02-07
ST. ANDREW'S TERRACE LONG TERM CARE COMMUNITY,Complaints Inspection,2019-11-01
ST. ANDREW'S TERRACE LONG TERM CARE COMMUNITY,Complaints Inspection,2019-06-19
ST. ANDREW'S TERRACE LONG TERM CARE COMMUNITY,Follow-Up Inspection,2019-06-19
ST. ANDREW'S TERRACE LONG TERM CARE COMMUNITY,Complaints Inspection  with Order(s) of the Inspector,2019-01-30
ST. ANDREW'S TERRACE LONG TERM CARE COMMUNITY,Critical Incident Inspection,2019-01-30
ST. ANDREW'S TERRACE LONG TERM CARE COMMUNITY,Follow-Up Inspection,2018-06-22
ST. ANDREW'S TERRACE LONG TERM CARE COMMUNITY,Critical Incident Inspection,2018-06-22
ST. ANDREW'S TERRACE LONG TERM CARE COMMUNITY,Resident Quality Inspection with Order(s) of the Inspector,2018-02-01
ST. ANDREW'S TERRACE LONG TERM CARE COMMUNITY,Resident Quality Inspection with Order(s) of the Inspector,2016-09-29
ST. ANDREW'S TERRACE LONG TERM CARE COMMUNITY,Complaints Inspection  with Order(s) of the Inspector,2016-04-13
ST. ANDREW'S TERRACE LONG TERM CARE COMMUNITY,Other Inspection,2016-03-24
ST. ANDREW'S TERRACE LONG TERM CARE COMMUNITY,Critical Incident Inspection,2016-02-26
ST. ANDREW'S TERRACE LONG TERM CARE COMMUNITY,Complaints Inspection  with Order(s) of the Inspector,2015-12-11
ST. ANDREW'S TERRACE LONG TERM CARE COMMUNITY,Resident Quality Inspection,2015-12-03
ST. ANDREW'S TERRACE LONG TERM CARE COMMUNITY,Complaints Inspection  with Order(s) of the Inspector,2015-09-21
ST. ANDREW'S TERRACE LONG TERM CARE COMMUNITY,Complaints Inspection,2015-04-24
ST. ANDREW'S TERRACE LONG TERM CARE COMMUNITY,Follow-Up Inspection,2015-04-24
ST. ANDREW'S TERRACE LONG TERM CARE COMMUNITY,Critical Incident Inspection,2015-04-24
ST. ANDREW'S TERRACE LONG TERM CARE COMMUNITY,Critical Incident Inspection  with Order(s) of the Inspector,2015-02-12
ST. ANDREW'S TERRACE LONG TERM CARE COMMUNITY,Complaints Inspection,2015-02-09
ST. ANDREW'S TERRACE LONG TERM CARE COMMUNITY,Critical Incident Inspection,2015-01-30
ST. ANDREW'S TERRACE LONG TERM CARE COMMUNITY,Complaints Inspection,2014-11-27
ST. ANDREW'S TERRACE LONG TERM CARE COMMUNITY,Resident Quality Inspection,2014-11-19
ST. ANDREW'S TERRACE LONG TERM CARE COMMUNITY,Critical Incident Inspection,2014-04-08
ST. ANDREW'S TERRACE LONG TERM CARE COMMUNITY,Critical Incident Inspection,2014-04-08
ST. ANDREW'S TERRACE LONG TERM CARE COMMUNITY,Critical Incident Inspection,2014-01-30
ST. ANDREW'S TERRACE LONG TERM CARE COMMUNITY,Complaints Inspection,2014-01-24
ST. ANDREW'S TERRACE LONG TERM CARE COMMUNITY,Critical Incident Inspection,2014-01-16
ST. ANDREW'S TERRACE LONG TERM CARE COMMUNITY,Critical Incident Inspection,2014-01-10
ST. ANDREW'S TERRACE LONG TERM CARE COMMUNITY,Critical Incident Inspection,2014-01-10
ST. ANDREW'S TERRACE LONG TERM CARE COMMUNITY,Critical Incident Inspection,2013-11-27
ST. ANDREW'S TERRACE LONG TERM CARE COMMUNITY,Complaints Inspection,2013-10-15
ST. ANDREW'S TERRACE LONG TERM CARE COMMUNITY,Critical Incident Inspection,2013-09-13
ST. ANDREW'S TERRACE LONG TERM CARE COMMUNITY,Complaints Inspection,2013-05-01
ST. ANDREW'S TERRACE LONG TERM CARE COMMUNITY,Follow-Up Inspection,2013-05-01
ST. ANDREW'S TERRACE LONG TERM CARE COMMUNITY,Complaints Inspection,2012-06-28
ST. ANDREW'S TERRACE LONG TERM CARE COMMUNITY,Follow-Up Inspection,2012-02-01
ST. ANDREW'S TERRACE LONG TERM CARE COMMUNITY,Critical Incident Inspection,2012-01-30
ST. ANDREW'S TERRACE LONG TERM CARE COMMUNITY,Critical Incident Inspection,2011-11-09
ST. ANDREW'S TERRACE LONG TERM CARE COMMUNITY,Critical Incident Inspection,2011-07-13
ST. ANDREW'S TERRACE LONG TERM CARE COMMUNITY,Complaints Inspection,2011-06-21
ST. ANDREW'S TERRACE LONG TERM CARE COMMUNITY,Critical Incident Inspection,2011-06-20
ST. ANDREW'S TERRACE LONG TERM CARE COMMUNITY,Critical Incident Inspection,2011-06-20
ST. ANDREW'S TERRACE LONG TERM CARE COMMUNITY,Critical Incident Inspection,2011-06-20
ST. ANDREW'S TERRACE LONG TERM CARE COMMUNITY,Critical Incident Inspection,2011-06-20
ST. ANDREW'S TERRACE LONG TERM CARE COMMUNITY,Complaints Inspection,2011-01-13
ST. ANDREW'S TERRACE LONG TERM CARE COMMUNITY,Complaints Inspection  with Order(s) of the Inspector,2010-12-01
ST. ANDREW'S TERRACE LONG TERM CARE COMMUNITY,Critical Incident Inspection,2010-11-03
ST. ANDREW'S TERRACE LONG TERM CARE COMMUNITY,Mandatory Inspection,2010-10-29
ST. ANDREW'S TERRACE LONG TERM CARE COMMUNITY,Follow-Up Inspection,2010-09-09
ST. ANDREW'S TERRACE LONG TERM CARE COMMUNITY,Critical Incident Inspection,2010-09-09
ST. CLAIR O'CONNOR COMMUNITY NURSING HOME,Critical Incident Inspection,2019-02-04
ST. CLAIR O'CONNOR COMMUNITY NURSING HOME,Resident Quality Inspection,2017-11-30
ST. CLAIR O'CONNOR COMMUNITY NURSING HOME,Resident Quality Inspection,2017-02-01
ST. CLAIR O'CONNOR COMMUNITY NURSING HOME,Critical Incident Inspection,2016-08-29
ST. CLAIR O'CONNOR COMMUNITY NURSING HOME,Resident Quality Inspection,2016-02-04
ST. CLAIR O'CONNOR COMMUNITY NURSING HOME,Resident Quality Inspection,2015-01-28
ST. CLAIR O'CONNOR COMMUNITY NURSING HOME,Complaints Inspection,2013-07-15
ST. CLAIR O'CONNOR COMMUNITY NURSING HOME,Other Inspection,2012-10-10
ST. CLAIR O'CONNOR COMMUNITY NURSING HOME,Resident Quality Inspection,2011-08-15
ST. GABRIEL'S VILLA OF SUDBURY,Follow-Up Inspection with Order(s) of the Inspector,2020-10-27
ST. GABRIEL'S VILLA OF SUDBURY,Follow-up Inspection with Order(s) of the Inspector (En français),2020-10-27
ST. GABRIEL'S VILLA OF SUDBURY,Critical Incident Inspection,2020-10-27
ST. GABRIEL'S VILLA OF SUDBURY,Critical Incident Inspection (En français),2020-10-27
ST. GABRIEL'S VILLA OF SUDBURY,Complaints Inspection  with Order(s) of the Inspector,2020-07-16
ST. GABRIEL'S VILLA OF SUDBURY,Complaints Inspection with Order(s) of the Inspector (En français),2020-07-16
ST. GABRIEL'S VILLA OF SUDBURY,Follow-Up Inspection with Order(s) of the Inspector,2020-07-16
ST. GABRIEL'S VILLA OF SUDBURY,Follow-up Inspection with Order(s) of the Inspector (En français),2020-07-16
ST. GABRIEL'S VILLA OF SUDBURY,Critical Incident Inspection,2020-07-16
ST. GABRIEL'S VILLA OF SUDBURY,Critical Incident Inspection (En français),2020-07-16
ST. GABRIEL'S VILLA OF SUDBURY,Critical Incident Inspection,2019-12-24
ST. GABRIEL'S VILLA OF SUDBURY,Critical Incident Inspection (En français),2019-12-24
ST. GABRIEL'S VILLA OF SUDBURY,Critical Incident Inspection  with Order(s) of the Inspector,2019-12-03
ST. GABRIEL'S VILLA OF SUDBURY,Critical Incident Inspection with Order(s) of the Inspector (En français),2019-12-03
ST. GABRIEL'S VILLA OF SUDBURY,Follow-Up Inspection,2019-10-02
ST. GABRIEL'S VILLA OF SUDBURY,Follow-up Inspection (En français),2019-10-02
ST. GABRIEL'S VILLA OF SUDBURY,Critical Incident Inspection,2019-10-02
ST. GABRIEL'S VILLA OF SUDBURY,Critical Incident Inspection (En français),2019-10-02
ST. GABRIEL'S VILLA OF SUDBURY,Complaints Inspection,2019-06-10
ST. GABRIEL'S VILLA OF SUDBURY,Complaints Inspection (En français),2019-06-10
ST. GABRIEL'S VILLA OF SUDBURY,Critical Incident Inspection,2019-06-05
ST. GABRIEL'S VILLA OF SUDBURY,Critical Incident Inspection (En français),2019-06-05
ST. GABRIEL'S VILLA OF SUDBURY,Complaints Inspection  with Order(s) of the Inspector,2019-06-04
ST. GABRIEL'S VILLA OF SUDBURY,Complaints Inspection with Order(s) of the Inspector (En français),2019-06-04
ST. GABRIEL'S VILLA OF SUDBURY,Complaints Inspection,2019-02-25
ST. GABRIEL'S VILLA OF SUDBURY,Complaints Inspection (En français),2019-02-25
ST. GABRIEL'S VILLA OF SUDBURY,Follow-Up Inspection,2019-02-25
ST. GABRIEL'S VILLA OF SUDBURY,Follow-up Inspection (En français),2019-02-25
ST. GABRIEL'S VILLA OF SUDBURY,Critical Incident Inspection,2019-02-25
ST. GABRIEL'S VILLA OF SUDBURY,Critical Incident Inspection (En français),2019-02-25
ST. GABRIEL'S VILLA OF SUDBURY,Complaints Inspection,2018-12-19
ST. GABRIEL'S VILLA OF SUDBURY,Complaints Inspection (En français),2018-12-19
ST. GABRIEL'S VILLA OF SUDBURY,Follow-Up Inspection with Order(s) of the Inspector,2018-12-19
ST. GABRIEL'S VILLA OF SUDBURY,Follow-up Inspection with Order(s) of the Inspector (En français),2018-12-19
ST. GABRIEL'S VILLA OF SUDBURY,Critical Incident Inspection,2018-12-19
ST. GABRIEL'S VILLA OF SUDBURY,Critical Incident Inspection (En français),2018-12-19
ST. GABRIEL'S VILLA OF SUDBURY,Resident Quality Inspection with Order(s) of the Inspector,2018-05-28
ST. GABRIEL'S VILLA OF SUDBURY,Resident Quality Inspection with Order(s) of the Inspector (En français),2018-05-28
ST. GABRIEL'S VILLA OF SUDBURY,Complaints Inspection,2017-12-21
ST. GABRIEL'S VILLA OF SUDBURY,Complaints Inspection (En français),2017-12-21
ST. GABRIEL'S VILLA OF SUDBURY,Resident Quality Inspection with Order(s) of the Inspector,2017-11-07
ST. GABRIEL'S VILLA OF SUDBURY,Resident Quality Inspection with Order(s) of the Inspector (En français),2017-10-24
ST. GABRIEL'S VILLA OF SUDBURY,Complaints Inspection,2017-02-09
ST. GABRIEL'S VILLA OF SUDBURY,Complaints Inspection (En français),2017-02-09
ST. GABRIEL'S VILLA OF SUDBURY,Follow-Up Inspection with Order(s) of the Inspector,2017-02-09
ST. GABRIEL'S VILLA OF SUDBURY,Follow-up Inspection with Order(s) of the Inspector (En français),2017-02-09
ST. GABRIEL'S VILLA OF SUDBURY,Resident Quality Inspection with Order(s) of the Inspector,2016-05-31
ST. GABRIEL'S VILLA OF SUDBURY,Resident Quality Inspection with Order(s) of the Inspector (En français),2016-05-31
ST. GABRIEL'S VILLA OF SUDBURY,Critical Incident Inspection  with Order(s) of the Inspector,2016-01-22
ST. GABRIEL'S VILLA OF SUDBURY,Critical Incident Inspection with Order(s) of the Inspector (En français),2016-01-22
ST. GABRIEL'S VILLA OF SUDBURY,Complaints Inspection,2015-11-03
ST. GABRIEL'S VILLA OF SUDBURY,Complaints Inspection (En français),2015-11-03
ST. GABRIEL'S VILLA OF SUDBURY,Follow-Up Inspection,2015-11-03
ST. GABRIEL'S VILLA OF SUDBURY,Follow-up Inspection (En français),2015-11-03
ST. GABRIEL'S VILLA OF SUDBURY,Resident Quality Inspection with Order(s) of the Inspector,2015-07-21
ST. GABRIEL'S VILLA OF SUDBURY,Resident Quality Inspection with Order(s) of the Inspector (En français),2015-07-21
ST. GABRIEL'S VILLA OF SUDBURY,Resident Quality Inspection with Order(s) of the Inspector,2015-05-25
ST. GABRIEL'S VILLA OF SUDBURY,Follow-Up Inspection,2015-04-30
ST. GABRIEL'S VILLA OF SUDBURY,Critical Incident Inspection  with Order(s) of the Inspector,2015-03-10
ST. GABRIEL'S VILLA OF SUDBURY,Critical Incident Inspection with Order(s) of the Inspector (En français),2015-03-10
ST. GABRIEL'S VILLA OF SUDBURY,Complaints Inspection  with Order(s) of the Inspector,2014-12-31
ST. GABRIEL'S VILLA OF SUDBURY,Resident Quality Inspection with Order(s) of the Inspector,2014-12-12
ST. GABRIEL'S VILLA OF SUDBURY,Complaints Inspection,2013-08-06
ST. GABRIEL'S VILLA OF SUDBURY,Follow-Up Inspection with Order(s) of the Inspector,2013-08-06
ST. GABRIEL'S VILLA OF SUDBURY,Complaints Inspection,2013-07-15
ST. GABRIEL'S VILLA OF SUDBURY,Complaints Inspection,2013-05-27
ST. GABRIEL'S VILLA OF SUDBURY,Resident Quality Inspection with Order(s) of the Inspector,2013-05-01
ST. GABRIEL'S VILLA OF SUDBURY,Complaints Inspection,2013-04-25
ST. GABRIEL'S VILLA OF SUDBURY,Critical Incident Inspection,2013-04-25
ST. GABRIEL'S VILLA OF SUDBURY,Follow-Up Inspection,2013-02-07
ST. GABRIEL'S VILLA OF SUDBURY,Follow-Up Inspection,2012-12-12
ST. GABRIEL'S VILLA OF SUDBURY,Critical Incident Inspection,2012-12-12
ST. GABRIEL'S VILLA OF SUDBURY,Follow-Up Inspection with Order(s) of the Inspector,2012-11-08
ST. GABRIEL'S VILLA OF SUDBURY,Complaints Inspection,2012-09-20
ST. GABRIEL'S VILLA OF SUDBURY,Complaints Inspection,2012-04-30
ST. GABRIEL'S VILLA OF SUDBURY,Follow-Up Inspection with Order(s) of the Inspector,2012-04-30
ST. GABRIEL'S VILLA OF SUDBURY,Critical Incident Inspection  with Order(s) of the Inspector,2012-04-30
ST. GABRIEL'S VILLA OF SUDBURY,Complaints Inspection  with Order(s) of the Inspector,2012-01-10
ST. GABRIEL'S VILLA OF SUDBURY,Critical Incident Inspection,2012-01-10
ST. GABRIEL'S VILLA OF SUDBURY,Critical Incident Inspection,2011-10-19
ST. GABRIEL'S VILLA OF SUDBURY,Mandatory Inspection,2011-10-19
ST. GABRIEL'S VILLA OF SUDBURY,Follow-Up Inspection,2011-04-13
ST. GABRIEL'S VILLA OF SUDBURY,Follow-Up Inspection,2011-04-13
ST. GEORGE CARE COMMUNITY,Critical Incident Inspection  with Order(s) of the Inspector,2020-07-24
ST. GEORGE CARE COMMUNITY,Complaints Inspection,2020-02-10
ST. GEORGE CARE COMMUNITY,Critical Incident Inspection,2020-02-10
ST. GEORGE CARE COMMUNITY,Critical Incident Inspection,2020-02-10
ST. GEORGE CARE COMMUNITY,Complaints Inspection,2019-11-06
ST. GEORGE CARE COMMUNITY,Critical Incident Inspection,2019-11-06
ST. GEORGE CARE COMMUNITY,Complaints Inspection,2019-05-24
ST. GEORGE CARE COMMUNITY,Critical Incident Inspection  with Order(s) of the Inspector,2019-05-24
ST. GEORGE CARE COMMUNITY,Complaints Inspection,2019-01-18
ST. GEORGE CARE COMMUNITY,Critical Incident Inspection  with Order(s) of the Inspector,2018-11-27
ST. GEORGE CARE COMMUNITY,Complaints Inspection,2018-10-23
ST. GEORGE CARE COMMUNITY,Complaints Inspection,2018-09-17
ST. GEORGE CARE COMMUNITY,Resident Quality Inspection,2017-11-24
ST. GEORGE CARE COMMUNITY,Critical Incident Inspection,2017-11-23
ST. GEORGE CARE COMMUNITY,Complaints Inspection,2017-08-11
ST. GEORGE CARE COMMUNITY,Critical Incident Inspection,2017-07-20
ST. GEORGE CARE COMMUNITY,Resident Quality Inspection,2016-12-05
ST. GEORGE CARE COMMUNITY,Complaints Inspection,2016-04-25
ST. GEORGE CARE COMMUNITY,Critical Incident Inspection,2016-04-25
ST. GEORGE CARE COMMUNITY,Complaints Inspection,2016-02-18
ST. GEORGE CARE COMMUNITY,Critical Incident Inspection,2016-02-16
ST. GEORGE CARE COMMUNITY,Resident Quality Inspection,2015-06-12
ST. GEORGE CARE COMMUNITY,Resident Quality Inspection,2014-11-12
ST. GEORGE CARE COMMUNITY,Critical Incident Inspection,2014-10-10
ST. GEORGE CARE COMMUNITY,Complaints Inspection,2014-10-02
ST. GEORGE CARE COMMUNITY,Complaints Inspection,2014-10-01
ST. GEORGE CARE COMMUNITY,Complaints Inspection,2014-05-07
ST. GEORGE CARE COMMUNITY,Complaints Inspection,2014-01-22
ST. GEORGE CARE COMMUNITY,Critical Incident Inspection,2014-01-22
ST. GEORGE CARE COMMUNITY,Complaints Inspection,2013-12-30
ST. GEORGE CARE COMMUNITY,Complaints Inspection,2013-08-07
ST. GEORGE CARE COMMUNITY,Complaints Inspection,2013-06-25
ST. GEORGE CARE COMMUNITY,Complaints Inspection,2013-06-06
ST. GEORGE CARE COMMUNITY,Complaints Inspection  with Order(s) of the Inspector,2013-06-06
ST. GEORGE CARE COMMUNITY,Follow-Up Inspection,2013-03-19
ST. GEORGE CARE COMMUNITY,Complaints Inspection,2012-12-04
ST. GEORGE CARE COMMUNITY,Complaints Inspection,2012-11-28
ST. GEORGE CARE COMMUNITY,Complaints Inspection,2012-11-27
ST. GEORGE CARE COMMUNITY,Complaints Inspection,2012-03-27
ST. GEORGE CARE COMMUNITY,Complaints Inspection,2012-03-26
ST. GEORGE CARE COMMUNITY,Complaints Inspection,2012-03-22
ST. GEORGE CARE COMMUNITY,Follow-Up Inspection with Order(s) of the Inspector,2012-03-22
ST. GEORGE CARE COMMUNITY,Complaints Inspection,2011-11-02
ST. GEORGE CARE COMMUNITY,Complaints Inspection  with Order(s) of the Inspector,2011-04-07
ST. GEORGE CARE COMMUNITY,Critical Incident Inspection,2010-12-23
ST. GEORGE CARE COMMUNITY,Complaints Inspection,2010-11-08
ST. JACQUES NURSING HOME,Critical Incident Inspection,2019-12-19
ST. JACQUES NURSING HOME,Critical Incident Inspection (En français),2019-12-19
ST. JACQUES NURSING HOME,Critical Incident Inspection,2019-04-09
ST. JACQUES NURSING HOME,Critical Incident Inspection (En français),2019-04-09
ST. JACQUES NURSING HOME,Complaints Inspection,2019-04-02
ST. JACQUES NURSING HOME,Complaints Inspection (En français),2019-04-02
ST. JACQUES NURSING HOME,Complaints Inspection,2018-09-11
ST. JACQUES NURSING HOME,Complaints Inspection (En français),2018-09-11
ST. JACQUES NURSING HOME,Resident Quality Inspection,2017-03-15
ST. JACQUES NURSING HOME,Resident Quality Inspection (En français),2017-03-15
ST. JACQUES NURSING HOME,Follow-Up Inspection,2017-02-02
ST. JACQUES NURSING HOME,Follow-up Inspection (En français),2017-02-02
ST. JACQUES NURSING HOME,Critical Incident Inspection,2016-11-10
ST. JACQUES NURSING HOME,Critical Incident Inspection (En français),2016-11-10
ST. JACQUES NURSING HOME,Follow-Up Inspection,2016-11-04
ST. JACQUES NURSING HOME,Follow-up Inspection (En français),2016-11-04
ST. JACQUES NURSING HOME,Resident Quality Inspection with Order(s) of the Inspector,2016-10-13
ST. JACQUES NURSING HOME,Critical Incident Inspection,2016-07-22
ST. JACQUES NURSING HOME,Critical Incident Inspection (En français),2016-07-22
ST. JACQUES NURSING HOME,Follow-Up Inspection with Order(s) of the Inspector,2016-05-20
ST. JACQUES NURSING HOME,Follow-up Inspection with Order(s) of the Inspector (En français),2016-05-20
ST. JACQUES NURSING HOME,Follow-Up Inspection,2016-03-02
ST. JACQUES NURSING HOME,Follow-up Inspection (En français),2016-03-02
ST. JACQUES NURSING HOME,Complaints Inspection,2015-12-04
ST. JACQUES NURSING HOME,Complaints Inspection (En français),2015-12-04
ST. JACQUES NURSING HOME,Complaints Inspection,2015-10-28
ST. JACQUES NURSING HOME,Complaints Inspection,2015-10-28
ST. JACQUES NURSING HOME,Complaints Inspection (En français),2015-10-28
ST. JACQUES NURSING HOME,Complaints Inspection (En français),2015-10-28
ST. JACQUES NURSING HOME,Follow-Up Inspection with Order(s) of the Inspector,2015-10-28
ST. JACQUES NURSING HOME,Follow-up Inspection with Order(s) of the Inspector (En français),2015-10-28
ST. JACQUES NURSING HOME,Resident Quality Inspection with Order(s) of the Inspector,2015-09-29
ST. JACQUES NURSING HOME,Follow-Up Inspection,2015-01-07
ST. JACQUES NURSING HOME,Follow-up Inspection (En français),2015-01-07
ST. JACQUES NURSING HOME,Complaints Inspection,2014-10-06
ST. JACQUES NURSING HOME,Complaints Inspection (En français),2014-10-06
ST. JACQUES NURSING HOME,Follow-Up Inspection with Order(s) of the Inspector,2014-10-06
ST. JACQUES NURSING HOME,Follow-up Inspection with Order(s) of the Inspector (En français),2014-10-06
ST. JACQUES NURSING HOME,Critical Incident Inspection,2014-10-06
ST. JACQUES NURSING HOME,Critical Incident Inspection (En français),2014-10-06
ST. JACQUES NURSING HOME,Resident Quality Inspection with Order(s) of the Inspector,2014-05-21
ST. JACQUES NURSING HOME,Resident Quality Inspection with Order(s) of the Inspector (En français),2014-05-21
ST. JACQUES NURSING HOME,Complaints Inspection,2014-03-10
ST. JACQUES NURSING HOME,Complaints Inspection (En français),2014-03-10
ST. JACQUES NURSING HOME,Complaints Inspection (En français),2013-10-04
ST. JACQUES NURSING HOME,Complaints Inspection,2013-10-01
ST. JACQUES NURSING HOME,Complaints Inspection,2012-10-12
ST. JACQUES NURSING HOME,Complaints Inspection (En français),2012-10-12
ST. JACQUES NURSING HOME,Other Inspection,2011-11-01
ST. JACQUES NURSING HOME,Other Inspection (En français),2011-11-01
ST. JOSEPH'S AT FLEMING,Complaints Inspection,2020-09-21
ST. JOSEPH'S AT FLEMING,Complaints Inspection,2020-08-06
ST. JOSEPH'S AT FLEMING,Complaints Inspection,2020-07-15
ST. JOSEPH'S AT FLEMING,Critical Incident Inspection,2020-05-28
ST. JOSEPH'S AT FLEMING,Critical Incident Inspection,2020-01-29
ST. JOSEPH'S AT FLEMING,Critical Incident Inspection,2019-12-05
ST. JOSEPH'S AT FLEMING,Complaints Inspection,2019-09-30
ST. JOSEPH'S AT FLEMING,Complaints Inspection,2019-09-30
ST. JOSEPH'S AT FLEMING,Critical Incident Inspection,2019-09-30
ST. JOSEPH'S AT FLEMING,Complaints Inspection,2019-08-23
ST. JOSEPH'S AT FLEMING,Complaints Inspection,2019-08-23
ST. JOSEPH'S AT FLEMING,Complaints Inspection,2019-08-23
ST. JOSEPH'S AT FLEMING,Critical Incident Inspection,2019-08-23
ST. JOSEPH'S AT FLEMING,Critical Incident Inspection,2019-07-12
ST. JOSEPH'S AT FLEMING,Critical Incident Inspection  with Order(s) of the Inspector,2019-05-31
ST. JOSEPH'S AT FLEMING,Resident Quality Inspection,2018-12-28
ST. JOSEPH'S AT FLEMING,Complaints Inspection,2018-06-13
ST. JOSEPH'S AT FLEMING,Critical Incident Inspection,2018-04-25
ST. JOSEPH'S AT FLEMING,Complaints Inspection,2017-08-17
ST. JOSEPH'S AT FLEMING,Follow-Up Inspection,2017-08-17
ST. JOSEPH'S AT FLEMING,Follow-Up Inspection with Order(s) of the Inspector,2017-06-21
ST. JOSEPH'S AT FLEMING,Resident Quality Inspection,2017-06-07
ST. JOSEPH'S AT FLEMING,Complaints Inspection,2017-01-25
ST. JOSEPH'S AT FLEMING,Complaints Inspection,2017-01-25
ST. JOSEPH'S AT FLEMING,Complaints Inspection,2017-01-25
ST. JOSEPH'S AT FLEMING,Complaints Inspection  with Order(s) of the Inspector,2017-01-25
ST. JOSEPH'S AT FLEMING,Critical Incident Inspection,2017-01-25
ST. JOSEPH'S AT FLEMING,Complaints Inspection,2016-12-21
ST. JOSEPH'S AT FLEMING,Critical Incident Inspection,2016-10-28
ST. JOSEPH'S AT FLEMING,Follow-Up Inspection,2016-10-27
ST. JOSEPH'S AT FLEMING,Critical Incident Inspection,2016-10-05
ST. JOSEPH'S AT FLEMING,Complaints Inspection,2016-10-03
ST. JOSEPH'S AT FLEMING,Resident Quality Inspection with Order(s) of the Inspector,2016-09-09
ST. JOSEPH'S AT FLEMING,Complaints Inspection,2016-08-30
ST. JOSEPH'S AT FLEMING,Complaints Inspection,2016-08-26
ST. JOSEPH'S AT FLEMING,Critical Incident Inspection,2016-05-26
ST. JOSEPH'S AT FLEMING,Complaints Inspection,2016-05-20
ST. JOSEPH'S AT FLEMING,Critical Incident Inspection,2016-05-17
ST. JOSEPH'S AT FLEMING,Critical Incident Inspection,2016-05-17
ST. JOSEPH'S AT FLEMING,Complaints Inspection,2016-04-06
ST. JOSEPH'S AT FLEMING,Follow-Up Inspection,2015-12-21
ST. JOSEPH'S AT FLEMING,Critical Incident Inspection,2015-12-18
ST. JOSEPH'S AT FLEMING,Complaints Inspection,2015-10-13
ST. JOSEPH'S AT FLEMING,Follow-Up Inspection with Order(s) of the Inspector,2015-10-13
ST. JOSEPH'S AT FLEMING,Resident Quality Inspection with Order(s) of the Inspector,2015-05-22
ST. JOSEPH'S AT FLEMING,Complaints Inspection,2015-04-17
ST. JOSEPH'S AT FLEMING,Follow-Up Inspection,2015-04-16
ST. JOSEPH'S AT FLEMING,Follow-Up Inspection with Order(s) of the Inspector,2015-03-23
ST. JOSEPH'S AT FLEMING,Complaints Inspection,2015-02-20
ST. JOSEPH'S AT FLEMING,Follow-Up Inspection,2015-02-19
ST. JOSEPH'S AT FLEMING,Follow-Up Inspection with Order(s) of the Inspector,2015-01-28
ST. JOSEPH'S AT FLEMING,Complaints Inspection,2014-11-13
ST. JOSEPH'S AT FLEMING,Complaints Inspection  with Order(s) of the Inspector,2014-11-13
ST. JOSEPH'S AT FLEMING,Complaints Inspection,2014-10-30
ST. JOSEPH'S AT FLEMING,Critical Incident Inspection,2014-10-30
ST. JOSEPH'S AT FLEMING,Resident Quality Inspection with Order(s) of the Inspector,2014-09-19
ST. JOSEPH'S AT FLEMING,Complaints Inspection,2014-07-23
ST. JOSEPH'S AT FLEMING,Complaints Inspection,2014-07-23
ST. JOSEPH'S AT FLEMING,Critical Incident Inspection,2014-07-16
ST. JOSEPH'S AT FLEMING,Complaints Inspection,2014-06-16
ST. JOSEPH'S AT FLEMING,Complaints Inspection,2014-06-16
ST. JOSEPH'S AT FLEMING,Complaints Inspection,2014-04-07
ST. JOSEPH'S AT FLEMING,Complaints Inspection,2014-04-07
ST. JOSEPH'S AT FLEMING,Critical Incident Inspection  with Order(s) of the Inspector,2014-03-24
ST. JOSEPH'S AT FLEMING,Critical Incident Inspection,2014-02-21
ST. JOSEPH'S AT FLEMING,Complaints Inspection,2014-02-14
ST. JOSEPH'S AT FLEMING,Complaints Inspection,2014-02-14
ST. JOSEPH'S AT FLEMING,Follow-Up Inspection with Order(s) of the Inspector,2014-01-15
ST. JOSEPH'S AT FLEMING,Complaints Inspection,2014-01-08
ST. JOSEPH'S AT FLEMING,Follow-Up Inspection,2014-01-08
ST. JOSEPH'S AT FLEMING,Follow-Up Inspection,2014-01-08
ST. JOSEPH'S AT FLEMING,Complaints Inspection,2013-11-13
ST. JOSEPH'S AT FLEMING,Complaints Inspection  with Order(s) of the Inspector,2013-11-13
ST. JOSEPH'S AT FLEMING,Complaints Inspection  with Order(s) of the Inspector,2013-11-13
ST. JOSEPH'S AT FLEMING,Follow-Up Inspection,2013-11-13
ST. JOSEPH'S AT FLEMING,Critical Incident Inspection,2013-11-13
ST. JOSEPH'S AT FLEMING,Critical Incident Inspection,2013-10-08
ST. JOSEPH'S AT FLEMING,Follow-Up Inspection with Order(s) of the Inspector,2013-10-07
ST. JOSEPH'S AT FLEMING,Complaints Inspection,2013-09-10
ST. JOSEPH'S AT FLEMING,Complaints Inspection,2013-09-10
ST. JOSEPH'S AT FLEMING,Follow-Up Inspection with Order(s) of the Inspector,2013-09-10
ST. JOSEPH'S AT FLEMING,Critical Incident Inspection,2013-09-10
ST. JOSEPH'S AT FLEMING,Follow-Up Inspection,2013-08-06
ST. JOSEPH'S AT FLEMING,Critical Incident Inspection,2013-08-06
ST. JOSEPH'S AT FLEMING,Complaints Inspection,2013-07-16
