FACILITY_NAME,HCC_CODE,HLTH_AUTH,OWNERSHIP,STREET_ADDRESS,CITY,POSTAL,REGULATION,ACCRED_STATUS,DCH_NURSE_LASTYR,DCH_ALLIED_LASTYR,DCH_TOTAL_LASTYR,DCH_NURSE_CURRENTYR,DCH_ALLIED_CURRENTYR,DCH_TOTAL_CURRENTYR,BEDS_TOTAL,ROOMS_PRIVATE,ROOMS_SEMI,ROOMS_MULTI,COMPLAINTS,SUB_COMPLAINTS,INCIDENT_OUTBREAK,INCIDENT_ABUSE,INCIDENT_FALL,INCIDENT_POISON,INCIDENT_MEDICATION,INCIDENT_WANDERING,INCIDENT_INJURY,INCIDENT_AGGRESSION,INCIDENT_OUTBREAK_100,INCIDENT_ABUSE_100,INCIDENT_FALL_100,INCIDENT_POISON_100,INCIDENT_MEDICATION_100,INCIDENT_WANDERING_100,INCIDENT_INJURY_100,INCIDENT_AGGRESSION_100,AGE,FEMALE,AGE_85_PLUS,AGE_UNDER_65,STAY_LENGTH,DEPRESSION,ADL_DEPENDENT,CPS_SEVERE,DEMENTIA,ABS_PHYS_ABUSIVE,ISE,ISE_LOW,CMI,THERAPY_PT,THERAPY_RT,THERAPY_OT,MEDS_DEPRESSION,MEDS_ANTIPSYCHOTICS,RESTRAINTS,INSPECTIONS,INFRACTIONS,INFRACTIONS_LICENSING,INFRACTIONS_FACILITY,INFRACTIONS_STAFFING,INFRACTIONS_POLICY,INFRACTIONS_CARE,INFRACTIONS_DISEASE,INFRACTIONS_FOOD,INFRACTIONS_MEDICATION,INFRACTIONS_PROGRAM,INFRACTIONS_REPORTING,INFRACTIONS_RIGHTS,INFRACTIONS_OTHER,latitude,longitude,Total Confirmed Cases,Total Deaths,outbreak,RESIDENT_COUNCIL,FAMILY_COUNCIL,BEDS_PRIVATEprop
Hilton Villa Seniors Community,917D8,Fraser Health,PFP,13525 Hilton Rd,Surrey,V3R5J3,Community Care & Assisted Living Act,Accredited,2.42,0.31,2.73,2.76,0.34,3.1,157,83,36,0,3,1,3,1,18,0,0,0,3,0,1.9,0.6,11.5,0.0,0.0,0.0,1.9,0.0,86,69.8%,62.9%,5.1%,749,20.7%,33.2%,37.5%,66.5%,12.7%,2.9,43.1%,0.59,45.3%,3.8%,0.0%,45.8%,10.2%,6.7%,10.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.20242145,-122.84672725264092,,,0,True,True,0.01910828025477707
Hogg and Weatherby Pavilions - Peace Arch Hospital,9A58I,Fraser Health,HA,15521 Russell Ave.,White Rock,V4B2R4,Hospital Act,Unknown,3.01,0.39,3.39,3.01,0.39,3.4,234,30,78,12,2,0,2,0,24,0,0,1,2,0,0.9,0.0,10.3,0.0,0.0,0.4,0.9,0.0,90,73.9%,76.9%,2.2%,785,17.7%,28.0%,24.2%,48.3%,8.6%,2.6,52.3%,0.57,15.5%,67.0%,12.4%,48.2%,18.8%,3.2%,2.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.03015955,-122.79236955,,,0,True,True,0.0
Holy Family Hospital,9A5D8,Vancouver Coastal Health,PNP,7801 Argyle St.,Vancouver,V5P3L6,Hospital Act,Accredited,2.94,0.25,3.19,3.31,0.29,3.6,126,9,6,21,0,0,2,0,7,0,0,0,0,0,1.6,0.0,5.6,0.0,0.0,0.0,0.0,0.0,85,79.1%,58.3%,4.0%,761,24.8%,36.6%,29.7%,52.8%,3.9%,2.8,48.6%,0.62,7.3%,9.6%,7.3%,49.2%,17.5%,2.9%,2.0,4.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.213284,-123.073098,88.0,21.0,1,True,True,0.0
Holyrood Manor,91842,Fraser Health,PFP,22710 Holyrood Ave,Maple Ridge,V2X3E6,Hospital Act,Accredited,2.78,0.35,3.12,2.8,0.35,3.15,125,0,0,0,0,0,1,2,15,0,0,0,4,1,0.8,1.6,12.0,0.0,0.0,0.0,3.2,0.8,86,81.5%,58.3%,3.3%,"1,196",31.0%,19.9%,25.2%,71.9%,11.9%,2.3,52.8%,0.61,0.0%,70.6%,0.0%,50.1%,20.0%,1.2%,1.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,49.2122959,-122.5939042,,,0,False,True,0.016
Houston Health Centre,937C0,Northern Health,HA,3202 - 14th St,Houston,V0J1Z0,Community Care & Assisted Living Act,Accredited,5.26,0.0,5.26,7.65,0.0,7.65,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82,81.0%,42.9%,19.0%,701,18.2%,27.3%,27.3%,72.7%,0.0%,2.5,54.5%,0.56,45.5%,54.5%,0.0%,63.6%,81.0%,8.7%,2.0,13.0,0.0,1.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,54.39621800000001,-126.65281,,,0,False,False,0.0
Inglewood Care Centre,999J9,Vancouver Coastal Health,PFP,725 Inglewood Avenue,West Vancouver,V7T1X5,Hospital Act & Community Care & Assisted Living Act,Unknown,2.71,0.22,2.93,2.81,0.23,3.04,230,196,17,0,5,4,0,2,32,1,0,7,7,11,0.0,0.9,13.9,0.4,0.0,3.0,3.0,4.8,86,65.4%,66.4%,2.1%,"1,062",29.2%,30.0%,38.9%,76.3%,11.9%,2.9,40.9%,0.54,6.3%,22.5%,0.0%,53.4%,19.9%,3.8%,13.0,8.0,0.0,2.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,49.3354367,-123.1356688,1.0,0.0,1,True,True,0.0
Jackman Manor,9ADHD,Fraser Health,PNP,27477 28 Ave,Aldergrove,V4W3L9,Community Care & Assisted Living Act,Not Accredited,2.48,0.31,2.79,2.73,0.33,3.06,88,88,0,0,2,1,0,0,1,0,0,0,0,0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,88,70.1%,72.0%,1.4%,"1,118",22.6%,28.7%,36.4%,77.7%,7.3%,2.2,58.7%,0.54,7.9%,2.1%,0.0%,44.9%,15.5%,4.9%,3.0,9.0,0.0,1.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,49.0538233,-122.4630403,,,0,True,True,0.0
Jackson House - Ashcroft Hospital and Health Centre,9A6I3,Interior Health,HA,700 Ash-Cache Creek Hwy,Ashcroft,V0K1A0,Hospital Act,Accredited,2.84,0.47,3.31,2.84,0.47,3.31,22,20,1,1,0,0,0,1,1,0,1,0,0,0,0.0,4.5,4.5,0.0,4.5,0.0,0.0,0.0,87,72.5%,60.0%,2.5%,"1,095",28.6%,40.5%,9.5%,56.0%,1.2%,3.3,33.3%,0.58,16.7%,0.0%,0.0%,44.0%,32.9%,1.9%,1.0,5.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,50.731887,-121.278471,,,0,True,True,0.0
James Bay Care Centre,9C426,Vancouver Island Health,PFP,336 Simcoe St.,Victoria,V8V1L2,Community Care & Assisted Living Act,Accredited,2.85,0.24,3.1,2.98,0.27,3.25,115,95,10,0,1,0,0,0,11,0,0,4,0,0,0.0,0.0,9.6,0.0,0.0,3.5,0.0,0.0,85,71.6%,59.0%,2.3%,673,29.3%,13.1%,17.4%,71.2%,10.6%,2.8,47.1%,0.58,0.0%,72.4%,0.0%,49.2%,10.9%,0.4%,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,48.4173083,-123.376914,,,0,True,False,0.0
Joseph Creek Village,92IJA,Interior Health,PFP,1901 Willowbrook Dr,Cranbrook,V1C6S4,Community Care & Assisted Living Act,Unknown,2.8,0.35,3.15,2.95,0.35,3.3,102,102,0,0,4,1,0,2,9,0,0,5,2,0,0.0,2.0,8.8,0.0,0.0,4.9,2.0,0.0,80,64.3%,39.3%,11.3%,"1,311",25.8%,24.0%,29.3%,56.8%,5.0%,3.3,31.5%,0.61,29.8%,72.8%,42.0%,45.0%,29.8%,5.2%,8.0,15.0,1.0,1.0,5.0,2.0,2.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,49.5270986,-115.7452938,,,0,True,True,0.0196078431372549
Jubilee Lodge,9A69E,Northern Health,HA,1475 Edmonton Street,Prince George,V2M1S2,Hospital Act,Accredited,2.86,0.25,3.11,2.9,0.45,3.36,66,4,3,14,,,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83,50.1%,48.9%,5.2%,"1,131",17.8%,38.2%,40.8%,65.8%,3.3%,2.5,47.4%,0.59,0.0%,61.2%,1.3%,42.8%,24.6%,16.5%,1.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,53.9120966,-122.7626315,,,0,True,True,0.0
Jubilee Multi Generational Housing Society,99C25,Fraser Health,PNP,3460 Kalyk Avenue,Burnaby,V5G3B2,Community Care & Assisted Living Act,Not Accredited,2.48,0.31,2.79,2.69,0.31,3.0,60,12,18,3,3,1,2,3,7,0,0,2,0,1,3.3,5.0,11.7,0.0,0.0,3.3,0.0,1.7,89,68.9%,71.6%,0.0%,656,20.9%,37.8%,47.4%,28.3%,4.3%,3.4,33.5%,0.59,12.6%,1.3%,0.0%,40.0%,7.7%,1.3%,3.0,11.0,0.0,4.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,49.2528169,-123.01300249999998,,,0,True,True,0.0
Kamloops Seniors Village,92DCA,Interior Health,PFP,1220 Hugh Allan Dr.,Kamloops,V1S2B3,Community Care & Assisted Living Act,Accredited,2.8,0.35,3.15,2.97,0.35,3.32,114,114,0,0,1,0,2,3,11,0,0,3,7,2,1.8,2.6,9.6,0.0,0.0,2.6,6.1,1.8,85,65.0%,61.1%,4.1%,784,14.6%,38.3%,21.5%,75.0%,6.4%,2.8,42.1%,0.56,0.0%,46.0%,19.7%,53.7%,17.4%,6.4%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.6499607,-120.3729788,,,0,True,True,0.12280701754385964
Kimberley Special Care Home,91711,Interior Health,HA,386 2nd Ave,Kimberley,V1A2Z8,Community Care & Assisted Living Act,Accredited,2.87,0.38,3.25,2.87,0.38,3.25,55,49,3,0,0,0,0,4,0,0,0,1,1,0,0.0,7.3,0.0,0.0,0.0,1.8,1.8,0.0,87,61.5%,69.2%,2.9%,632,27.8%,39.6%,26.4%,80.2%,3.3%,2.8,51.9%,0.58,40.6%,0.0%,0.9%,49.5%,7.6%,23.4%,1.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,49.6899979,-115.9896466,,,0,True,True,0.0
KinVillage West Court,9A4JH,Fraser Health,PNP,5410 10th Ave.,Delta,V4M3X8,Community Care & Assisted Living Act,Accredited,2.57,0.32,2.89,2.69,0.33,3.02,100,100,0,0,1,0,0,0,4,0,0,0,0,0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,90,67.1%,76.3%,1.4%,,21.8%,24.1%,34.7%,60.3%,5.0%,2.4,58.8%,0.57,17.6%,65.3%,2.1%,40.6%,16.2%,8.0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.021494,-123.07365800000001,,,0,True,False,0.0
Kinsmen Lodge,9942B,Fraser Health,PNP,9650 137A Street,Surrey,V3T4H9,Community Care & Assisted Living Act,Accredited,2.59,0.21,2.8,3.03,0.33,3.36,157,143,7,0,3,0,0,0,10,0,0,0,2,1,0.0,0.0,6.4,0.0,0.0,0.0,1.3,0.6,86,60.5%,58.3%,5.8%,"1,037",25.8%,33.2%,20.6%,49.9%,14.6%,2.3,59.4%,0.60,0.9%,82.0%,0.0%,40.9%,15.8%,1.9%,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.1777346,-122.8417995,,,0,True,True,0.0
Kiwanis Care Centre,9AD1I,Fraser Health,PNP,35 Clute Street,New Westminster,V3L1Z5,Community Care & Assisted Living Act,Accredited,2.48,0.31,2.79,2.69,0.31,3.0,75,59,8,0,0,0,1,0,10,0,0,0,0,0,1.3,0.0,13.3,0.0,0.0,0.0,0.0,0.0,88,94.6%,69.5%,0.6%,"1,409",20.9%,28.0%,20.9%,57.1%,6.7%,3.2,31.3%,0.65,55.6%,70.9%,34.7%,50.4%,13.0%,4.5%,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.2232118,-122.9150878,,,0,True,True,0.0
Kiwanis Pavilion,9AC36,Vancouver Island Health,PNP,3034 Cedar Hill Road,Victoria,V8T3J3,Community Care & Assisted Living Act,Accredited,3.04,0.22,3.27,3.09,0.26,3.35,122,122,0,0,0,0,1,0,14,0,0,0,1,2,0.8,0.0,11.5,0.0,0.0,0.0,0.8,1.6,83,66.6%,54.8%,3.8%,700,26.9%,28.5%,39.6%,86.9%,13.8%,2.8,50.6%,0.60,20.6%,17.7%,2.9%,61.0%,15.9%,3.8%,2.0,5.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,48.4464163,-123.3467929,,,0,False,True,0.04918032786885246
Kiwanis Village Lodge,995AE,Vancouver Island Health,PNP,1221 Kiwanis Crescent,Nanaimo,V9S5Y1,Community Care & Assisted Living Act,Unknown,2.77,0.21,2.97,3.0,0.22,3.22,75,75,0,0,4,3,0,0,11,0,0,0,1,0,0.0,0.0,14.7,0.0,0.0,0.0,1.3,0.0,85,74.6%,60.8%,9.6%,"1,110",25.8%,33.3%,19.9%,63.3%,6.7%,2.7,47.2%,0.59,1.1%,0.0%,0.7%,44.9%,26.9%,8.8%,7.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,49.186109,-123.96893,,,0,True,True,0.0
Kopernik Lodge,99A2I,Vancouver Coastal Health,PNP,3150 Rosemont Drive,Vancouver,V5S2C9,Community Care & Assisted Living Act,Not Accredited,2.58,0.31,2.89,2.75,0.28,3.03,87,45,21,0,2,1,1,0,7,0,0,4,3,7,1.1,0.0,8.0,0.0,0.0,4.6,3.4,8.0,87,86.4%,65.2%,2.6%,951,34.3%,38.5%,26.4%,53.3%,12.4%,2.2,56.7%,0.59,1.6%,12.7%,0.5%,50.7%,29.6%,11.7%,3.0,4.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.21522,-123.039,,,0,True,True,0.0
Lady Minto Hospital,9A5G5,Vancouver Island Health,HA,135 Crofton Rd,Salt Spring Island,V8K1T1,Hospital Act,Accredited,2.71,0.35,3.06,2.71,0.35,3.06,29,1,4,5,0,0,,,,,,,,,,,,,,,,,88,74.6%,73.1%,2.2%,675,6.4%,32.7%,36.4%,30.9%,5.5%,1.7,74.5%,0.60,2.7%,0.9%,0.0%,34.5%,8.4%,13.2%,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,48.8617,-123.5084,,,0,True,True,0.0
Lake Country Lodge,9B969,Interior Health,PFP,100-10163 Konschuh Rd,Winfield,V4V2M2,Community Care & Assisted Living Act,Unknown,2.8,0.35,3.15,2.93,0.35,3.28,49,41,4,0,0,0,1,1,4,0,0,4,4,1,2.0,2.0,8.2,0.0,0.0,8.2,8.2,2.0,87,70.2%,65.1%,4.1%,602,23.5%,11.0%,19.0%,63.0%,4.0%,5.3,7.0%,0.59,1.0%,2.0%,9.5%,57.5%,22.1%,6.9%,1.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0291435,-119.3984578,,,0,True,True,0.08163265306122448
Lakeshore Care Centre,992HG,Fraser Health,PFP,657 Gatensbury Street,Coquitlam,V3J5G9,Hospital Act,Not Accredited,2.61,0.32,2.94,2.63,0.32,2.95,56,42,7,0,1,1,0,1,1,0,0,0,0,0,0.0,1.8,1.8,0.0,0.0,0.0,0.0,0.0,85,70.4%,64.5%,6.5%,"1,526",21.7%,43.4%,44.8%,78.3%,12.6%,2.2,60.1%,0.60,0.7%,11.9%,0.0%,36.4%,17.0%,11.2%,2.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,49.2595472,-122.85635159999998,,,0,True,True,0.375
Lakeview Care Centre,9C477,Vancouver Coastal Health,PFP,3490 Porter Street,Vancouver,V5N5W4,Hospital Act,Accredited,2.58,0.19,2.77,2.79,0.19,2.98,177,105,36,0,0,0,2,0,10,0,0,2,0,0,1.1,0.0,5.6,0.0,0.0,1.1,0.0,0.0,87,64.3%,69.3%,1.6%,"1,143",23.8%,21.8%,29.3%,58.5%,9.6%,4.1,20.0%,0.56,0.0%,2.3%,0.0%,34.7%,10.6%,1.4%,4.0,7.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,49.25348995,-123.06648814723715,,,0,True,True,0.0
Lakeview Lodge,93DAA,Interior Health,PFP,2337 Butt Road,West Kelowna,V4T3L3,Community Care & Assisted Living Act,Unknown,2.8,0.35,3.15,2.85,0.35,3.2,114,114,0,0,0,0,1,3,26,0,0,4,8,2,0.9,2.6,22.8,0.0,0.0,3.5,7.0,1.8,85,68.1%,62.7%,4.6%,805,8.0%,17.4%,32.8%,76.7%,6.3%,3.4,33.0%,0.56,12.6%,50.0%,0.4%,53.0%,12.6%,7.9%,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.83701729999999,-119.6237769,,,0,True,True,0.12280701754385964
Langley Gardens,925CA,Fraser Health,PFP,8888 202nd Street,Langley,V1M4A7,Community Care & Assisted Living Act,Accredited,2.43,0.31,2.74,2.64,0.31,2.95,92,86,6,0,1,0,1,0,16,0,0,0,0,1,1.1,0.0,17.4,0.0,0.0,0.0,0.0,1.1,89,69.5%,81.0%,1.2%,535,12.7%,33.9%,15.1%,60.6%,4.0%,2.3,59.0%,0.58,38.1%,40.5%,5.3%,33.3%,9.8%,0.0%,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.1663494,-122.6609691,6.0,0.0,1,True,True,0.20652173913043478
Langley Lodge,98JIE,Fraser Health,PNP,5451-204th St,Langley,V3A5M9,Community Care & Assisted Living Act,Accredited,2.55,0.3,2.85,3.01,0.35,3.36,139,127,6,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,88,66.2%,71.4%,2.3%,831,18.9%,29.8%,29.2%,57.9%,10.7%,2.4,58.3%,0.57,8.5%,11.0%,0.2%,47.2%,18.1%,1.4%,2.0,9.0,0.0,2.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,49.10156729999999,-122.6573035,68.0,26.0,1,True,True,0.10071942446043165
Langley Memorial Hospital ECU,9A5E0,Fraser Health,HA,22051 Fraser Hwy,Langley,V3A4H4,Hospital Act,Unknown,2.98,0.28,3.26,2.92,0.27,3.19,230,8,4,44,5,1,1,0,1,0,0,3,0,0,0.4,0.0,0.4,0.0,0.0,1.3,0.0,0.0,89,72.1%,71.2%,3.0%,597,13.7%,26.9%,25.8%,54.2%,7.1%,2.6,53.1%,0.57,6.5%,52.3%,4.0%,46.7%,23.3%,2.4%,6.0,10.0,0.0,2.0,1.0,0.0,3.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,49.0944775,-122.6116674454287,3.0,1.0,1,True,False,0.0
Laurel Place,9359A,Fraser Health,PFP,9688 137A St,Surrey,V3T4H9,Community Care & Assisted Living Act,Accredited,2.54,0.27,2.8,2.99,0.37,3.36,215,207,4,0,1,0,0,0,17,0,0,0,2,0,0.0,0.0,7.9,0.0,0.0,0.0,0.9,0.0,85,58.4%,60.4%,5.9%,899,18.9%,37.9%,25.2%,58.0%,6.1%,2.4,60.7%,0.60,16.7%,1.7%,0.2%,39.6%,15.6%,16.6%,4.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.1784219,-122.8417807,,,0,True,True,0.06046511627906977
Little Mountain Place,9BA01,Vancouver Coastal Health,PNP,330 East 36th Avenue,Vancouver,V5W3Z4,Community Care & Assisted Living Act,Not Accredited,2.59,0.18,2.77,2.8,0.23,3.03,117,117,0,0,1,0,2,0,15,0,0,6,1,18,1.7,0.0,12.8,0.0,0.0,5.1,0.9,15.4,84,55.5%,51.4%,3.0%,"1,417",22.2%,33.1%,21.0%,60.6%,10.3%,2.4,57.4%,0.53,0.2%,1.3%,0.4%,37.1%,18.5%,9.3%,3.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.2376636,-123.0998532,1.0,0.0,1,True,True,0.0
Louis Brier Home and Hospital,999G3,Vancouver Coastal Health,PNP,1055 West 41st Ave,Vancouver,V6M1W9,Hospital Act & Community Care & Assisted Living Act,Accredited,2.62,0.24,2.86,2.87,0.26,3.13,215,149,33,0,1,1,2,0,22,0,0,8,3,12,0.9,0.0,10.2,0.0,0.0,3.7,1.4,5.6,85,61.4%,59.0%,3.9%,"1,410",18.2%,45.7%,33.9%,57.4%,13.4%,1.9,69.1%,0.58,15.9%,20.7%,8.2%,51.7%,34.7%,1.9%,6.0,16.0,2.0,5.0,1.0,4.0,0.0,0.0,0.0,2.0,0.0,2.0,6.0,0.0,49.2346366,-123.12927274582044,,,0,True,True,0.0
Luther Court,99DIG,Vancouver Island Health,PNP,1525 Cedar Hill Cross Rd,Victoria,V8P5M1,Community Care & Assisted Living Act,Accredited,2.66,0.36,3.01,2.91,0.34,3.25,60,60,0,0,0,0,0,0,2,0,0,1,0,2,0.0,0.0,3.3,0.0,0.0,1.7,0.0,3.3,84,64.1%,59.3%,5.6%,762,35.1%,36.7%,55.8%,73.3%,7.2%,1.8,72.1%,0.59,8.0%,0.0%,0.0%,55.0%,11.6%,1.2%,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.4619202,-123.3364271,,,0,False,False,0.0
Lynn Valley Care Centre,9B5JB,Vancouver Coastal Health,PFP,"1070 Lynn Valley Rd, North",North Vancouver,V7J1Z8,Hospital Act & Community Care & Assisted Living Act,Accredited,2.92,0.27,3.19,3.0,0.26,3.26,201,178,13,0,0,0,0,0,9,0,0,0,0,0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,87,64.3%,69.3%,2.4%,"1,442",19.9%,31.3%,16.9%,62.9%,7.7%,2.6,47.3%,0.56,7.2%,8.2%,0.0%,58.2%,25.6%,8.7%,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,49.33396,-123.045,79.0,20.0,1,True,True,0.30845771144278605
MSA Manor,98H7B,Fraser Health,PNP,2510 Gladwin Rd,Abbotsford,V2T3N9,Community Care & Assisted Living Act,Accredited,2.44,0.29,2.73,2.66,0.29,2.95,34,34,0,0,0,0,0,1,3,0,0,0,0,0,0.0,2.9,8.8,0.0,0.0,0.0,0.0,0.0,90,61.5%,73.5%,0.3%,944,21.3%,27.9%,23.5%,51.5%,4.4%,2.6,47.8%,0.58,1.5%,5.1%,0.0%,61.0%,36.6%,2.0%,1.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,49.04747485,-122.31462286620344,1.0,0.0,1,True,False,0.0
Mackenzie and District Hospital and Health Centre,93790,Northern Health,HA,45 Centennial Drive,Mackenzie,V0J2C0,Hospital Act,Accredited,3.31,0.0,3.31,3.61,0.0,3.61,5,4,0,0,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,55.3375782,-123.100648,,,0,False,False,0.0
Malaspina Gardens,99I1B,Vancouver Island Health,PFP,100 Eleventh Street,Nanaimo,V9R6R6,Community Care & Assisted Living Act,Accredited,2.78,0.29,3.07,2.93,0.28,3.21,136,136,0,0,1,0,1,0,29,0,0,3,2,0,0.7,0.0,21.3,0.0,0.0,2.2,1.5,0.0,81,60.2%,46.1%,11.2%,854,27.5%,25.3%,23.0%,61.9%,5.5%,3.2,35.8%,0.57,3.9%,0.9%,1.8%,45.3%,12.6%,1.3%,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.1298617,-123.9227916,,,0,True,True,0.007352941176470588
Maple Ridge Seniors Village,9376A,Fraser Health,PFP,22141 - 119th Avenue,Maple Ridge,V2X2Y7,Community Care & Assisted Living Act,Accredited,2.65,0.24,2.89,3.0,0.36,3.36,108,108,0,0,7,3,0,2,20,0,0,0,6,9,0.0,1.9,18.5,0.0,0.0,0.0,5.6,8.3,85,60.1%,57.5%,1.5%,614,23.9%,30.9%,41.2%,77.0%,14.9%,2.3,62.9%,0.57,5.8%,10.3%,0.3%,35.8%,27.3%,9.5%,6.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.2193789,-122.6084592,1.0,0.0,1,True,True,0.16666666666666666
Maplewood House,9BE34,Fraser Health,PNP,1919 Jackson St.,Abbotsford,V2S2Z8,Community Care & Assisted Living Act,Accredited,2.48,0.31,2.79,2.74,0.33,3.07,78,78,0,0,1,0,0,2,7,0,0,0,1,0,0.0,2.6,9.0,0.0,0.0,0.0,1.3,0.0,85,59.8%,58.0%,6.2%,607,18.4%,37.5%,39.8%,66.6%,18.1%,1.9,66.2%,0.60,4.0%,33.1%,2.0%,53.5%,36.3%,12.8%,3.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,49.03660720000001,-122.3091484,,,0,True,False,0.0
Mariposa Gardens,935JA,Interior Health,PFP,8816 97th Street (highway 97),Osoyoos,V0H1V5,Community Care & Assisted Living Act,Unknown,2.8,0.35,3.15,2.92,0.35,3.27,109,97,6,0,2,1,3,3,16,0,0,2,2,0,2.8,2.8,14.7,0.0,0.0,1.8,1.8,0.0,86,72.4%,62.0%,0.9%,801,16.9%,10.8%,42.9%,88.1%,11.2%,4.1,11.0%,0.58,14.8%,34.7%,0.0%,65.6%,13.6%,5.7%,3.0,10.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.034727,-119.47705829999998,,,0,True,True,0.045871559633027525
McBride and District Hospital,9A681,Northern Health,HA,1136 5th Avenue,McBride,V0J2E0,Hospital Act,Accredited,3.15,0.0,3.15,3.61,0.0,3.61,9,7,1,0,,,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93,50.0%,100.0%,0.0%,,19.4%,51.6%,35.5%,96.8%,3.2%,3.6,19.4%,0.59,9.7%,0.0%,0.0%,45.2%,37.3%,20.0%,1.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,4.0,0.0,0.0,53.30163979999999,-120.1608281,,,0,False,False,0.0
