,HCC_CODE,FACILITY_NAME,HLTH_AUTH,OWNERSHIP,STREET_ADDRESS,CITY,POSTAL,PHONE,OPERATOR_NAME,OPEN_DATE,COUNCIL,MEETINGS_HELD,PARKING_COSTS,REGULATION,ACCRED_STATUS,ACCRED_EXPIRY,COMPLAINT_CONTACT,COMPLAINT_PHONE,SPENDING_ACCOUNT,FOOD_SERVICE,FOOD_PREP,FOOD_COST_LASTYR,FOOD_COST_CURRENTYR,LANGUAGES,DCH_NURSE_LASTYR,DCH_ALLIED_LASTYR,DCH_TOTAL_LASTYR,DCH_NURSE_CURRENTYR,DCH_ALLIED_CURRENTYR,DCH_TOTAL_CURRENTYR,FEES_CABLE,FEES_TELE,FEES_INTERNET,FEES_OTHER,BEDS_PRIVATE,BEDS_PUBLIC,BEDS_TOTAL,ROOMS_PRIVATE,ROOMS_SEMI,ROOMS_MULTI,COMPLAINTS,SUB_COMPLAINTS,INCIDENT_OUTBREAK,INCIDENT_ABUSE,INCIDENT_FALL,INCIDENT_POISON,INCIDENT_MEDICATION,INCIDENT_WANDERING,INCIDENT_INJURY,INCIDENT_AGGRESSION,INCIDENT_OUTBREAK_100,INCIDENT_ABUSE_100,INCIDENT_FALL_100,INCIDENT_POISON_100,INCIDENT_MEDICATION_100,INCIDENT_WANDERING_100,INCIDENT_INJURY_100,INCIDENT_AGGRESSION_100,ADVERSE_EVENT,AGE,FEMALE,AGE_85_PLUS,AGE_UNDER_65,STAY_LENGTH,DEPRESSION,ADL_DEPENDENT,CPS_SEVERE,DEMENTIA,ABS_PHYS_ABUSIVE,ISE,ISE_LOW,CMI,THERAPY_PT,THERAPY_RT,THERAPY_OT,MEDS_DEPRESSION,MEDS_ANTIPSYCHOTICS,RESTRAINTS,WEBPAGE,SURVEY_URL,MISSING_SURVEY,CONTRACTED_NURSING,CONTRACTED_CARE_AIDES,CONTRACTED_HOUSEKEEPING,CONTRACTED_PLANT,PER_DIEM_LASTYR,PER_DIEM_CURRENTYR,INSPECTIONS,INFRACTIONS,INFRACTIONS_LICENSING,INFRACTIONS_FACILITY,INFRACTIONS_STAFFING,INFRACTIONS_POLICY,INFRACTIONS_CARE,INFRACTIONS_DISEASE,INFRACTIONS_FOOD,INFRACTIONS_MEDICATION,INFRACTIONS_PROGRAM,INFRACTIONS_REPORTING,INFRACTIONS_RIGHTS,INFRACTIONS_OTHER,facility_name,index,source_facility_type,odhf_facility_type,provider,unit,street_no,street_name,postal_code,city,province,source_format_str_address,CSDname,CSDuid,Pruid,latitude,longitude,address,location,point,geo_lat,geo_lon
161,98H8D,Menno Home,Fraser Health,PNP,32910 Brundige Ave,Abbotsford,V2S1N2,(604) 853 -2411,Mennonite Benevolent Society,1954,"Resident Council, Family Council",Regular Schedule,Yes (fee charged),Community Care & Assisted Living Act,Accredited,October 2021,"Karen L Baillie, CEO or Janet Bergen, Executive Director of Care Services",(604) 859-7631,Yes,Operator,Yes,$6.33,$6.78,English,2.48,0.31,2.79,2.7,0.33,3.03,No,No,No,Minor 3rd party billing fees,0,196,196,186,5,0,2,0,0,0,20,0,1,1,1,0,0.0,0.0,10.2,0.0,0.5,0.5,0.5,0.0,not applicable,87,64.1%,62.8%,2.2%,780,22.4%,15.1%,23.9%,81.8%,16.6%,3.0,44.3%,0.56,5.9%,84.3%,4.4%,58.0%,12.3%,3.6%,https://mennoplace.ca/menno-home/,https://surveybcseniors.org/carehomeresults/menno-home-fha/,,No,No,No,No,$191.55,$204.36,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,menno home,,,,,,,,,,,,,,,49.0401555,-122.3081538,"32910 Brundige Ave, Abbotsford, British Columbia, Canada","Brundige Avenue, Mill Lake, Abbotsford, British Columbia, V2S 1N8, Canada","(49.0401555, -122.3081538, 0.0)",49.0401555,-122.3081538
162,9A6H1,Menno Hospital,Fraser Health,PNP,32945 Marshall Road,Abbotsford,V2S1K1,(604) 859-7631,Mennonite Benevolent Society,1960,"Resident Council, Family Council",Regular Schedule,Yes (fee charged),Hospital Act,Accredited,October 2021,"Karen L Baillie, CEO or Janet Bergen, Executive Director of Care Services",(604) 859-7631,Yes,Operator,Yes,$7.37,$7.40,English,2.99,0.38,3.37,2.99,0.38,3.37,No,No,No,,0,151,151,59,43,2,0,0,1,0,16,0,0,0,2,1,0.7,0.0,10.6,0.0,0.0,0.0,1.3,0.7,not applicable,88,76.3%,73.2%,3.3%,834,24.0%,25.7%,18.0%,61.1%,8.5%,2.3,57.9%,0.59,10.6%,70.7%,6.4%,51.8%,5.1%,4.4%,https://mennoplace.ca/menno-hospital/,https://surveybcseniors.org/carehomeresults/menno-hospital-fha/,,Yes,No,No,No,$221.51,$225.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,menno hospital,,,,,,,,,,,,,,,49.03929855,-122.31110698892837,"32945 Marshall Road, Abbotsford, British Columbia, Canada","32945, Marshall Road, Mill Lake, Abbotsford, British Columbia, V2S 1J8, Canada","(49.03929855, -122.31110698892837, 0.0)",49.03929855,-122.31110698892837
164,9A5A2,Minto House - Arrow Lakes Hospital,Interior Health,HA,97 1st Avenue NE,Nakusp,V0G1R0,(250) 265-5233,Interior Health,1980,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Hospital Act,Accredited,September 2019,Patient Care Coordinator,(250) 265-4317,Yes,Operator,Yes,$7.85,$8.35,"English, French",2.95,0.51,3.46,2.95,0.51,3.46,No,No,Yes,,0,16,16,15,0,0,0,0,2,0,0,0,0,0,0,0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not applicable,86,64.1%,62.4%,4.3%,604,0.0%,39.0%,32.2%,79.7%,3.4%,3.5,28.8%,0.57,33.9%,0.0%,0.0%,42.4%,23.9%,0.0%,https://www.interiorhealth.ca/FindUs/_layouts/FindUs/service.aspx?svcloc=Minto%20House,https://surveybcseniors.org/carehomeresults/arrow-lakes-hospital-minto-iha/,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,minto house - arrow lakes hospital,,,,,,,,,,,,,,,50.2392729,-117.795712,"97 1st Avenue NE, Nakusp, British Columbia, Canada","1st Avenue NE, Nakusp, Regional District of Central Kootenay, British Columbia, V0G 1R0, Canada","(50.2392729, -117.795712, 0.0)",50.2392729,-117.795712
165,98J5G,Mission Creek Landing,Interior Health,PFP,3081 Hall Rd,Kelowna,V1W2R5,(250) 860-2330,Kaigo Senior Living Group,1979,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Community Care & Assisted Living Act,Accredited,November 2022,Manager,(250) 860-2330,Yes,Operator,Yes,$6.52,$6.67,"English, French, German, Spanish, Polish, Romanian, Portuguese, Tagalog, Filipino, Punjabi, Hindi, Cantonese, Mandarin, Russian, Ukrainian, Indonesian, Greek, Thai, American Sign Language (ASL)",2.8,0.35,3.15,2.87,0.35,3.22,No,No,No,,4,100,104,94,5,0,0,2,2,2,9,0,1,2,1,0,1.9,1.9,8.7,0.0,1.0,1.9,1.0,0.0,not applicable,88,76.0%,75.4%,1.0%,590,28.9%,22.1%,23.4%,74.7%,4.4%,3.4,31.5%,0.54,1.0%,0.3%,12.8%,54.9%,7.5%,2.2%,http://www.kaigo.ca/community/mission-creek-landing/,https://surveybcseniors.org/carehomeresults/sutherland-hills-iha/,,No,No,No,No,$190.28,$195.75,5.0,17.0,3.0,1.0,1.0,3.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,mission creek landing,,,,,,,,,,,,,,,49.8697756,-119.429557,"3081 Hall Rd, Kelowna, British Columbia, Canada","3081, Hall Road, Dilworth Mountain, Kelowna, Regional District of Central Okanagan, British Columbia, V1X 7W3, Canada","(49.8697756, -119.429557, 0.0)",49.8697756,-119.429557
168,92JJ0,Mount Cartier Court - Queen Victoria Hospital,Interior Health,HA,1200 Newlands Rd,Revelstoke,V0E2S1,(250) 814-2232,Interior Health,2006,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Community Care & Assisted Living Act,Accredited,September 2019,Manager,(250) 814-2224,Yes,Operator,Yes,$7.92,$9.26,English,3.0,0.4,3.4,3.07,0.41,3.49,No,No,No,"Clothing labeling, ID bracelet",0,44,44,38,6,0,0,0,1,0,4,0,0,1,0,0,2.3,0.0,9.1,0.0,0.0,2.3,0.0,0.0,not applicable,87,68.6%,64.3%,7.1%,"1,045",26.8%,34.5%,31.5%,73.2%,6.5%,3.1,38.7%,0.61,7.7%,10.7%,9.5%,60.7%,15.8%,4.3%,https://www.interiorhealth.ca/FindUs/_layouts/FindUs/service.aspx?svcloc=Mt.%20Cartier%20Court,https://surveybcseniors.org/carehomeresults/mount-cartier-court-queen-victoria-hospital-iha/,,No,No,No,No,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mount cartier court - queen victoria hospital,,,,,,,,,,,,,,,50.9769146,-118.1847111,"1200 Newlands Rd, Revelstoke, British Columbia, Canada","Newlands Road, Revelstoke, Columbia-Shuswap Regional District, British Columbia, V0E 2S1, Canada","(50.9769146, -118.1847111, 0.0)",50.9769146,-118.1847111
171,9A6A6,Mount St. Mary Hospital,Vancouver Island Health,PNP,861 Fairfield Rd.,Victoria,V8V5A9,(250) 480-3103,Marie Esther Society,2003,Resident & Family Council (combined),Regular Schedule,Yes (no fee),Hospital Act,Unknown,not available,Director of Care,(250) 480-3111,Yes,Operator,Yes,$9.25,$9.76,"German, Cantonese, French, Filipino, Polish, Cantonese, Spanish, Croatian, Japanese",2.85,0.15,3.0,2.87,0.16,3.04,No,No,Yes,Monthly admin fee,0,200,200,184,8,0,5,0,,,,,,,,,,,,,,,,,8,83,74.5%,55.6%,9.7%,883,28.5%,31.4%,29.2%,53.7%,5.2%,2.7,46.3%,0.60,1.3%,9.6%,43.3%,58.5%,25.2%,0.6%,https://mountstmary.ca/,https://surveybcseniors.org/carehomeresults/mount-st-mary-hospital-island/,,No,No,No,No,$222.03,$226.74,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mount st. mary hospital,1170.0,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,V8V5A9,victoria,bc,,Victoria,,59.0,48.4132064,-123.3446919,"861 Fairfield Rd., Victoria, British Columbia, Canada","Fairfield Road, Cook Street Village, Fairfield, Victoria, Capital Regional District, British Columbia, V8S 1V9, Canada","(48.4132064, -123.3446919, 0.0)",48.4132064,-123.3446919
173,92HIA,Mountain Lake Seniors Community,Interior Health,PFP,908 11th St,Nelson,V1L7A6,(250) 352-2600,Park Place Seniors Living Inc.,2005,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Community Care & Assisted Living Act,Unknown,not available,Program Manager / Community Administrator,(250) 352-2600x126 / (250) 352-2600x103,Yes,Outside Contractor,Yes,$5.69,$5.95,English,2.8,0.35,3.15,3.01,0.35,3.36,No,No,No,,7,85,92,92,0,0,1,1,0,4,5,0,0,0,1,0,0.0,4.3,5.4,0.0,0.0,0.0,1.1,0.0,not applicable,84,65.5%,59.5%,8.1%,980,26.2%,14.5%,25.5%,67.9%,10.0%,3.3,31.7%,0.57,3.4%,0.3%,0.7%,40.7%,25.3%,0.0%,https://www.parkplaceseniorsliving.com/find-a-location/british-columbia/interior/mountain-lake/,https://surveybcseniors.org/carehomeresults/mountain-lake-seniors-community-ltd-iha/,,Yes,Yes,Yes,Yes,$195.23,$205.32,2.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mountain lake seniors community,,,,,,,,,,,,,,,49.5081403,-117.26611815013092,"908 11th St, Nelson, British Columbia, Canada","Mountain Lake Seniors Community, 908, 11th Street, Fairview, Nelson, Regional District of Central Kootenay, British Columbia, V1L 3C7, Canada","(49.5081403, -117.26611815013092, 0.0)",49.5081403,-117.26611815013092
174,9A4E5,Mountain View Lodge - Lillooet Hospital and Health Centre,Interior Health,HA,951 Murray St. ,Lillooet,V0K1V0,(250) 256-1312,Interior Health,1980,Resident & Family Council (combined),Regular Schedule,Yes (no fee),Community Care & Assisted Living Act,Accredited,September 2019,Long Term Care Coordinator,(250) 256-1346,Yes,Operator,No,$7.09,$8.26,English,2.9,0.37,3.27,2.9,0.37,3.27,No,No,No,,0,22,22,20,1,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,not applicable,87,72.3%,66.0%,3.9%,"1,958",47.0%,42.2%,38.6%,78.3%,10.8%,2.6,49.4%,0.65,44.6%,2.4%,0.0%,57.8%,30.6%,0.3%,https://www.interiorhealth.ca/FindUs/_layouts/FindUs/service.aspx?svcloc=Mountain%20View%20Lodge,https://surveybcseniors.org/carehomeresults/mountain-view-lodge-lillooet-hosp-hctr-iha/,,,,,,,,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mountain view lodge - lillooet hospital and health centre,,,,,,,,,,,,,,,50.68929895,-121.93935595579316,"951 Murray St. , Lillooet, British Columbia, Canada","Lillooet Hospital & Health Centre, 951, Murray Street, Lillooet, Squamish-Lillooet Regional District, British Columbia, V0K 2E3, Canada","(50.68929895, -121.93935595579316, 0.0)",50.68929895,-121.93935595579316
175,9A56E,Mountain View Manor - Delta Hospital,Fraser Health,HA,5800 Mountain View Boulevard,Delta,V4K3V6,(604) 940-3416 ext. 787340,Fraser Health,,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Hospital Act,Unknown,not available,Manager / Resident Care Coordinator,(604) 946-1121 x.783299,Yes,Operator,Yes,$7.13,$7.36,"Portuguese, English, Italian, Mandarin, Cantonese, Punjabi, German, Dutch, Tagalog",3.04,0.37,3.41,3.04,0.37,3.41,Yes,Yes,Yes,,0,92,92,12,4,18,0,0,0,0,3,0,0,0,1,0,0.0,0.0,3.3,0.0,0.0,0.0,1.1,0.0,not applicable,90,64.6%,73.6%,1.1%,911,11.5%,44.7%,28.1%,45.3%,5.0%,1.7,72.5%,0.58,21.6%,63.0%,1.5%,37.9%,22.0%,3.6%,https://www.fraserhealth.ca/Service-Directory/Service-At-Location/6/7/residential-care---mountain-view-manor#.XROQGEmouUk,https://surveybcseniors.org/carehomeresults/mountain-view-manor-at-delta-hospital-fha/,,No,Yes,Yes,No,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mountain view manor - delta hospital,,,,,,,,,,,,,,,49.085682399999996,-123.06125243089483,"5800 Mountain View Boulevard, Delta, British Columbia, Canada","Delta Hospital, 5800, Mountain View Boulevard, Ladner, Delta, Metro Vancouver Regional District, British Columbia, V4K 5B4, Canada","(49.085682399999996, -123.06125243089483, 0.0)",49.085682399999996,-123.06125243089483
176,9A630,Mountainview Lodge - Kitimat General Hospital,Northern Health,HA,920 Lahakas Blvd. S,Kitimat,V8C2S3,(250) 632-8357,Northern Health,2002,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Hospital Act,Accredited,June 2022,Sarah Degerness - Site Coordinator,(250) 632-8337,Yes,Operator,No,$13.03,$13.13,"English, Portuguese, Tagalog, Punjabi",3.13,0.27,3.41,3.02,0.43,3.45,No,No,Yes,Clothing labelling fee,0,36,36,32,2,0,,,0,0,1,0,0,0,0,0,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,not applicable,82,73.6%,45.9%,5.0%,,47.6%,48.4%,41.1%,47.6%,0.8%,2.5,51.6%,0.62,0.0%,8.1%,0.0%,45.2%,21.0%,8.0%,https://www.northernhealth.ca/locations/long-term-care/mountainview-lodge,https://surveybcseniors.org/carehomeresults/mountainview-lodge-kitimat-general-hospital-nha/,,No,No,No,No,,,2.0,9.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,mountainview lodge - kitimat general hospital,,,,,,,,,,,,,,,54.0542737,-128.6552266,"920 Lahakas Blvd. S, Kitimat, British Columbia, Canada","Lahakas, 120, city centre, Kildala, Kitimat, Regional District of Kitimat-Stikine, British Columbia, V8C 2T0, Canada","(54.0542737, -128.6552266, 0.0)",54.0542737,-128.6552266
177,93240,Mountainview Village,Interior Health,PNP,1540 K.L.O. Road,Kelowna,V1W3P6,(250) 469-6935,The Good Samaritan Society,2007,Resident & Family Council (combined),Regular Schedule,Yes (no fee),Community Care & Assisted Living Act,Accredited,November 2020,Site Manager,(250) 717-4022,Yes,Operator,Yes,$10.14,$9.22,"English, Filipino",2.8,0.35,3.15,2.8,0.35,3.15,No,No,No,,0,90,90,90,0,0,0,0,0,0,11,0,0,1,12,0,0.0,0.0,12.2,0.0,0.0,1.1,13.3,0.0,not applicable,84,61.8%,59.8%,5.3%,782,20.4%,19.6%,34.9%,71.5%,15.3%,2.9,34.7%,0.59,1.1%,10.2%,0.3%,53.0%,42.9%,6.8%,https://gss.org/locations/mountainview-village/,https://surveybcseniors.org/carehomeresults/mountainview-village-iha/,,Yes,Yes,No,No,$212.71,$219.45,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,mountainview village,,,,,,,,,,,,,,,49.8610063,-119.4565603,"1540 K.L.O. Road, Kelowna, British Columbia, Canada","K.L.O. Road, South Kelowna, Kelowna, Regional District of Central Okanagan, British Columbia, V1W 2E1, Canada","(49.8610063, -119.4565603, 0.0)",49.8610063,-119.4565603
180,99C37,New Vista Care Home,Fraser Health,PNP,7550 Rosewood Street,Burnaby,V5E3Z3,(604) 521-7764,New Vista Society,1975,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Community Care & Assisted Living Act,Accredited,October 2021,Manager - Executive Services,(604) 521-7765 x 1155,Yes,Operator,Yes,$7.97,$8.15,"English, Cantonese, Tagalog, Polish, Russian, Romanian, Punjabi, Hindi, French, German, Hungarian, Japanese",2.42,0.31,2.73,2.67,0.32,2.99,No,No,No,,0,236,236,236,0,0,3,1,0,1,27,1,0,7,4,17,0.0,0.4,11.4,0.4,0.0,3.0,1.7,7.2,not applicable,83,62.5%,49.3%,4.7%,"1,087",14.4%,29.5%,31.9%,72.9%,13.3%,2.7,48.8%,0.52,21.0%,37.6%,0.0%,52.4%,32.8%,8.1%,https://newvista.bc.ca/,https://surveybcseniors.org/carehomeresults/new-vista-care-home-fha/,,No,No,No,No,$187.13,$200.59,5.0,16.0,0.0,3.0,4.0,4.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,new vista care home,,,,,,,,,,,,,,,49.2239438,-122.94541269093861,"7550 Rosewood Street, Burnaby, British Columbia, Canada","New Vista Care Home, 7550, Rosewood Street, Eastburn, Burnaby, Metro Vancouver Regional District, British Columbia, V5E 0B1, Canada","(49.2239438, -122.94541269093861, 0.0)",49.2239438,-122.94541269093861
183,9C489,Normanna Rest Home,Fraser Health,PNP,7725-4th St,Burnaby,V3N5B6,(604) 522-5812,Norwegian Old Peoples Association,2000,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Community Care & Assisted Living Act,Unknown,not available,Penny Hill,(604) 515-3330,Yes,Outside Contractor,Yes,$10.86,$11.74,"Filipino, Punjabi, Mandarin, Cantonese, English, Gujarati, Hindi, Polish, Swahili",2.65,0.33,2.98,2.72,0.34,3.06,No,No,No,"Drugs & specialty services, transportation not otherwise covered",0,100,100,90,5,0,0,0,0,0,3,0,0,0,0,0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,not applicable,86,80.2%,61.0%,2.5%,"1,142",27.3%,34.9%,20.6%,62.8%,16.1%,2.9,38.8%,0.60,13.5%,49.5%,0.8%,44.8%,25.9%,9.4%,http://normanna.ca/,https://surveybcseniors.org/carehomeresults/normanna-fha/,,Yes,Yes,Yes,Yes,$199.06,$205.81,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normanna rest home,,,,,,,,,,,,,,,49.22202645,-122.92761074114857,"7725-4th St, Burnaby, British Columbia, Canada","Normanna Home, 7725, 4th Street, Uptown, Burnaby, Metro Vancouver Regional District, British Columbia, V3L 2W6, Canada","(49.22202645, -122.92761074114857, 0.0)",49.22202645,-122.92761074114857
187,9252A,Orchard Haven - South Similkameen Health Centre,Interior Health,HA,700 3rd St,Keremeos,V0X1N0,(250) 499-3030,Interior Health,2000,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Community Care & Assisted Living Act,Accredited,September 2019,Care Coordinator / Manager,(250) 499-3000 / (250) 499-3036,Yes,Operator,Yes,$8.37,$8.92,"English, Punjabi",3.01,0.41,3.42,3.04,0.41,3.45,No,No,No,,0,38,38,38,0,0,0,0,1,1,9,0,0,4,4,1,2.6,2.6,23.7,0.0,0.0,10.5,10.5,2.6,not applicable,82,66.5%,50.2%,4.4%,643,41.7%,30.3%,29.5%,69.7%,6.1%,3.1,43.9%,0.60,12.1%,3.0%,3.8%,50.0%,26.7%,21.4%,https://www.interiorhealth.ca/FindUs/_layouts/FindUs/service.aspx?svcloc=Orchard%20Haven,https://surveybcseniors.org/carehomeresults/orchard-haven-south-similkameen-health-centre-iha/,,No,No,No,No,,,2.0,11.0,2.0,0.0,2.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,orchard haven - south similkameen health centre,,,,,,,,,,,,,,,49.2069196,-119.8315278,"700 3rd St, Keremeos, British Columbia, Canada","3rd Street, Keremeos, Regional District of Okanagan-Similkameen, British Columbia, V0X 1N0, Canada","(49.2069196, -119.8315278, 0.0)",49.2069196,-119.8315278
188,9A708,Overlander Residential Care,Interior Health,HA,953 Southill Street,Kamloops,V2B7Z9,(250) 554-2323,Interior Health,1976,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Hospital Act,Accredited,September 2019,Manager / Assistant Manager / Resident Care Coordinator,(250) 544-6035,Yes,Operator,Primarily,$8.67,$9.26,"English, Filipino, Hindi, French",2.98,0.25,3.23,3.04,0.38,3.42,No,No,No,,0,183,183,35,14,30,0,0,4,0,17,0,0,5,9,2,2.2,0.0,9.3,0.0,0.0,2.7,4.9,1.1,not applicable,81,68.3%,42.6%,9.0%,726,37.3%,50.5%,36.4%,67.6%,9.6%,2.5,49.9%,0.62,21.7%,44.4%,17.3%,59.9%,37.3%,8.3%,https://www.interiorhealth.ca/FindUs/_layouts/FindUs/service.aspx?svcloc=Overlander,https://surveybcseniors.org/carehomeresults/overlander-iha/,,No,No,No,No,,,0.0,3.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,overlander residential care,,,,,,,,,,,,,,,50.7037337,-120.3973241,"953 Southill Street, Kamloops, British Columbia, Canada","953, Southill Street, Mission Flats, Kamloops, Thompson-Nicola Regional District, British Columbia, V2B 7Z9, Canada","(50.7037337, -120.3973241, 0.0)",50.7037337,-120.3973241
196,9A9G2,Pine Grove Seniors Community,Interior Health,PFP,313 Mcgowan Street,Kamloops,V2B2N8,(250) 376-5701,Park Place Seniors Living Inc.,1981,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Community Care & Assisted Living Act,Unknown,not available,Administrator,(250) 376-5701x501,Yes,Outside Contractor,Yes,$6.67,$6.90,"English, Italian, Tagalog, Urdu, Hindi, Punjabi, Mandarin, Cantonese",2.8,0.35,3.15,2.99,0.35,3.34,No,No,No,,0,75,75,14,31,0,1,0,2,0,8,0,0,1,3,1,2.7,0.0,10.7,0.0,0.0,1.3,4.0,1.3,not applicable,87,74.2%,62.8%,2.0%,395,29.1%,37.0%,29.8%,63.3%,7.6%,3.2,38.8%,0.62,11.8%,9.3%,0.0%,50.9%,17.2%,9.1%,https://www.parkplaceseniorsliving.com/find-a-location/british-columbia/interior/pine-grove/,https://surveybcseniors.org/carehomeresults/pine-grove-lodge-iha/,,Yes,Yes,Yes,No,$193.35,$202.60,1.0,5.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,pine grove seniors community,,,,,,,,,,,,,,,50.64479145,-120.34409980000001,"313 Mcgowan Street, Kamloops, British Columbia, Canada","McGowan, Albert McGowan Park Trail, Upper Sahali, Kamloops, Thompson-Nicola Regional District, British Columbia, V2E 2M7, Canada","(50.64479145, -120.34409980000001, 0.0)",50.64479145,-120.34409980000001
198,9BJG5,Pleasant Valley Manor,Interior Health,HA,3800 Patten Dr.,Armstrong,V0E1B2,(250) 546-4707,Interior Health,1995,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Hospital Act,Accredited,September 2019,Manager / Care Coordinator,(250) 546-4707,Yes,Operator,Yes,$7.65,$7.62,"English, French",2.93,0.31,3.24,2.93,0.31,3.24,No,No,No,,0,82,82,82,0,0,0,0,0,1,9,0,0,1,1,0,0.0,1.2,11.0,0.0,0.0,1.2,1.2,0.0,not applicable,87,64.1%,72.0%,4.0%,601,28.6%,43.2%,23.5%,72.9%,5.1%,3.0,38.1%,0.59,0.9%,71.4%,0.0%,51.2%,25.4%,11.8%,https://www.interiorhealth.ca/FindUs/_layouts/FindUs/service.aspx?svcloc=Pleasant%20Valley%20Manor,https://surveybcseniors.org/carehomeresults/pleasant-valley-manor-iha/,,No,No,No,No,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pleasant valley manor,1325.0,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,V0E1B2,armstrong,bc,,Armstrong,,59.0,50.4392858,-119.2079969,"3800 Patten Dr., Armstrong, British Columbia, Canada","Patten Drive, Armstrong, Regional District of North Okanagan, British Columbia, V0E 1B0, Canada","(50.4392858, -119.2079969, 0.0)",50.4392858,-119.2079969
199,9995A,Point Grey Private Hospital,Vancouver Coastal Health,PFP,2423 Cornwall Avenue,Vancouver,V6K1B9,(604) 733-7133,The Care Group,1979,Resident Council,Regular Schedule,Yes (no fee),Hospital Act,Not Accredited,not applicable,Site Leader/Manager,(604) 733-7133,Yes,Outside Contractor,Yes,$7.53,$6.56,"English, Tagalog",2.62,0.13,2.75,2.72,0.13,2.85,No,No,No,"Hairdresser, foot care",5,67,72,31,20,0,0,0,1,0,2,0,0,0,0,1,1.4,0.0,2.8,0.0,0.0,0.0,0.0,1.4,not applicable,86,60.4%,64.3%,0.4%,749,30.5%,29.7%,27.1%,75.1%,12.6%,3.6,29.0%,0.59,3.3%,0.0%,1.1%,55.8%,24.7%,32.7%,http://tcgcare.com/pointgreyprivatehospital,https://surveybcseniors.org/carehomeresults/point-grey-private-hospital-vcha/,,Yes,No,Yes,Yes,$207.08,$211.67,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,point grey private hospital,,,,,,,,,,,,,,,49.2724948,-123.1496031,"2423 Cornwall Avenue, Vancouver, British Columbia, Canada","Cornwall Avenue, Kitsilano, Vancouver, Metro Vancouver Regional District, British Columbia, V6J, Canada","(49.2724948, -123.1496031, 0.0)",49.2724948,-123.1496031
