FACILITY_NAME,HCC_CODE,HLTH_AUTH,OWNERSHIP,STREET_ADDRESS,CITY,POSTAL,PHONE,OPERATOR_NAME,OPEN_DATE,COUNCIL,MEETINGS_HELD,PARKING_COSTS,REGULATION,ACCRED_STATUS,ACCRED_EXPIRY,COMPLAINT_CONTACT,COMPLAINT_PHONE,SPENDING_ACCOUNT,FOOD_SERVICE,FOOD_PREP,FOOD_COST_LASTYR,FOOD_COST_CURRENTYR,LANGUAGES,DCH_NURSE_LASTYR,DCH_ALLIED_LASTYR,DCH_TOTAL_LASTYR,DCH_NURSE_CURRENTYR,DCH_ALLIED_CURRENTYR,DCH_TOTAL_CURRENTYR,FEES_CABLE,FEES_TELE,FEES_INTERNET,FEES_OTHER,BEDS_PRIVATE,BEDS_PUBLIC,BEDS_TOTAL,ROOMS_PRIVATE,ROOMS_SEMI,ROOMS_MULTI,COMPLAINTS,SUB_COMPLAINTS,INCIDENT_OUTBREAK,INCIDENT_ABUSE,INCIDENT_FALL,INCIDENT_POISON,INCIDENT_MEDICATION,INCIDENT_WANDERING,INCIDENT_INJURY,INCIDENT_AGGRESSION,INCIDENT_OUTBREAK_100,INCIDENT_ABUSE_100,INCIDENT_FALL_100,INCIDENT_POISON_100,INCIDENT_MEDICATION_100,INCIDENT_WANDERING_100,INCIDENT_INJURY_100,INCIDENT_AGGRESSION_100,ADVERSE_EVENT,AGE,FEMALE,AGE_85_PLUS,AGE_UNDER_65,STAY_LENGTH,DEPRESSION,ADL_DEPENDENT,CPS_SEVERE,DEMENTIA,ABS_PHYS_ABUSIVE,ISE,ISE_LOW,CMI,THERAPY_PT,THERAPY_RT,THERAPY_OT,MEDS_DEPRESSION,MEDS_ANTIPSYCHOTICS,RESTRAINTS,WEBPAGE,SURVEY_URL,MISSING_SURVEY,CONTRACTED_NURSING,CONTRACTED_CARE_AIDES,CONTRACTED_HOUSEKEEPING,CONTRACTED_PLANT,PER_DIEM_LASTYR,PER_DIEM_CURRENTYR,INSPECTIONS,INFRACTIONS,INFRACTIONS_LICENSING,INFRACTIONS_FACILITY,INFRACTIONS_STAFFING,INFRACTIONS_POLICY,INFRACTIONS_CARE,INFRACTIONS_DISEASE,INFRACTIONS_FOOD,INFRACTIONS_MEDICATION,INFRACTIONS_PROGRAM,INFRACTIONS_REPORTING,INFRACTIONS_RIGHTS,INFRACTIONS_OTHER,latitude,longitude,cleaned_name,Facility Name,Total Confirmed Cases,Total Deaths,outbreak
Summerland Seniors Village,92HB0,Interior Health,PFP,12803 Atkinson Road,Summerland,V0H1Z4,(250) 404-4400,Retirement Concepts,2006,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Community Care & Assisted Living Act,Accredited,February 2022,General Manager,(250) 404-4400,Yes,Operator,Yes,$11.35,$12.08,"English, French, Punjabi",2.8,0.35,3.15,2.85,0.35,3.2,No,Yes,Yes,,37,75,112,105,0,0,3,5,3,1,17,0,1,2,3,0,2.7,0.9,15.2,0.0,0.9,1.8,2.7,0.0,not applicable,87,69.4%,72.3%,1.3%,855,13.6%,29.3%,33.9%,88.6%,15.4%,2.9,38.6%,0.56,0.4%,56.1%,3.6%,51.8%,40.4%,4.0%,https://www.retirementconcepts.com/locations/summerland-seniors-village/,https://surveybcseniors.org/carehomeresults/summerland-seniors-village-iha/,,Yes,Yes,Yes,Yes,$208.18,$217.43,7.0,22.0,6.0,1.0,5.0,2.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,49.600055499999996,-119.66879180000001,summerland seniors village,,,,0
Sun Pointe Village,92450,Interior Health,PNP,700 Rutland Road N,Kelowna,V1X7W8,(250) 491-1400,Baptist Housing,2000,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Community Care & Assisted Living Act,Unknown,not available,Administrator,(250) 491-1400x7 / (250) 878-3970,Yes,Outside Contractor,Yes,$7.14,$7.14,"English, German, Italian, Portuguese, Hungarian, Serbian, Bosnian, Croatian, Dutch",2.8,0.35,3.15,2.96,0.35,3.31,No,No,No,Hydro,0,100,100,100,0,0,0,0,2,3,8,1,0,3,5,0,2.0,3.0,8.0,1.0,0.0,3.0,5.0,0.0,not applicable,84,69.1%,56.2%,6.0%,984,35.9%,30.4%,45.2%,84.7%,10.4%,2.3,52.1%,0.57,0.0%,46.8%,2.2%,61.4%,25.7%,2.4%,https://www.baptisthousing.org/communities/sun-pointe-village-kelowna,https://surveybcseniors.org/carehomeresults/sun-pointe-village-iha/,,No,No,Yes,No,$206.48,$215.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.8958819,-119.38707849999999,sun pointe village,,,,0
Suncreek Village,9370A,Fraser Health,PFP,13687 62nd Avenue,Surrey,V3X0B5,(604) 591-5177,Daljit Gill,2009,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Community Care & Assisted Living Act,Unknown,not available,Director of Care Services,(504) 591-5177 ext. 103,,Operator,Yes,$6.04,$6.35,English,2.63,0.37,3.0,2.99,0.37,3.36,No,No,No,,14,120,134,120,0,0,1,0,0,1,12,0,0,1,4,0,0.0,0.7,9.0,0.0,0.0,0.7,3.0,0.0,not applicable,82,65.0%,50.1%,9.8%,849,20.0%,46.2%,34.9%,59.8%,10.3%,1.5,75.6%,0.59,50.6%,55.4%,4.4%,52.6%,35.3%,1.4%,https://www.suncreekvillage.ca/,https://surveybcseniors.org/carehomeresults/suncreek-village-fha/,,No,No,No,No,$209.18,$226.59,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,49.1156408,-122.8450108,suncreek village,,,,0
Sunnybank Retirement Home,98IDJ,Interior Health,HA,6553 Park Drive,Oliver,V0H1T0,(250) 498-4951,Interior Health,1979,Resident & Family Council (combined),Regular Schedule,Yes (no fee),Community Care & Assisted Living Act,Accredited,September 2019,Manager,(250) 485-4951 (Directory options 1-1),Yes,Operator,Yes,$6.45,$7.72,"English, Punjabi, German",2.86,0.33,3.19,2.96,0.49,3.45,No,No,No,,0,51,51,51,0,0,0,0,1,0,10,0,0,0,2,0,2.0,0.0,19.6,0.0,0.0,0.0,3.9,0.0,not applicable,88,58.8%,74.6%,3.8%,565,29.0%,24.1%,17.3%,54.9%,3.1%,2.5,47.5%,0.57,22.8%,35.2%,6.8%,34.6%,21.0%,5.1%,https://www.interiorhealth.ca/FindUs/_layouts/FindUs/service.aspx?svcloc=Sunnybank%20Centre,https://surveybcseniors.org/carehomeresults/sunnybank-retirement-home-iha/,,No,No,No,No,,,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,49.18796645,-119.53956620008628,sunnybank retirement home,,,,0
Sunridge Place Seniors Community,93580,Vancouver Island Health,PFP,361 Bundock Ave,Duncan,V9L3P1,(250) 748-8048,Park Place Seniors Living Inc.,2008,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Community Care & Assisted Living Act,Not Accredited,not applicable,Louise Johnson,(250) 748-8048 ext. 1113,Yes,Outside Contractor,Yes,$6.68,$6.98,"English, Urdu, Hindi, German, Tagalog",2.86,0.22,3.08,3.02,0.23,3.25,No,No,No,"Clothing labeling, recreation fee, identification bracelet, dental hygiene, wall mount of TV",0,160,160,160,0,0,19,9,1,0,28,0,0,0,5,7,0.6,0.0,17.5,0.0,0.0,0.0,3.1,4.4,not applicable,82,60.5%,47.2%,9.1%,"1,228",16.0%,20.6%,25.9%,70.9%,9.1%,2.6,49.5%,0.55,1.4%,0.3%,6.4%,61.4%,26.2%,2.2%,https://www.parkplaceseniorsliving.com/find-a-location/british-columbia/vancouver-island/sunridge-place/,https://surveybcseniors.org/carehomeresults/sunridge-place-the-arbours-island/,,No,Yes,Yes,No,$211.46,$219.43,5.0,10.0,0.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,48.7787315,-123.696975,sunridge place seniors community,,,,0
Sunset Lodge,99ICF,Vancouver Island Health,PNP,952 Arm Street,Esquimalt,V9A4G7,(250) 385-3422,Governing Council of the Salvation Army in Canada,1979,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Community Care & Assisted Living Act,Accredited,June 2021,Director of Care,(250) 385-3422 x 237,Yes,Operator,Yes,$7.35,$10.13,"English, Spanish, Russian, Cantonese",2.76,0.3,3.06,2.87,0.28,3.15,No,No,No,,0,108,108,108,0,0,10,1,1,3,15,0,0,6,3,2,0.9,2.8,13.9,0.0,0.0,5.6,2.8,1.9,not applicable,83,59.2%,52.0%,6.4%,862,28.0%,32.0%,45.8%,65.9%,8.9%,2.0,63.1%,0.55,1.9%,1.6%,0.7%,66.1%,43.3%,2.4%,https://www.sunsetlodge.ca/,https://surveybcseniors.org/carehomeresults/victoria-sunset-lodge-island/,,No,No,No,No,$217.01,$226.79,6.0,9.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,48.441883000000004,-123.393387,sunset lodge,,,,0
Swan Valley Lodge,98F21,Interior Health,HA,818 Vancouver St,Creston,V0B1G4,(250) 428-2283,Interior Health,1995,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Hospital Act & Community Care & Assisted Living Act,Accredited,September 2019,Manager / Resident Care Coordinator,(250) 428-3623 / (250) 428-3647,Yes,Operator,Yes,$7.92,$7.96,"English, German, Polish, Ukrainian, Russian, French, Mandarin, Italian",2.94,0.34,3.28,2.98,0.43,3.41,No,No,No,,0,90,90,90,0,0,0,0,0,0,4,0,2,4,1,0,0.0,0.0,4.4,0.0,2.2,4.4,1.1,0.0,not applicable,84,63.2%,49.0%,4.7%,777,18.3%,32.2%,25.7%,71.6%,10.7%,2.9,43.2%,0.56,16.9%,1.5%,0.0%,52.7%,23.6%,7.6%,https://www.interiorhealth.ca/FindUs/_layouts/FindUs/service.aspx?svcloc=Swan%20Valley%20Lodge,https://surveybcseniors.org/carehomeresults/swan-valley-lodge-iha/,,No,No,No,No,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.097877200000006,-116.5163929,swan valley lodge,,,,0
Tabor Home,98H94,Fraser Health,PNP,31944 Sunrise Cres,Abbotsford,V2T1N5,(604) 859-8715,Tabor Home Society,1960,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Community Care & Assisted Living Act,Unknown,not available,Executive Director,(604) 859-8715x102,Yes,Operator,Yes,$6.10,$6.32,"Hungarian, English, French, Dutch, German, Low German, Punjabi",2.48,0.31,2.79,2.74,0.32,3.06,No,No,No,Clothing labelling fee,0,118,118,106,6,0,2,0,1,0,9,0,0,2,1,2,0.8,0.0,7.6,0.0,0.0,1.7,0.8,1.7,not applicable,90,73.6%,76.1%,2.8%,804,17.3%,10.2%,31.6%,76.9%,8.2%,3.2,38.6%,0.57,28.8%,15.1%,0.0%,56.1%,33.6%,4.9%,https://website.taborvillage.org/care-solutions/complex-care/,https://surveybcseniors.org/carehomeresults/tabor-home-fha/,,No,No,No,No,$190.87,$204.98,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.047016,-122.338899,tabor home,Tabor Home,1.0,1.0,1
Talarico Place - Castlegar District Community Health Centre,9C0DE,Interior Health,HA,709 10th Street,Castlegar,V1N2H7,(250) 365-7221,Interior Health,1991,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Community Care & Assisted Living Act,Accredited,September 2019,Resident Care Coordinator / Manager,(250) 304-1278 / (250)304-1218,Yes,Operator,Yes,$7.11,$7.68,"English, French, Russian, Portuguese, German, Spanish",2.79,0.38,3.17,2.85,0.51,3.36,No,No,No,,0,60,60,38,11,0,1,0,1,2,5,1,0,0,0,0,1.7,3.3,8.3,1.7,0.0,0.0,0.0,0.0,not applicable,88,71.7%,72.4%,1.6%,721,24.4%,44.9%,32.7%,57.1%,8.8%,2.4,48.3%,0.60,21.5%,0.0%,1.0%,44.9%,6.6%,0.0%,https://www.interiorhealth.ca/FindUs/_layouts/FindUs/service.aspx?svcloc=Talarico%20Place,https://surveybcseniors.org/carehomeresults/talarico-place-castlegar-dist-community-health-centre-iha/,,No,No,No,No,,,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,49.314417399999996,-117.6608054,talarico place - castlegar district community health centre,,,,0
Terraceview Lodge,9AIHF,Northern Health,HA,4707 Kerby Avenue,Terrace,V8G2W2,(250) 631-4209,Northern Health,1984,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Community Care & Assisted Living Act,Accredited,June 2022,Site Coordinator / Resident Care Coordinator,(250) 631-4180 / (250) 631-4188,Yes,Operator,Yes,$7.92,$13.20,"English, Polish, Filipino, German, Vietnamese, Portuguese, French",3.5,0.23,3.73,3.25,0.22,3.47,No,No,No,,0,99,99,95,0,0,0,0,1,0,2,0,0,0,2,0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,not applicable,81,56.2%,48.6%,12.4%,"1,122",17.9%,25.4%,40.3%,66.7%,12.9%,2.3,55.2%,0.56,3.0%,4.5%,4.0%,36.3%,27.6%,10.3%,https://www.northernhealth.ca/locations/long-term-care/terraceview-lodge,https://surveybcseniors.org/carehomeresults/terrace-view-lodge-nha/,,No,No,No,No,,,1.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.533333,-128.59333999999998,terraceview lodge,,,,0
The Cascades Care Community,9A599,Fraser Health,PFP,45586 Mcintosh Drive,Chilliwack,V2P7W8,(604) 795-2500,Sienna Senior Living,2006,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Community Care & Assisted Living Act,Unknown,not available,"Cheryl Dawes, Manager / General Manager",(604) 795-7297 / (604) 795-2500,No,Operator,Yes,$7.47,$9.59,"English, Dutch",2.55,0.32,2.87,2.85,0.34,3.19,No,No,No,,13,106,119,101,9,0,0,0,0,0,16,0,1,0,2,1,0.0,0.0,13.4,0.0,0.8,0.0,1.7,0.8,not applicable,88,66.0%,72.3%,3.4%,710,14.8%,27.7%,29.6%,66.6%,13.8%,2.2,64.2%,0.60,0.2%,1.9%,0.0%,59.4%,20.0%,7.1%,https://www.siennaliving.ca/long-term-care/british-columbia/the-cascades-care-community,https://surveybcseniors.org/carehomeresults/cascade-lodge-fha/,,No,No,No,No,$231.42,$247.42,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,49.1608031,-121.96569009999999,the cascades care community,,,,0
The Gardens at Qualicum Beach,9C6H8,Vancouver Island Health,PFP,650 Berwick Road North,Qualicum Beach,V9K2T8,(250) 752-2818,Retirement Concepts,2006,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Community Care & Assisted Living Act,Accredited,February 2022,General Manager,(250) 738-2250,Yes,Outside Contractor,Yes,$7.46,$7.41,"English, French, German",2.87,0.21,3.08,2.92,0.23,3.15,No,No,No,Clothing labelling fee,15,85,100,86,5,0,6,4,1,3,13,0,1,3,0,1,1.0,3.0,13.0,0.0,1.0,3.0,0.0,1.0,not applicable,87,68.3%,71.3%,3.8%,925,22.7%,19.9%,27.8%,50.9%,4.5%,3.4,37.8%,0.55,3.4%,11.4%,0.0%,44.0%,25.3%,15.6%,http://www.thegardensatqualicum.com/,https://surveybcseniors.org/carehomeresults/the-gardens-at-qualicum-beach-island/,,Yes,Yes,Yes,Yes,$227.66,$234.20,6.0,5.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.348341,-124.43763999999999,the gardens at qualicum beach,,,,0
The Gateby,9AFCB,Interior Health,HA,3000 Gateby Place,Vernon,V1T8V8,(250) 545-4456,Interior Health,1982,Resident & Family Council (combined),Regular Schedule,Yes (no fee),Community Care & Assisted Living Act,Accredited,September 2019,Residential Care Coordinator or Manager,(250) 545-4456,Yes,Operator,Primarily,$7.35,$7.53,English,2.9,0.35,3.25,2.96,0.6,3.55,No,No,No,,0,75,75,75,0,0,0,0,4,0,11,0,0,0,8,3,5.3,0.0,14.7,0.0,0.0,0.0,10.7,4.0,not applicable,85,66.1%,58.2%,1.6%,607,40.9%,38.7%,24.3%,69.6%,7.8%,2.9,40.0%,0.63,15.2%,63.9%,8.7%,51.7%,24.2%,15.2%,https://www.interiorhealth.ca/FindUs/_layouts/FindUs/service.aspx?svcloc=The%20Gateby,https://surveybcseniors.org/carehomeresults/the-gateby-iha/,,,,,,,,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.264235299999996,-119.28130149999998,the gateby,,,,0
The Hamlets at Penticton,93510,Interior Health,PFP,103 Duncan Ave West,Penticton,V2A2Y3,(250) 490-8503,H&H Total Care Services Inc.,2008,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Community Care & Assisted Living Act,Unknown,not available,Director of Operations / Director of Care,(250) 490-8503 Ext. 125 (DOO) or 105 (DOC),Yes,Operator,Yes,$7.73,$8.38,"English, French, Japanese, Filipino, Hindi, Punjabi, Spanish, German, Mandarin, Cantonese",2.8,0.35,3.15,3.0,0.35,3.35,No,No,No,,3,86,89,94,2,0,5,0,1,3,2,0,0,4,1,2,1.1,3.4,2.2,0.0,0.0,4.5,1.1,2.2,not applicable,83,62.4%,52.6%,10.8%,"1,684",30.3%,18.0%,18.0%,60.7%,6.7%,3.6,28.1%,0.58,0.0%,11.2%,32.6%,42.7%,24.2%,4.0%,https://www.thehamletsatpenticton.com/,https://surveybcseniors.org/carehomeresults/the-hamlets-at-penticton-iha/,,No,No,No,No,$194.68,$204.38,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.484061600000004,-119.58974189999999,the hamlets at penticton,,,,0
The Hamlets at Westsyde,930H0,Interior Health,PFP,3255 Overlander Drive,Kamloops,V2B0A5,(250) 579-9061,H&H Total Care Services Inc.,2007,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Community Care & Assisted Living Act,Unknown,not available,Director of Care and Director of Operations,(250) 579-9061 ext. 104 (D.O.C.) or ext. 107 (D.O.O.),Yes,Operator,Yes,$4.51,$9.44,"English, Punjabi",2.8,0.35,3.15,3.0,0.35,3.35,No,No,,,3,109,112,112,0,0,5,0,2,0,10,0,0,4,4,3,1.8,0.0,8.9,0.0,0.0,3.6,3.6,2.7,not applicable,81,52.4%,52.7%,20.0%,"1,382",32.1%,14.2%,28.4%,47.4%,4.7%,3.2,31.6%,0.57,3.2%,0.5%,0.0%,58.4%,38.0%,3.8%,https://www.thehamletsatwestsyde.com/,https://surveybcseniors.org/carehomeresults/the-hamlets-at-westsyde-iha/,,No,No,No,No,$194.68,$204.38,3.0,3.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.770821000000005,-120.34196100000001,the hamlets at westsyde,,,,0
The Heights at Mount View,93F7A,Vancouver Island Health,PNP,3814 Carey Road,Victoria,V8Z4C4,(250) 384-1313,Baptist Housing,2014,Family Council,Regular Schedule,Yes (fee charged),Community Care & Assisted Living Act,Unknown,not available,Residential Care Administrator,(250) 384-1313x108,Yes,Outside Contractor,Yes,$7.35,$7.66,Many,2.8,0.28,3.08,2.93,0.3,3.24,No,No,Yes,Clothing labelling fee,0,260,260,260,0,0,19,11,1,12,32,0,1,19,3,38,0.4,4.6,12.3,0.0,0.4,7.3,1.2,14.6,not applicable,83,65.2%,51.7%,5.4%,"1,035",28.4%,29.7%,41.3%,74.9%,12.3%,2.7,43.1%,0.58,0.8%,25.1%,0.2%,57.2%,24.8%,0.2%,https://www.baptisthousing.org/communities/heights-mt-view-victoria,https://surveybcseniors.org/carehomeresults/the-heights-at-mount-view-island/,,No,No,Yes,No,$240.58,$250.92,9.0,17.0,0.0,1.0,1.0,0.0,5.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0,48.459499,-123.38131000000001,the heights at mount view,,,,0
The Madison Care Centre,935IA,Fraser Health,PFP,1399 Foster Avenue,Coquitlam,V3J2N1,(604) 936-9231,The Care Group,2008,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Hospital Act,Not Accredited,not applicable,Administrator / Director of Care,(604) 936-9231x5,Yes,Outside Contractor,Yes,$7.19,$7.75,"Tagalog, Romanian, Spanish, Russian, English, Punjabi, Mandarin, Cantonese",2.64,0.16,2.8,2.83,0.2,3.03,No,No,No,"Clothing labelling fee, hairdresser, pharmacy",41,96,137,128,9,0,6,1,0,1,5,0,0,0,1,0,0.0,0.7,3.6,0.0,0.0,0.0,0.7,0.0,not applicable,89,87.0%,79.7%,0.0%,"1,069",25.5%,36.1%,34.3%,68.1%,7.5%,2.5,51.7%,0.55,9.9%,6.0%,0.5%,47.8%,16.5%,24.6%,http://tcgcare.com/themadisoncarecentre,https://surveybcseniors.org/carehomeresults/madison-care-centre-fha/,,No,Yes,,,$208.56,$221.12,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.2568192,-122.89315220000002,the madison care centre,,,,0
The Mayfair,9C3GE,Fraser Health,PNP,33433 Marshall Road,Abbotsford,V2S1K8,(604) 855-7217,The Care Group,2015,Resident & Family Council (combined),Regular Schedule,Yes (no fee),Community Care & Assisted Living Act,Not Accredited,not applicable,Director of Care/Manager,(604) 855-7217 x 102,Yes,Operator,Yes,$9.80,$7.86,"English, Tagalog, German, Punjabi",2.49,0.3,2.79,3.0,0.36,3.36,No,No,Yes,"Foot care, hairdresser, bus trips",30,61,91,80,2,0,1,1,2,0,8,0,0,1,5,2,2.2,0.0,8.8,0.0,0.0,1.1,5.5,2.2,not applicable,84,68.2%,58.5%,7.4%,838,45.2%,34.3%,32.3%,66.5%,12.9%,2.3,59.7%,0.56,5.6%,5.2%,0.0%,59.7%,19.7%,13.5%,http://tcgcare.com/themayfairseniorlivingandcare,https://surveybcseniors.org/carehomeresults/the-mayfair-fha/,,RN - No; LPN - Yes,Yes,Yes,Yes,$225.41,$232.79,3.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,49.03936815,-122.29768336109244,the mayfair,,,,0
The Pines,9C373,Northern Health,HA,800 Centre St.,Burns Lake,V0J1E0,(250) 692-2490,Northern Health,1992,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Hospital Act,Accredited,June 2022,Residential Care Team Lead,(250) 692-2494,Yes,Operator,No,$11.17,$11.27,"English, French, Carrier, Low German, Mandarin",3.06,0.47,3.53,3.01,0.43,3.44,No,No,No,,0,36,36,26,5,0,,,1,0,1,0,0,0,0,0,2.8,0.0,2.8,0.0,0.0,0.0,0.0,0.0,not applicable,87,71.2%,64.4%,2.3%,34,8.1%,19.9%,35.3%,62.5%,12.5%,3.0,44.9%,0.53,0.0%,5.9%,22.8%,41.2%,36.0%,7.8%,https://www.northernhealth.ca/locations/long-term-care/pines,https://surveybcseniors.org/carehomeresults/the-pines-nha/,,No,No,No,No,,,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,54.2365817,-125.76001059999999,the pines,,,,0
The Priory - Heritage Woods,921JD,Vancouver Island Health,HA,567 Goldstream Ave.,Langford,V9B2W4,(250) 370-5626,Vancouver Island Health,1999,Resident & Family Council (combined),Regular Schedule,Yes (fee charged),Hospital Act,Accredited,April 2022,Manager,(250) 370-5790,Yes,Outside Contractor,Yes,$8.33,$8.46,"English, Mandarin, Punjabi, Portuguese, Filipino, French",3.07,0.22,3.29,3.07,0.22,3.29,No,No,No,"Drugs not otherwise covered, specialty services, some transportation",0,75,75,75,0,0,1,0,,,,,,,,,,,,,,,,,1,85,78.0%,54.7%,2.4%,925,49.5%,13.0%,31.7%,83.3%,6.1%,2.8,51.9%,0.55,0.0%,84.3%,15.7%,68.6%,38.4%,1.1%,https://www.islandhealth.ca/our-locations/long-term-care-locations/priory-hiscock-and-heritage-woods-long-term-care,https://surveybcseniors.org/carehomeresults/the-priory-heritage-woods-island/,,No,No,Yes,No,,,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.44513565,-123.48827996082501,the priory - heritage woods,,,,0
The Priory - Hiscock,9A604,Vancouver Island Health,HA,567 Goldstream Ave.,Langford,V9B2W4,(250) 370-5626,Vancouver Island Health,1979,Resident & Family Council (combined),Regular Schedule,Yes (fee charged),Hospital Act,Accredited,April 2022,Manager,(250) 370-5790,Yes,Outside Contractor,Yes,$8.33,$8.46,"English, Mandarin, Punjabi, Portuguese, Filipino, French",3.07,0.22,3.29,3.07,0.22,3.29,No,No,No,"Drugs not otherwise covered, specialty services, some transportation",0,75,75,7,6,14,1,0,,,,,,,,,,,,,,,,,1,83,76.8%,52.5%,6.1%,428,24.0%,45.2%,42.3%,58.7%,9.0%,3.1,40.4%,0.61,0.0%,73.4%,73.4%,41.7%,14.9%,1.4%,https://www.islandhealth.ca/our-locations/long-term-care-locations/priory-hiscock-and-heritage-woods-long-term-care,https://surveybcseniors.org/carehomeresults/the-priory-heritage-woods-island/,,No,No,Yes,No,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.44513565,-123.48827996082501,the priory - hiscock,,,,0
The Residence at Clayton Heights,93CAA,Fraser Health,PFP,18788 71st Avenue,Surrey,V4N6L9,(604) 576-2273,The Pinnacle Care Group,2012,Resident Council,Regular Schedule,Yes (no fee),Community Care & Assisted Living Act,Not Accredited,not applicable,Director of Care,(604) 576-2273 x 102,Yes,Outside Contractor,Yes,$5.97,$5.78,"English, German, Fijian, Hindi, Punjabi, Tagalog, Vietnamese, Mandarin, Cantonese",2.96,0.23,3.19,3.0,0.36,3.36,No,No,No,,0,87,87,87,0,0,3,1,0,0,9,0,0,0,1,0,0.0,0.0,10.3,0.0,0.0,0.0,1.1,0.0,not applicable,83,42.2%,47.8%,1.7%,632,20.6%,34.1%,16.6%,72.5%,15.2%,2.5,53.3%,0.57,1.7%,22.3%,1.1%,50.4%,28.1%,0.5%,http://www.pinnaclecaregroup.com/clayton.html,https://surveybcseniors.org/carehomeresults/the-residence-at-clayton-heights-fha/,,Yes,Yes,Yes,No,$214.41,$226.49,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,49.1317703,-122.7026815,the residence at clayton heights,"Residence at Clayton Heights, Acquired Brain Injury Unit",5.0,2.0,1
The Residence at Morgan Heights,9375A,Fraser Health,PFP,15955 27th Avenue,Surrey,V3Z3W3,(604) 535-1118,Morgan Heights Care Ltd,2009,Family Council,Regular Schedule,Yes (no fee),Community Care & Assisted Living Act,Not Accredited,not applicable,Director of Care / Administrator,(604) 535-1118,No,Outside Contractor,Yes,$8.52,$8.77,"English, Punjabi, Italian, Tagalog",2.8,0.22,3.02,3.0,0.36,3.36,No,No,No,,26,90,116,108,4,0,4,1,0,1,2,0,0,0,0,0,0.0,0.9,1.7,0.0,0.0,0.0,0.0,0.0,not applicable,89,67.4%,78.0%,1.4%,,14.4%,22.7%,15.0%,74.2%,11.0%,3.0,41.5%,0.56,29.2%,65.7%,5.9%,50.4%,29.5%,3.1%,https://morganheights.com/,https://surveybcseniors.org/carehomeresults/the-residence-at-morgan-heights-fha/,,Yes,Yes,Yes,Yes,$202.11,$233.32,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.051178,-122.779875,the residence at morgan heights,,,,0
