FACILITY_NAME,HCC_CODE,HLTH_AUTH,OWNERSHIP,STREET_ADDRESS,CITY,POSTAL,REGULATION,ACCRED_STATUS,BEDS_TOTAL,INCIDENT_OUTBREAK_100,AGE,FEMALE,AGE_85_PLUS,AGE_UNDER_65,DEPRESSION,ADL_DEPENDENT,CPS_SEVERE,DEMENTIA,ABS_PHYS_ABUSIVE,ISE,ISE_LOW,CMI,THERAPY_PT,THERAPY_RT,THERAPY_OT,MEDS_DEPRESSION,MEDS_ANTIPSYCHOTICS,RESTRAINTS,INSPECTIONS,latitude,longitude,Total Confirmed Cases,Total Deaths,outbreak,rooms_semi_binary,rooms_multi_binary,rooms_shared,resident_council,family_council,res_fam_council,beds_privatebinary,complaints_100,sub_complaints_100,incident_100sumXoutbreak,infractions_disease_100,infractions_100Xdisease
Victorian Community Health Centre of Kaslo,98GA3,Interior Health,HA,673A Avenue,Kaslo,V0G1M0,Community Care & Assisted Living Act,Accredited,20,0.0,88.0,70.8,73.6,7.5,37.8,32.4,17.6,59.5,14.9,3.3,31.1,0.61,40.5,6.8,1.4,70.3,35.3,1.1,1.0,49.91347860000001,-116.9140496,0.0,0.0,0,1,0,1,1,1,1,0,0.0,0.0,5.0,0.0,25.0
Villa Carital,9198G,Vancouver Coastal Health,PNP,3050 Penticton St,Vancouver,V5M4W2,Community Care & Assisted Living Act,Not Accredited,81,0.0,88.0,81.2,73.5,1.1,39.3,37.4,45.1,68.7,17.2,2.4,54.3,0.61,14.7,90.5,2.5,69.9,41.9,5.0,2.0,49.256583899999995,-123.0521465,0.0,0.0,0,1,0,1,1,1,1,1,1.2345679012345678,0.0,17.3,0.0,0.0
Villa Cathay Care Home,999II,Vancouver Coastal Health,PNP,970 Union Street,Vancouver,V6A3V1,Community Care & Assisted Living Act,Not Accredited,134,0.0,89.0,79.2,77.0,0.6,16.3,44.8,13.0,50.2,3.7,3.5,33.9,0.53,0.0,0.4,0.2,28.5,15.6,11.4,2.0,49.277208,-123.084,1.0,0.0,1,1,0,1,1,1,1,1,0.0,0.0,2.2,0.0,0.0
Village at Mill Creek,9911G,Interior Health,PNP,1450 Sutherland Avenue,Kelowna,V1Y5Y5,Hospital Act,Unknown,96,0.0,86.0,62.9,66.1,4.2,25.2,28.5,23.5,83.4,15.5,2.5,55.1,0.53,3.0,41.6,14.1,37.1,22.0,0.0,0.0,49.8803526,-119.46813059999998,0.0,0.0,0,0,0,0,1,1,1,1,0.0,0.0,12.5,0.0,0.0
Village at Smith Creek,9C1H6,Interior Health,PNP,2425 Orlin Road,West Kelowna,V4T3C7,Community Care & Assisted Living Act,Unknown,139,2.9,86.0,62.8,61.9,3.5,31.7,30.2,29.2,69.8,6.0,2.8,40.8,0.56,3.8,29.0,0.0,58.1,24.8,3.0,0.0,49.8433445,-119.6279642,0.0,0.0,0,1,0,1,1,1,1,1,0.0,0.0,31.6,0.0,0.0
Village by the Station,92CBA,Interior Health,PNP,270 Hastings Avenue,Penticton,V2A2V6,Community Care & Assisted Living Act,Accredited,100,2.0,84.0,70.7,50.2,2.9,18.2,19.7,26.5,72.2,8.3,2.6,53.5,0.55,14.9,10.6,0.8,34.3,35.6,8.2,1.0,49.4851093,-119.5957646,0.0,0.0,0,1,0,1,1,1,1,0,1.0,0.0,23.0,0.0,0.0
Waverly Seniors Village,922DF,Fraser Health,PFP,8445 Young Rd,Chilliwack,V2P4P2,Community Care & Assisted Living Act,Accredited,53,3.8,87.0,74.2,77.4,5.0,31.1,36.1,29.4,73.1,10.1,2.9,32.8,0.6,0.8,62.2,0.0,47.9,27.3,15.5,3.0,49.155592999999996,-121.95191000000001,0.0,0.0,0,1,0,1,1,1,1,1,1.8867924528301887,1.8867924528301887,11.4,1.8867924528301887,13.20754716981132
West Shore Laylum,9927D,Fraser Health,PFP,4900 Central Ave,Delta,V4K2G7,Community Care & Assisted Living Act,Not Accredited,55,0.0,89.0,76.1,72.9,0.0,38.6,30.7,29.7,69.3,8.9,1.7,73.3,0.52,29.7,68.3,0.0,49.5,21.5,12.0,0.0,49.0482742,-122.79775420000001,0.0,0.0,0,1,0,1,1,1,1,0,0.0,0.0,1.8,0.0,0.0
West Vancouver Care Centre,9B9IG,Vancouver Coastal Health,PFP,1675 27th Street,West Vancouver,V7V4K9,Hospital Act,Unknown,78,0.0,87.0,75.4,70.4,1.8,26.1,30.7,21.8,60.4,2.5,2.6,52.5,0.58,34.6,3.9,3.2,52.9,27.7,3.2,1.0,49.3404055,-123.18877820000002,0.0,0.0,0,1,1,1,1,1,1,1,0.0,0.0,10.3,0.0,2.564102564102564
Westview Extended Care - Pentiction Regional Hospital,9A6F7,Interior Health,HA,550 Carmi Ave,Penticton,V2A8P9,Hospital Act,Accredited,102,1.0,86.0,58.8,68.2,4.4,15.8,31.3,15.5,62.3,4.2,3.2,36.8,0.58,11.3,3.2,10.3,32.6,38.3,6.6,1.0,49.4826229,-119.5763397,0.0,0.0,0,1,1,1,1,1,1,0,0.0,0.0,6.9,0.9803921568627452,2.9411764705882346
White Rock Seniors Village,993I1,Fraser Health,PFP,1183 Maple Street,White Rock,V8B5K9,Community Care & Assisted Living Act,Accredited,71,1.4,89.0,84.3,71.9,0.0,26.6,27.0,30.3,79.1,15.6,3.8,21.7,0.57,20.9,61.9,7.4,55.7,26.8,24.8,6.0,49.0236424,-122.78915020000001,0.0,0.0,0,1,0,1,1,1,1,1,0.0,0.0,11.3,2.8169014084507045,12.676056338028168
William Rudd House,91828,Fraser Health,HA,95 Blackberry Drive,New Westminster,V3L5S7,Hospital Act,Unknown,12,0.0,46.0,48.5,0.0,93.9,8.2,34.7,0.0,0.0,0.0,4.5,12.2,0.69,10.2,67.3,10.2,59.2,1.6,19.5,1.0,49.21725645,-122.90105809581377,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,25.0
Williams Lake Seniors Village,92CIA,Interior Health,PFP,1455 Western Avenue,Williams Lake,V2G5N1,Community Care & Assisted Living Act,Accredited,113,0.0,81.0,65.8,47.6,7.5,12.3,24.8,24.8,66.9,3.7,3.2,36.5,0.55,0.0,10.4,0.0,44.0,29.9,1.8,1.0,52.1520084,-122.1593926,0.0,0.0,0,0,0,0,1,1,1,0,0.0,0.0,11.6,0.0,0.8849557522123894
Willingdon Care Centre,9B79H,Fraser Health,PFP,4435 Grange St,Burnaby,V5H1P4,Hospital Act,Unknown,95,1.1,89.0,77.0,72.3,2.0,19.4,27.8,8.9,61.2,1.0,2.9,44.9,0.56,3.7,26.0,2.4,28.1,9.9,2.4,1.0,49.23233265,-123.00484883141232,0.0,0.0,0,1,1,1,1,0,0,0,0.0,0.0,12.6,0.0,4.2105263157894735
Willingdon Creek Village,93FB0,Vancouver Coastal Health,HA,4980 Kiwanis Drive,Powell River,V8A5H5,Community Care & Assisted Living Act,Accredited,102,0.0,83.0,64.0,52.0,4.2,21.3,23.4,32.9,75.3,14.4,2.6,51.2,0.55,0.3,0.3,0.0,60.4,51.0,34.3,1.0,49.849859,-124.51899999999999,0.0,0.0,0,0,0,0,1,1,1,0,0.9803921568627452,0.0,4.9,0.0,3.92156862745098
Windermere Care Centre,9C2G9,Vancouver Coastal Health,PFP,900 West 12th Avenue,Vancouver,V5Z1N3,Community Care & Assisted Living Act,Not Accredited,210,1.0,87.0,78.2,61.0,0.5,22.9,26.8,7.0,64.0,2.6,4.6,0.4,0.54,5.8,2.6,0.0,41.8,15.3,4.4,1.0,49.260325,-123.125,14.0,1.0,1,1,0,1,1,1,1,1,0.0,0.0,13.4,0.0,0.0
Yaletown House,9B0I5,Vancouver Coastal Health,PNP,1099 Cambie Street,Vancouver,V6B5A8,Community Care & Assisted Living Act,Not Accredited,127,0.0,82.0,51.9,45.9,10.4,27.6,26.7,40.9,72.6,8.1,4.0,20.7,0.52,10.7,63.7,0.4,48.8,17.3,10.6,4.0,49.275271999999994,-123.119,0.0,0.0,0,0,0,0,1,1,1,0,0.0,0.0,14.2,0.0,1.574803149606299
Youville Residence,99A15,Vancouver Coastal Health,PNP,4950 Heather Street,Vancouver,V5Z3L9,Community Care & Assisted Living Act,Accredited,42,0.0,79.0,60.0,29.7,8.6,24.2,31.7,61.5,82.6,20.5,1.2,83.2,0.59,23.0,5.6,18.6,54.7,49.6,5.2,5.0,49.24058,-123.12,0.0,0.0,0,0,0,0,1,1,1,0,0.0,0.0,9.5,0.0,11.904761904761903
Zion Park Manor,99444,Fraser Health,PNP,5939-180th St,Surrey,V3S4L2,Community Care & Assisted Living Act,Not Accredited,99,0.0,85.0,70.6,61.4,1.2,13.9,23.2,23.2,55.1,8.6,3.0,40.7,0.57,0.5,0.0,2.3,47.0,8.2,2.7,1.0,49.1101454,-122.72421499999999,0.0,0.0,0,0,0,0,1,1,1,1,0.0,0.0,11.1,0.0,2.0202020202020203
Harmony Court Care Centre,91BCE,Fraser Health,PFP,7195 Canada Way,Burnaby,V5E3R7,Community Care & Assisted Living Act,Unknown,80,0.0,84.6875,78.19375,58.34375,3.15625,14.2875,30.3875,28.6375,83.275,8.5,2.63125,51.05,0.515625,1.4875,71.125,0.0,43.18125,16.35625,13.26875,2.0,49.224537,-122.942499,0.0,0.0,0,1,0,1,0,1,0,0,2.5,0.0,25.5,0.0,0.0
Berkley Care Centre,91GB3,Vancouver Coastal Health,HA,2444 Burr Place,North Vancouver,V7H3A5,Community Care & Assisted Living Act,Accredited,189,0.6,83.61904761904762,59.179365079365084,55.1,6.963492063492064,23.350793650793648,47.312698412698424,52.95555555555556,67.36349206349206,12.146031746031747,2.0619047619047617,66.53492063492064,0.5768253968253969,14.984126984126986,64.60952380952381,4.5888888888888895,58.15238095238095,34.495238095238086,27.6,1.0,49.312278000000006,-123.006,25.0,5.0,1,1,0,1,1,1,1,0,0.0,0.0,3.4,0.0,2.1164021164021163
Fair Haven - Vancouver,999HG,Vancouver Coastal Health,PNP,2720 East 48th Ave.,Vancouver,V5S1G7,Community Care & Assisted Living Act,Accredited,101,0.0,83.24752475247523,58.595049504950495,50.07821782178217,2.374257425742574,17.055445544554452,38.82277227722773,39.16435643564356,74.25247524752477,12.842574257425742,2.7306930693069305,47.84554455445543,0.5805940594059406,8.200990099009902,66.1950495049505,3.0039603960396044,51.51287128712872,35.13069306930693,13.15940594059406,3.0,49.225452000000004,-123.03658429999999,0.0,0.0,0,1,0,1,1,1,1,0,0.99009900990099,0.99009900990099,14.6,0.0,7.920792079207921
