FACILITY_NAME,OWNERSHIP,REGULATION,ACCRED_STATUS,DCH_NURSE_CURRENTYR,DCH_ALLIED_CURRENTYR,DCH_TOTAL_CURRENTYR,BEDS_PRIVATE,BEDS_PUBLIC,BEDS_TOTAL,ROOMS_PRIVATE,ROOMS_SEMI,ROOMS_MULTI,COMPLAINTS,SUB_COMPLAINTS,INCIDENT_OUTBREAK,INCIDENT_ABUSE,INCIDENT_FALL,INCIDENT_POISON,INCIDENT_MEDICATION,INCIDENT_WANDERING,INCIDENT_INJURY,INCIDENT_AGGRESSION,INCIDENT_OUTBREAK_100,INCIDENT_ABUSE_100,INCIDENT_FALL_100,INCIDENT_POISON_100,INCIDENT_MEDICATION_100,INCIDENT_WANDERING_100,INCIDENT_INJURY_100,INCIDENT_AGGRESSION_100,CMI,INSPECTIONS,INFRACTIONS,INFRACTIONS_LICENSING,INFRACTIONS_FACILITY,INFRACTIONS_STAFFING,INFRACTIONS_POLICY,INFRACTIONS_CARE,INFRACTIONS_DISEASE,INFRACTIONS_FOOD,INFRACTIONS_MEDICATION,INFRACTIONS_PROGRAM,INFRACTIONS_REPORTING,INFRACTIONS_RIGHTS,INFRACTIONS_OTHER,cleaned_name,facility_name,num_cases,num_deaths,outbreak,facility_design,RESIDENT_COUNCIL,FAMILY_COUNCIL,BEDS_PRIVATEprop,BEDS_PUBLICprop,ROOMS_TOTAL,ROOMS_PRIVATEprop,ROOMS_SEMIprop,ROOMS_MULTIprop
The Gateby,HA,Community Care & Assisted Living Act,Accredited,2.96,0.6,3.55,0,75,75,75,0,0,0,0,4,0,11,0,0,0,8,3,5.3,0.0,14.7,0.0,0.0,0.0,10.7,4.0,0.63,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,the gateby,na,na,na,no,pre1994,True,True,0.0,1.0,75,1.0,0.0,0.0
The Hamlets at Penticton,PFP,Community Care & Assisted Living Act,Unknown,3.0,0.35,3.35,3,86,89,94,2,0,5,0,1,3,2,0,0,4,1,2,1.1,3.4,2.2,0.0,0.0,4.5,1.1,2.2,0.58,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,the hamlets at penticton,na,na,na,no,post1994,True,True,0.033707865168539325,0.9662921348314607,96,0.9791666666666666,0.020833333333333332,0.0
The Hamlets at Westsyde,PFP,Community Care & Assisted Living Act,Unknown,3.0,0.35,3.35,3,109,112,112,0,0,5,0,2,0,10,0,0,4,4,3,1.8,0.0,8.9,0.0,0.0,3.6,3.6,2.7,0.57,3.0,3.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,the hamlets at westsyde,na,na,na,no,post1994,True,True,0.026785714285714284,0.9732142857142857,112,1.0,0.0,0.0
The Madison Care Centre,PFP,Hospital Act,Not Accredited,2.83,0.2,3.03,41,96,137,128,9,0,6,1,0,1,5,0,0,0,1,0,0.0,0.7,3.6,0.0,0.0,0.0,0.7,0.0,0.55,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,the madison care centre,na,na,na,no,post1994,True,True,0.29927007299270075,0.7007299270072993,137,0.9343065693430657,0.06569343065693431,0.0
The Mayfair,PNP,Community Care & Assisted Living Act,Not Accredited,3.0,0.36,3.36,30,61,91,80,2,0,1,1,2,0,8,0,0,1,5,2,2.2,0.0,8.8,0.0,0.0,1.1,5.5,2.2,0.56,3.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,the mayfair,na,na,na,no,post1994,True,True,0.32967032967032966,0.6703296703296703,82,0.975609756097561,0.024390243902439025,0.0
The Residence at Clayton Heights,PFP,Community Care & Assisted Living Act,Not Accredited,3.0,0.36,3.36,0,87,87,87,0,0,3,1,0,0,9,0,0,0,1,0,0.0,0.0,10.3,0.0,0.0,0.0,1.1,0.0,0.57,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,the residence at clayton heights,"Residence at Clayton Heights, Acquired Brain Injury unit",5.0,2.0,yes,post1994,True,False,0.0,1.0,87,1.0,0.0,0.0
The Residence at Morgan Heights,PFP,Community Care & Assisted Living Act,Not Accredited,3.0,0.36,3.36,26,90,116,108,4,0,4,1,0,1,2,0,0,0,0,0,0.0,0.9,1.7,0.0,0.0,0.0,0.0,0.0,0.56,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,the residence at morgan heights,na,na,na,no,post1994,False,True,0.22413793103448276,0.7758620689655172,112,0.9642857142857143,0.03571428571428571,0.0
The Residence in Mission,HA,Community Care & Assisted Living Act,Unknown,3.04,0.33,3.37,0,200,200,190,5,0,1,0,1,1,17,0,0,0,4,5,0.5,0.5,8.5,0.0,0.0,0.0,2.0,2.5,0.57,7.0,6.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,the residence in mission,na,na,na,no,post1994,True,True,0.0,1.0,195,0.9743589743589743,0.02564102564102564,0.0
Three Links Care Centre,PNP,Community Care & Assisted Living Act,Accredited,2.84,0.36,3.2,0,90,90,90,0,0,0,0,0,1,9,0,0,6,0,0,0.0,1.1,10.0,0.0,0.0,6.7,0.0,0.0,0.59,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,three links care centre,na,na,na,no,pre1994,True,True,0.0,1.0,90,1.0,0.0,0.0
Three Links Manor,HA,Community Care & Assisted Living Act,Accredited,2.79,0.37,3.17,0,82,82,82,0,0,0,0,1,0,6,0,0,3,4,0,1.2,0.0,7.3,0.0,0.0,3.7,4.9,0.0,0.63,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,three links manor,na,na,na,no,pre1994,True,True,0.0,1.0,82,1.0,0.0,0.0
Totem Lodge - Sechelt Hospital,HA,Hospital Act,Accredited,2.93,0.21,3.14,0,49,49,3,3,10,0,0,0,0,1,0,0,0,0,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.59,1.0,5.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,totem lodge - sechelt hospital,na,na,na,no,pre1994,True,True,0.0,1.0,16,0.1875,0.1875,0.625
Trinity Care Centre,HA,Community Care & Assisted Living Act,Accredited,2.83,0.36,3.19,0,75,75,75,0,0,0,0,2,0,2,0,0,1,0,0,2.7,0.0,2.7,0.0,0.0,1.3,0.0,0.0,0.56,1.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,trinity care centre,na,na,na,no,pre1994,True,True,0.0,1.0,75,1.0,0.0,0.0
Valhaven Rest Home,PNP,Community Care & Assisted Living Act,Accredited,3.0,0.36,3.36,4,22,26,26,0,0,1,0,0,0,2,0,0,0,0,0,0.0,0.0,7.7,0.0,0.0,0.0,0.0,0.0,0.62,3.0,5.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,valhaven rest home,Valhaven Home,9.0,1.0,yes,pre1994,True,True,0.15384615384615385,0.8461538461538461,26,1.0,0.0,0.0
Valleyhaven,PFP,Community Care & Assisted Living Act,Accredited,3.0,0.36,3.36,1,90,91,83,4,0,3,0,0,1,12,0,0,3,0,2,0.0,1.1,13.2,0.0,0.0,3.3,0.0,2.2,0.55,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,valleyhaven,na,na,na,no,post1994,True,True,0.01098901098901099,0.989010989010989,87,0.9540229885057471,0.04597701149425287,0.0
Victorian Community Health Centre of Kaslo,HA,Community Care & Assisted Living Act,Accredited,3.14,0.34,3.48,0,20,20,17,3,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.61,1.0,5.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,victorian community health centre of kaslo,na,na,na,no,pre1994,True,True,0.0,1.0,20,0.85,0.15,0.0
Villa Carital,PNP,Community Care & Assisted Living Act,Not Accredited,3.28,0.35,3.63,5,76,81,60,12,0,1,0,0,0,5,0,0,5,0,4,0.0,0.0,6.2,0.0,0.0,6.2,0.0,4.9,0.61,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,villa carital,na,na,na,no,post1994,True,True,0.06172839506172839,0.9382716049382716,72,0.8333333333333334,0.16666666666666666,0.0
Villa Cathay Care Home,PNP,Community Care & Assisted Living Act,Not Accredited,2.88,0.23,3.11,4,130,134,112,19,0,0,0,0,0,2,0,0,1,0,0,0.0,0.0,1.5,0.0,0.0,0.7,0.0,0.0,0.53,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,villa cathay care home,Villa Cathay,1.0,0.0,yes,pre1994,True,True,0.029850746268656716,0.9701492537313433,131,0.8549618320610687,0.1450381679389313,0.0
Village at Mill Creek,PNP,Hospital Act,Unknown,2.98,0.35,3.33,14,82,96,96,0,0,0,0,0,0,4,0,0,3,3,2,0.0,0.0,4.2,0.0,0.0,3.1,3.1,2.1,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,village at mill creek,na,na,na,no,pre1994,True,True,0.14583333333333334,0.8541666666666666,96,1.0,0.0,0.0
Village at Smith Creek,PNP,Community Care & Assisted Living Act,Unknown,2.98,0.35,3.33,1,138,139,130,8,0,0,0,4,2,21,2,0,8,11,0,2.9,1.4,15.1,1.4,0.0,5.8,7.9,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,village at smith creek,na,na,na,no,pre1994,True,True,0.007194244604316547,0.9928057553956835,138,0.9420289855072463,0.057971014492753624,0.0
Village by the Station,PNP,Community Care & Assisted Living Act,Accredited,2.8,0.35,3.15,0,100,100,133,4,0,1,0,2,4,14,0,1,0,3,1,2.0,4.0,14.0,0.0,1.0,0.0,3.0,1.0,0.55,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,village by the station,na,na,na,no,post1994,True,True,0.0,1.0,137,0.9708029197080292,0.029197080291970802,0.0
Waverly Seniors Village,PFP,Community Care & Assisted Living Act,Accredited,2.67,0.28,2.95,22,31,53,51,1,0,1,1,2,0,2,0,0,3,0,1,3.8,0.0,3.8,0.0,0.0,5.7,0.0,1.9,0.6,3.0,8.0,0.0,1.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,waverly seniors village,na,na,na,no,pre1994,True,True,0.41509433962264153,0.5849056603773585,52,0.9807692307692307,0.019230769230769232,0.0
West Shore Laylum,PFP,Community Care & Assisted Living Act,Not Accredited,2.74,0.3,3.04,0,55,55,45,5,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,west shore laylum,na,na,na,no,pre1994,True,True,0.0,1.0,50,0.9,0.1,0.0
West Vancouver Care Centre,PFP,Hospital Act,Unknown,2.65,0.09,2.74,3,75,78,23,16,7,0,0,0,0,7,0,0,1,0,0,0.0,0.0,9.0,0.0,0.0,1.3,0.0,0.0,0.58,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,west vancouver care centre,na,na,na,no,pre1994,True,True,0.038461538461538464,0.9615384615384616,46,0.5,0.34782608695652173,0.15217391304347827
Westview Extended Care - Pentiction Regional Hospital,HA,Hospital Act,Accredited,2.9,0.42,3.32,0,102,102,10,10,18,0,0,1,0,5,0,1,0,1,0,1.0,0.0,4.9,0.0,1.0,0.0,1.0,0.0,0.58,1.0,4.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,westview extended care - pentiction regional hospital,na,na,na,no,pre1994,True,True,0.0,1.0,38,0.2631578947368421,0.2631578947368421,0.47368421052631576
White Rock Seniors Village,PFP,Community Care & Assisted Living Act,Accredited,2.68,0.31,2.99,11,60,71,59,6,0,0,0,1,0,6,0,0,1,1,0,1.4,0.0,8.5,0.0,0.0,1.4,1.4,0.0,0.57,6.0,11.0,1.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,white rock seniors village,na,na,na,no,pre1994,True,True,0.15492957746478872,0.8450704225352113,65,0.9076923076923077,0.09230769230769231,0.0
William Rudd House,HA,Hospital Act,Unknown,3.19,0.34,3.53,0,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,william rudd house,na,na,na,no,post1994,True,False,0.0,1.0,12,1.0,0.0,0.0
Williams Lake Seniors Village,PFP,Community Care & Assisted Living Act,Accredited,2.99,0.35,3.34,0,113,113,113,0,0,0,0,0,2,8,0,0,0,3,0,0.0,1.8,7.1,0.0,0.0,0.0,2.7,0.0,0.55,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,williams lake seniors village,na,na,na,no,post1994,True,True,0.0,1.0,113,1.0,0.0,0.0
Willingdon Care Centre,PFP,Hospital Act,Unknown,2.64,0.31,2.95,0,95,95,10,23,10,0,0,1,0,12,0,0,0,0,0,1.1,0.0,12.6,0.0,0.0,0.0,0.0,0.0,0.56,1.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,willingdon care centre,na,na,na,no,pre1994,True,False,0.0,1.0,43,0.23255813953488372,0.5348837209302325,0.23255813953488372
Willingdon Creek Village,HA,Community Care & Assisted Living Act,Accredited,2.97,0.29,3.26,0,102,102,102,0,0,1,0,0,0,4,0,1,0,0,0,0.0,0.0,3.9,0.0,1.0,0.0,0.0,0.0,0.55,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,willingdon creek village,na,na,na,no,post1994,True,True,0.0,1.0,102,1.0,0.0,0.0
Windermere Care Centre,PFP,Community Care & Assisted Living Act,Not Accredited,2.83,0.19,3.02,6,204,210,170,22,0,0,0,2,0,26,0,0,0,2,0,1.0,0.0,12.4,0.0,0.0,0.0,1.0,0.0,0.54,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,windermere care centre,Windermere Care Centre,14.0,1.0,yes,pre1994,True,True,0.02857142857142857,0.9714285714285714,192,0.8854166666666666,0.11458333333333333,0.0
Yaletown House,PNP,Community Care & Assisted Living Act,Not Accredited,2.81,0.18,2.99,0,127,127,127,0,0,0,0,0,1,11,0,0,6,0,0,0.0,0.8,8.7,0.0,0.0,4.7,0.0,0.0,0.52,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,yaletown house,na,na,na,no,pre1994,True,True,0.0,1.0,127,1.0,0.0,0.0
Youville Residence,PNP,Community Care & Assisted Living Act,Accredited,3.21,0.4,3.61,0,42,42,42,0,0,0,0,0,0,4,0,0,0,0,0,0.0,0.0,9.5,0.0,0.0,0.0,0.0,0.0,0.59,5.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,youville residence,na,na,na,no,pre1994,True,True,0.0,1.0,42,1.0,0.0,0.0
Zion Park Manor,PNP,Community Care & Assisted Living Act,Not Accredited,2.73,0.35,3.08,29,70,99,99,0,0,0,0,0,0,8,0,0,0,3,0,0.0,0.0,8.1,0.0,0.0,0.0,3.0,0.0,0.57,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,zion park manor,na,na,na,no,pre1994,True,True,0.29292929292929293,0.7070707070707071,99,1.0,0.0,0.0
