OPERATOR_NAME,BUSINESS_NAME,TYPE,STREET_ADDRESS,CITY,POSTAL_CODE,BUSINESS_PHONE,INSPECTION_URL,GOVERNING_ACT,GOVERNING_REGULATION,HEALTH_AUTHORITY,MENTAL_HEALTH,MENTAL_HEALTH_MAX_CAP,HOSPICE,HOSPICE_MAX_CAP,SUBSTANCE_USE,SUBSTANCE_USE_MAX_CAP,LONG_TERM_CARE,LONG_TERM_CARE_MAX_CAP,COMMUNITY_LIVING,COMMUNITY_LIVING_MAX_CAP,ACQUIRED_BRAIN_INJURY,ACQUIRED_BRAIN_INJURY_MAX_CAP,LONGITUDE,LATITUDE
VCPC Holdings LTD,The Chrysalis 24,Residential Care,14124 113th Ave,Surrey,V3R 7H1,(778)999-8770,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=80268678329F7CB1882578F60061D760,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,Y,10,N,,N,,N,,N,,N,,-122.8309787,49.2075008
Classic Care Homes Ltd.,The Classic Homestead - East,Residential Care,20445 73A Ave,Langley,V2Y1V1,(604)534-0705,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=2A8CDE887D92952D88256CA8007F31DD,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,N,,N,,Y,6,-122.6558156,49.1365775
Classic Care Homes Ltd,The Classic Homestead - West,Residential Care,20433 73A Ave,Langley,V2Y 1V1,(604)533-9173,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=2DA6B5B3F8712E6D88256D2700703DD9,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,N,,N,,Y,6,-122.6563365,49.1365757
L'Arche Greater Vancouver,The Crossing House,Residential Care,4845 Sardis St,Burnaby,V5H 1L4,(604)438-5594,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=C94B248D6B9E7DD688256D27006FC966,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,N,,Y,5,N,,-122.9953723,49.2336951
Elizabeth Fry Society Of Greater Vancouver,The Ellendale Treatment Program - Liz's Place,Residential Care,11187 Ellendale Dr,Surrey,V3R 0A3,(604)583-2502,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=8F98AC2529C8B55F882574430055218A,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,Y,22,N,,N,,N,,-122.8118462,49.2061255
Sherwood Crescent Manor Ltd.,The Oxford - Senior Living and Care ,Residential Care,32073 Sherwood Cr,Abbotsford,V2T 1C1,(604)853-7854,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=B1D833C9A151808888256B9500709AB4,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,Y,84,N,,N,,-122.3349739,49.0418106
Phoenix Drug and Alcohol Recovery and Education Society,The Phoenix Centre,Residential Care,13686 94A Ave,Surrey,V3V 1N1,(604)583-7166,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=2AD91B8C84EB42A78825705B0076F9E3,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,Y,28,N,,N,,N,,-122.843306,49.1745351
Clayton Heights Care Holdings Ltd,The Residence At Clayton Heights,Residential Care,18788 71st Ave,Surrey,V4N 6L9,(604)576-2273,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=49A2D790FB81CFB188257A0F007FB74E,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,Y,29,N,,N,,Y,87,N,,Y,15,-122.7026815,49.1317703
Fraser Health,The Residence in Mission,Residential Care,7324 Hurd St,Mission,V2V 3H5,(604)814-6707,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=CFD06DF358F070DC88257C9B0059B2BC,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,Y,200,N,,N,,-122.3299205,49.1351718
The Governing Council Of The Salvation Army Canada & Bermuda,The Salvation Army Buchanan Lodge,Residential Care,409 Blair Ave,New Westminster,V3L 4A4,(604)522-7033,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=271626B1DF35A65D88256D27007023D1,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,Y,112,N,,N,,-122.8979893,49.2288744
Evergreen Baptist Care Society,The Terraces at Evergreen ,Residential Care,1550 Oxford St,White Rock,V4B 3R5,(604)536-3344,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=E32D2E7AF6B99A3F88256D2700703C29,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,Y,252,N,,N,,-122.8107662,49.0295667
Bria Communities Limited Partnership,The Waterford,Residential Care,1345 56th St,Delta,V4L 2P9,(604)943-5954,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=5B6257D09884E6C488256D2700703E9A,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,Y,38,N,,N,,-123.0701603,49.0271841
Mission Association For Community Living,Third Avenue Residence,Residential Care,33593 3rd Ave,Mission,V2V 1P8,(604)826-9080,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=8E25B2422E47844688256B9500709400,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,N,,Y,5,N,,-122.294644,49.1366484
Ridge Meadows Association For Community Living,Thornton ,Residential Care,11960 249A St,Maple Ridge,V4R 2E3,(604)463-5188,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=62FFAD25FCDF4472882576C8007ECF29,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,N,,Y,4,N,,-122.5310159,49.2195003
Communitas Supportive Care Society,Topaz Place,Residential Care,45438 Knight Rd,Chilliwack,V2R 5E6,(604)824-6164,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=66ECE1EDFCCFF157882571FF0076BF62,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,Y,12,N,,N,,N,,N,,N,,-121.9679091,49.1394638
Community Living Society,Twelfth Avenue,Residential Care,7755 12th Ave,Burnaby,V3N 2K6,(604)521-5109,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=5C3B27707F7BA5CD88256D27006FC910,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,N,,Y,3,N,,-122.9329777,49.2190106
Communitas Supportive Care Society,Twenty Sixth Avenue Home,Residential Care,27134 26th Ave,Aldergrove,V4W 3N6,(604)856-6097,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=996ADB6B465ECB0288256D3D000FCFC0,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,N,,Y,5,N,,-122.4728834,49.0492254
Tabor Home Society,Valhaven Rest Home,Residential Care,4212 Balmoral St,Abbotsford,V4X 1Y5,(604)856-2812,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=AAC5A44A1242838988257F17007D1CA2,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,Y,26,N,,N,,-122.3857153,49.0789671
Valleyhaven Retirement Community Ltd,Valleyhaven,Residential Care,45450 Menholm Rd,Chilliwack,V2P 1M2,(604)792-0037,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=2C8C0324E91437CA882575CF006633EE,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,Y,91,N,,N,,-121.9664606,49.1659618
Chilliwack Society For Community Living,Vanmar Place,Residential Care,6699 Vanmar St,Chilliwack,V2R 2M1,(604)792-7726,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=33D806C1923A6A1488257BFD0074ABFD,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,N,,Y,4,N,,-121.9439663,49.1240739
Angela Hung Tsun Wei Hsiao,Victoria Rest Home Ltd.,Residential Care,731 Queens Ave,New Westminster,V3M 1L7,(604)525-2048,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=E9B9CB8CEFE3C1DE88256D27007023D3,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,Y,16,N,,N,,N,,N,,N,,-122.9164561,49.205503
"Diversicare Canada Management Services Co., Inc.",Village Langley (The),Residential Care,3920 198th St,Langley,V3A 1C8,(604)427-3755,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=F48F1DEAC783056C882581540063DB8E,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,Y,26,N,,N,,-122.672952,49.0732585
posAbilities Association of British Columbia,Vista House,Residential Care,6108 Neville St,Burnaby,V5J 2J6,(604)439-9290,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=482FFC07978B89C988256D27006FC99F,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,N,,Y,4,N,,-122.9745099,49.2135719
Communitas Supportive Care Society,Walker,Residential Care,34691 Walker Cres,Abbotsford,V2S 1J4,(604)852-5195,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=7EEC5AA9A5B996A488256B9500708BD9,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,N,,Y,5,N,,-122.2638329,49.0374461
Waverly Seniors Village 3 LLP,Waverly Seniors Village,Residential Care,8445 Young Rd,Chilliwack,V2P 4P2,(604)792-6340,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=899F1F947FD2BF9B8825807D007CA511,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,Y,53,N,,N,,-121.9530152,49.1557196
Kinsight Community Society,Wellington Street Group Home,Residential Care,3719 Wellington St,Port Coquitlam,V3B 3Y9,(604)464-3912,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=94BCEB2D502E851688256D2700704BB5,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,N,,Y,5,N,,-122.7620924,49.2788454
Community Living Society,Wells Gray Place,Residential Care,312 Wells Gray Pl,New Westminster,V3L 3Y3,(604)540-7308,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=5F18084ECC94694B88256D27007023ED,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,N,,Y,3,N,,-122.8936793,49.2325521
West Shore Laylum Management Ltd.,West Shore Laylum,Residential Care,2567 King George Blvd,Surrey,V4P 0E9,(604)946-2822,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=8FE790A4A80C4D30882583D00078251C,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,Y,55,N,,N,,-122.7977862,49.0485655
HRC Care Society,Westminster House,Residential Care,1653 140th St,Surrey,V4A 4H1,(604)538-5291,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=FA3C1BEF0B4ADBD688256D2700703C88,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,Y,140,N,,N,,-122.8363832,49.0324337
Westminster House Society,Westminster House,Residential Care,228 7th St,New Westminster,V3M 3K3,(604)524-5633,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=96B68CC50DC9685188256D27007023F0,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,Y,10,N,,N,,N,,-122.9160062,49.207319
White Rock Seniors Village 3 LLP,White Rock Seniors Village,Residential Care,15628 Buena Vista Ave,White Rock,V4B 1Z4,(604)541-4663,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=387032624A1CDA9A8825807D00804631,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,Y,71,N,,N,,-122.7894036,49.0237714
HCN-Revera Lessee (Whitecliff) GP Inc,Whitecliff Retirement Residence,Residential Care,15501 16th Ave,Surrey,V4A 9M5,(604)538-7227,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=9E45BA7811B3F0FE88257C5C005E7163,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,Y,35,N,,N,,-122.7930809,49.0312747
Chartwell Seniors Housing Reit,Willow Manor Care Centre,Residential Care,12275 224th St,Maple Ridge,V2X 6H5,(604)466-8602,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=7F6AAF1A82FEC7B088257122005DDF5D,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,Y,35,N,,N,,-122.6019985,49.2253028
Chilliwack Society For Community Living,Wilmada Place,Residential Care,46660 Cedar St,Chilliwack,V2P 2H6,(604)792-8680,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=4CA42600E75B6B7C88256B95007089EC,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,N,,Y,4,N,,-121.9325709,49.171304
Western Human Resource Corp,Wingate House,Residential Care,1234 Winslow Ave,Coquitlam,V3J 2G2,(604)931-3802,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=C54FD9169EFF42EE88256D2700704C16,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,N,,Y,4,N,,-122.8582941,49.2536712
Milieu Family Services Inc.,Yale House,Residential Care,13107 Old Yale Rd,Surrey,V3T 3C3,(604)588-8992,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=11B958DB3C85731C88256D2700703C7D,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,N,,Y,5,N,,-122.8586626,49.1883729
Lutheran Senior Citizens Housing Society,Zion Park Manor,Residential Care,5939 180th St,Surrey,V3S 4L2,(604)576-2891,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=5A5D676FC5CB8F7588256D2700703C30,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,Y,112,N,,N,,-122.7239974,49.110046
Frank Lindstrom,1985 Treelane Road,Residential Care,1985 Treelane Rd ,Campbell River,V9W 4G1,(250)287-8883,https://www.healthspace.ca/Clients/VIHA/VIHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=E72390BE948C694A88256BD1007A112D,Community Care and Assisted Living Act,Residential Care Regulation,Island Health,N,,N,,N,,N,,Y,4,N,,-125.2737183,50.0257667
Frank Lindstrom,1990 Treelane Road,Residential Care,1990 Treelane Rd ,Campbell River,V9W 4E8,(250)286-0067,https://www.healthspace.ca/Clients/VIHA/VIHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=5588318463FED7AB88256BD1007A114B,Community Care and Assisted Living Act,Residential Care Regulation,Island Health,N,,N,,N,,N,,Y,4,N,,-125.2737796,50.0262976
Valley Integration To Active Living (V.I.T.A.L.),Abbott House,Residential Care,7109 Westholme Rd ,Duncan,V9L 6B4,(250)748-9958,https://www.healthspace.ca/Clients/VIHA/VIHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=7ECE1BE3FFAB31F788256C1B007ABED0,Community Care and Assisted Living Act,Residential Care Regulation,Island Health,N,,N,,N,,N,,Y,5,N,,-123.7143617,48.8502464
Acacia Ty Mawr Holdings Ltd.,Acacia Ty Mawr,Residential Care,2655 Shawnigan Lake Rd E,Shawnigan Lake,V0R 2W0,(250)743-2124,https://www.healthspace.ca/Clients/VIHA/VIHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=56A92541A3C1490588256B7C007BC3FC,Community Care and Assisted Living Act,Residential Care Regulation,Island Health,N,,N,,N,,Y,35,N,,N,,-123.6241103,48.6494501
Vancouver Island Health Authority,Adanac House,Residential Care,1745 Adanac St ,Victoria,V8R 2C4,(250)370-0492,https://www.healthspace.ca/Clients/VIHA/VIHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=A0E109D2A5A3623588256A73007DF788,Community Care and Assisted Living Act,Residential Care Regulation,Island Health,Y,6,N,,N,,N,,N,,N,,-123.3317071,48.4350268
Mary Marcoux,Amadeus Residence,Residential Care,842 Pears Rd ,Victoria,V9C 4A2,(250)474-8852,https://www.healthspace.ca/Clients/VIHA/VIHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=E2A1A40ED3A95CF088256A73007DF738,Community Care and Assisted Living Act,Residential Care Regulation,Island Health,N,,N,,N,,N,,Y,4,N,,-123.5382256,48.392344
Kardel Consulting Services Inc.,Amelia House,Residential Care,2316 Amelia Ave ,Sidney,V8L 2H6,(250)655-9111,https://www.healthspace.ca/Clients/VIHA/VIHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=BEB089E5F2CA31D488256A73007DF69B,Community Care and Assisted Living Act,Residential Care Regulation,Island Health,N,,N,,N,,N,,Y,4,N,,-123.4037832,48.6589243
Amica Mature Lifestyles,Amica Douglas House,Residential Care,50 Douglas St ,Victoria,V8V 2N8,(250)383-6258,https://www.healthspace.ca/Clients/VIHA/VIHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=4CF39533E1B3189E88256A73007DF6E7,Community Care and Assisted Living Act,Residential Care Regulation,Island Health,N,,N,,N,,Y,39,N,,N,,-123.369559,48.4105694
Saanich Senior Living Inc.,Amica On The Gorge,Residential Care,994 Gorge Rd W,Victoria,V9A 1P2,(250)220-8000,https://www.healthspace.ca/Clients/VIHA/VIHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=62E22F100EDD912E88257E580069D158,Community Care and Assisted Living Act,Residential Care Regulation,Island Health,N,,N,,N,,Y,78,N,,N,,-123.4194668,48.4533075
Rebecca M. de Aro,Apple Gate Respite Home,Residential Care,710 Applegate Rd ,Campbell River,V9W 7A2,(250)923-8519,https://www.healthspace.ca/Clients/VIHA/VIHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=E315A1AC95540C04882570430061D21F,Community Care and Assisted Living Act,Residential Care Regulation,Island Health,N,,N,,N,,N,,Y,5,N,,-125.2254014,49.9616451
J. Garnons Williams Ltd.,Applecross,Residential Care,6408 Dover Rd ,Nanaimo,V9V 1A7,(250)390-0580,https://www.healthspace.ca/Clients/VIHA/VIHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=8BDFE7469EBD12CF88256B7C007BC550,Community Care and Assisted Living Act,Residential Care Regulation,Island Health,N,,N,,N,,N,,Y,4,N,,-124.0428252,49.2418921
Jaime Looten,Arbour Cottage,Residential Care,17 Baden Powell St ,Ladysmith,V9G 1A3,(250)245-2700,https://www.healthspace.ca/Clients/VIHA/VIHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=99841D17BF42B4D588257F500079FB14,Community Care and Assisted Living Act,Residential Care Regulation,Island Health,N,,N,,N,,Y,5,N,,N,,-123.8145297,48.9920971
Shekinah Homes Society,Arc En Ciel,Residential Care,3114 Irma St ,Victoria,V9A 1S8,(250)595-2451,https://www.healthspace.ca/Clients/VIHA/VIHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=AA797EC88957C570882577D10077BDB1,Community Care and Assisted Living Act,Residential Care Regulation,Island Health,N,,N,,N,,N,,Y,6,N,,-123.385387,48.4473046
Arrowsmith Health Care ( 2011)  Society,Arrowsmith Lodge,Residential Care,266 Moilliet St ,Parksville,V9P 1M9,(250)248-4331,https://www.healthspace.ca/Clients/VIHA/VIHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=F75714223C98D0B4882570BC006EA6BA,Community Care and Assisted Living Act,Residential Care Regulation,Island Health,N,,N,,N,,Y,75,N,,N,,-124.3236176,49.3159185
Nanaimo Memory Care Partnership,Avenir Memory Care At Nanaimo,Residential Care,4989 Wills Rd ,Nanaimo,V9T 2K4,(250)585-3788,https://www.healthspace.ca/Clients/VIHA/VIHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=DEC7C0209718174588257D8500623768,Community Care and Assisted Living Act,Residential Care Regulation,Island Health,N,,N,,N,,Y,79,Y,4,N,,-124.0252108,49.2145774
Sooke Elderly Citizens Housing Society,Ayre Manor ,Residential Care,6764 Ayre Rd ,Sooke,V9Z 1K1,(250)642-1750,https://www.healthspace.ca/Clients/VIHA/VIHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=6A95EDAF3D1DE982882571FF005550B7,Community Care and Assisted Living Act,Residential Care Regulation,Island Health,N,,Y,2,N,,Y,31,N,,N,,-123.7275791,48.3772566
Beacon Hill Seniors Village 3 LLP,Beacon Hill Villa,Residential Care,635 Superior St ,Victoria,V8V 1V1,(250)383-5447,https://www.healthspace.ca/Clients/VIHA/VIHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=C150451954454B9B8825803D007895B8,Community Care and Assisted Living Act,Residential Care Regulation,Island Health,N,,N,,N,,Y,80,N,,N,,-123.3670916,48.4180655
Broadmead Care Society,Beckley Farm Lodge ,Residential Care,530 Simcoe St ,Victoria,V8V 4W4,(250)381-4421,https://www.healthspace.ca/Clients/VIHA/VIHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=6DCBF8B6DCF65DE588258081007AE909,Community Care and Assisted Living Act,Residential Care Regulation,Island Health,N,,N,,N,,Y,65,N,,N,,-123.3724942,48.4150343
Independent Living Housing Society,Bed & Breakfast,Residential Care,910 Easter Rd ,Victoria,V8X 2Z8,(250)475-2182,https://www.healthspace.ca/Clients/VIHA/VIHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=A653E89784CBE98F88256A73007DF626,Community Care and Assisted Living Act,Residential Care Regulation,Island Health,N,,N,,N,,N,,Y,5,N,,-123.3677228,48.4607816
Berwick Investments Ltd.,Berwick House,Residential Care,4062 Shelbourne St ,Victoria,V8N 3E6,(250)721-4062,https://www.healthspace.ca/Clients/VIHA/VIHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=DB24626A780180148825732300809793,Community Care and Assisted Living Act,Residential Care Regulation,Island Health,N,,N,,N,,Y,41,N,,N,,-123.3336487,48.4755032
Berwick Investments Ltd.,Berwick On The Lake,Residential Care,3201 Ross Rd ,Nanaimo,V9T 6L9,(250)729-7995,https://www.healthspace.ca/Clients/VIHA/VIHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=A5E02C20B76C7CE3882570650071016B,Community Care and Assisted Living Act,Residential Care Regulation,Island Health,N,,N,,N,,Y,36,N,,N,,-124.0036075,49.2100737
Berwick Retirement Royal Oak Ltd.,Berwick Royal Oak,Residential Care,4680 Elk Lake Dr ,Victoria,V8Z 5M1,(250)386-4680,https://www.healthspace.ca/Clients/VIHA/VIHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=23264AB4428818848825759F0056A793,Community Care and Assisted Living Act,Residential Care Regulation,Island Health,N,,N,,N,,Y,28,N,,N,,-123.3868419,48.5035189
Pacific Coast Community Resources Inc.,Blenkinsop Home,Residential Care,3924 Blenkinsop Rd ,Victoria,V8P 3P5,(250)590-4436,https://www.healthspace.ca/Clients/VIHA/VIHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=BA293FB6FF6D341F8825741800610642,Community Care and Assisted Living Act,Residential Care Regulation,Island Health,N,,N,,N,,N,,Y,3,N,,-123.3503798,48.4659403
Beacon Community Association,Brentwood House,Residential Care,1167 Stellys X Rd ,Brentwood Bay,V8M 1H4,(250)652-0635,https://www.healthspace.ca/Clients/VIHA/VIHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=CE80A04165E976AF882572750080D4C6,Community Care and Assisted Living Act,Residential Care Regulation,Island Health,N,,N,,N,,Y,17,N,,N,,-123.4509233,48.5794252
Victoria Association for Community Living,Brock Home,Residential Care,1015 Springboard Pl ,Victoria,V9B 3E2,(250)478-9197,https://www.healthspace.ca/Clients/VIHA/VIHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=D843A49F9F13546E882572AD00605932,Community Care and Assisted Living Act,Residential Care Regulation,Island Health,N,,N,,N,,N,,Y,4,N,,-123.5100651,48.4545559
Barrett and Mak Programs Inc.,Burde Street Residence,Residential Care,3338 Burde St ,Port Alberni,V9Y 0A5,(250)724-1607,https://www.healthspace.ca/Clients/VIHA/VIHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=CC0CFBD25DBBA4E588257C6A00624E7C,Community Care and Assisted Living Act,Residential Care Regulation,Island Health,N,,N,,N,,N,,Y,4,N,,-124.7788388,49.2416144
Victoria Association for Community Living,Burnside Home,Residential Care,595 Burnside Rd W,Victoria,V8Z 1M7,(250)727-9534,https://www.healthspace.ca/Clients/VIHA/VIHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=2267FCE752450795882572AD005DB3C8,Community Care and Assisted Living Act,Residential Care Regulation,Island Health,N,,N,,N,,N,,Y,4,N,,-123.3707608,48.44266
Clements Centre Society,Campbell Street Group Home,Residential Care,346 Campbell St ,Duncan,V9L 3H8,(250)748-5219,https://www.healthspace.ca/Clients/VIHA/VIHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=43DC92BAEBCAF2D388256B7C007BC3A2,Community Care and Assisted Living Act,Residential Care Regulation,Island Health,N,,N,,N,,N,,Y,6,N,,-123.6883723,48.7777614
BeConnected Support Services Ltd.,Carey House,Residential Care,4241 Carey Rd ,Victoria,V8Z 4H1,(250)727-0545,https://www.healthspace.ca/Clients/VIHA/VIHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=ADA60BFF01B5507B88256B900066CFFC,Community Care and Assisted Living Act,Residential Care Regulation,Island Health,N,,N,,N,,N,,Y,4,N,,-123.4007389,48.4825802
