FACILITY_NAME,HCC_CODE,HLTH_AUTH,OWNERSHIP,STREET_ADDRESS,CITY,POSTAL,REGULATION,ACCRED_STATUS,DCH_NURSE_LASTYR,DCH_ALLIED_LASTYR,DCH_TOTAL_LASTYR,DCH_NURSE_CURRENTYR,DCH_ALLIED_CURRENTYR,DCH_TOTAL_CURRENTYR,BEDS_TOTAL,ROOMS_PRIVATE,ROOMS_SEMI,ROOMS_MULTI,COMPLAINTS,SUB_COMPLAINTS,INCIDENT_OUTBREAK,INCIDENT_ABUSE,INCIDENT_FALL,INCIDENT_POISON,INCIDENT_MEDICATION,INCIDENT_WANDERING,INCIDENT_INJURY,INCIDENT_AGGRESSION,INCIDENT_OUTBREAK_100,INCIDENT_ABUSE_100,INCIDENT_FALL_100,INCIDENT_POISON_100,INCIDENT_MEDICATION_100,INCIDENT_WANDERING_100,INCIDENT_INJURY_100,INCIDENT_AGGRESSION_100,AGE,FEMALE,AGE_85_PLUS,AGE_UNDER_65,STAY_LENGTH,DEPRESSION,ADL_DEPENDENT,CPS_SEVERE,DEMENTIA,ABS_PHYS_ABUSIVE,ISE,ISE_LOW,CMI,THERAPY_PT,THERAPY_RT,THERAPY_OT,MEDS_DEPRESSION,MEDS_ANTIPSYCHOTICS,RESTRAINTS,INSPECTIONS,INFRACTIONS,INFRACTIONS_LICENSING,INFRACTIONS_FACILITY,INFRACTIONS_STAFFING,INFRACTIONS_POLICY,INFRACTIONS_CARE,INFRACTIONS_DISEASE,INFRACTIONS_FOOD,INFRACTIONS_MEDICATION,INFRACTIONS_PROGRAM,INFRACTIONS_REPORTING,INFRACTIONS_RIGHTS,INFRACTIONS_OTHER,latitude,longitude,Total Confirmed Cases,Total Deaths,outbreak,RESIDENT_COUNCIL,FAMILY_COUNCIL,BEDS_PRIVATEprop,INCIDENT_OUTBREAK_100_CAT,INFRACTION_DISEASE_CAT
Kamloops Seniors Village,92DCA,Interior Health,PFP,1220 Hugh Allan Dr.,Kamloops,V1S2B3,Community Care & Assisted Living Act,Accredited,2.8,0.35,3.15,2.97,0.35,3.32,114,114,0,0,1,0,2,3,11,0,0,3,7,2,1.8,2.6,9.6,0,0,2.6,6.1,1.8,85,65.00%,61.10%,4.10%,784,14.60%,38.30%,21.50%,75.00%,6.40%,2.8,42.10%,0.56,0.00%,46.00%,19.70%,53.70%,17.40%,6.40%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.6499607,-120.3729788,,,0,TRUE,TRUE,0.122807018,>0,0
Kimberley Special Care Home,91711,Interior Health,HA,386 2nd Ave,Kimberley,V1A2Z8,Community Care & Assisted Living Act,Accredited,2.87,0.38,3.25,2.87,0.38,3.25,55,49,3,0,0,0,0,4,0,0,0,1,1,0,0,7.3,0,0,0,1.8,1.8,0,87,61.50%,69.20%,2.90%,632,27.80%,39.60%,26.40%,80.20%,3.30%,2.8,51.90%,0.58,40.60%,0.00%,0.90%,49.50%,7.60%,23.40%,1,3,0,0,0,1,1,0,0,0,0,1,0,0,49.6899979,-115.9896466,,,0,TRUE,TRUE,0,0,0
KinVillage West Court,9A4JH,Fraser Health,PNP,5410 10th Ave.,Delta,V4M3X8,Community Care & Assisted Living Act,Accredited,2.57,0.32,2.89,2.69,0.33,3.02,100,100,0,0,1,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,90,67.10%,76.30%,1.40%,,21.80%,24.10%,34.70%,60.30%,5.00%,2.4,58.80%,0.57,17.60%,65.30%,2.10%,40.60%,16.20%,8.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.021494,-123.073658,,,0,TRUE,FALSE,0,0,0
Kinsmen Lodge,9942B,Fraser Health,PNP,9650 137A Street,Surrey,V3T4H9,Community Care & Assisted Living Act,Accredited,2.59,0.21,2.8,3.03,0.33,3.36,157,143,7,0,3,0,0,0,10,0,0,0,2,1,0,0,6.4,0,0,0,1.3,0.6,86,60.50%,58.30%,5.80%,"1,037",25.80%,33.20%,20.60%,49.90%,14.60%,2.3,59.40%,0.6,0.90%,82.00%,0.00%,40.90%,15.80%,1.90%,6,0,0,0,0,0,0,0,0,0,0,0,0,0,49.1777346,-122.8417995,,,0,TRUE,TRUE,0,0,0
Kiwanis Care Centre,9AD1I,Fraser Health,PNP,35 Clute Street,New Westminster,V3L1Z5,Community Care & Assisted Living Act,Accredited,2.48,0.31,2.79,2.69,0.31,3,75,59,8,0,0,0,1,0,10,0,0,0,0,0,1.3,0,13.3,0,0,0,0,0,88,94.60%,69.50%,0.60%,"1,409",20.90%,28.00%,20.90%,57.10%,6.70%,3.2,31.30%,0.65,55.60%,70.90%,34.70%,50.40%,13.00%,4.50%,1,1,0,0,0,0,1,0,0,0,0,0,0,0,49.2232118,-122.9150878,,,0,TRUE,TRUE,0,>0,0
Kiwanis Pavilion,9AC36,Vancouver Island Health,PNP,3034 Cedar Hill Road,Victoria,V8T3J3,Community Care & Assisted Living Act,Accredited,3.04,0.22,3.27,3.09,0.26,3.35,122,122,0,0,0,0,1,0,14,0,0,0,1,2,0.8,0,11.5,0,0,0,0.8,1.6,83,66.60%,54.80%,3.80%,700,26.90%,28.50%,39.60%,86.90%,13.80%,2.8,50.60%,0.6,20.60%,17.70%,2.90%,61.00%,15.90%,3.80%,2,5,0,1,0,0,2,1,0,0,0,1,0,0,48.4464163,-123.3467929,,,0,FALSE,TRUE,0.049180328,>0,>0
Kiwanis Village Lodge,995AE,Vancouver Island Health,PNP,1221 Kiwanis Crescent,Nanaimo,V9S5Y1,Community Care & Assisted Living Act,Unknown,2.77,0.21,2.97,3,0.22,3.22,75,75,0,0,4,3,0,0,11,0,0,0,1,0,0,0,14.7,0,0,0,1.3,0,85,74.60%,60.80%,9.60%,"1,110",25.80%,33.30%,19.90%,63.30%,6.70%,2.7,47.20%,0.59,1.10%,0.00%,0.70%,44.90%,26.90%,8.80%,7,2,0,0,1,0,1,0,0,0,0,4,0,0,49.186109,-123.96893,,,0,TRUE,TRUE,0,0,0
Kopernik Lodge,99A2I,Vancouver Coastal Health,PNP,3150 Rosemont Drive,Vancouver,V5S2C9,Community Care & Assisted Living Act,Not Accredited,2.58,0.31,2.89,2.75,0.28,3.03,87,45,21,0,2,1,1,0,7,0,0,4,3,7,1.1,0,8,0,0,4.6,3.4,8,87,86.40%,65.20%,2.60%,951,34.30%,38.50%,26.40%,53.30%,12.40%,2.2,56.70%,0.59,1.60%,12.70%,0.50%,50.70%,29.60%,11.70%,3,4,0,0,1,2,1,0,0,0,0,0,0,0,49.21522,-123.039,,,0,TRUE,TRUE,0,>0,0
Lady Minto Hospital,9A5G5,Vancouver Island Health,HA,135 Crofton Rd,Salt Spring Island,V8K1T1,Hospital Act,Accredited,2.71,0.35,3.06,2.71,0.35,3.06,29,1,4,5,0,0,,,,,,,,,,,,,,,,,88,74.60%,73.10%,2.20%,675,6.40%,32.70%,36.40%,30.90%,5.50%,1.7,74.50%,0.6,2.70%,0.90%,0.00%,34.50%,8.40%,13.20%,1,2,0,1,0,0,0,0,0,0,0,1,0,0,48.8617,-123.5084,,,0,TRUE,TRUE,0,unknown,0
Lake Country Lodge,9B969,Interior Health,PFP,100-10163 Konschuh Rd,Winfield,V4V2M2,Community Care & Assisted Living Act,Unknown,2.8,0.35,3.15,2.93,0.35,3.28,49,41,4,0,0,0,1,1,4,0,0,4,4,1,2,2,8.2,0,0,8.2,8.2,2,87,70.20%,65.10%,4.10%,602,23.50%,11.00%,19.00%,63.00%,4.00%,5.3,7.00%,0.59,1.00%,2.00%,9.50%,57.50%,22.10%,6.90%,1,3,0,0,0,1,2,0,0,0,0,0,0,0,50.0291435,-119.3984578,,,0,TRUE,TRUE,0.081632653,>0,0
Lakeshore Care Centre,992HG,Fraser Health,PFP,657 Gatensbury Street,Coquitlam,V3J5G9,Hospital Act,Not Accredited,2.61,0.32,2.94,2.63,0.32,2.95,56,42,7,0,1,1,0,1,1,0,0,0,0,0,0,1.8,1.8,0,0,0,0,0,85,70.40%,64.50%,6.50%,"1,526",21.70%,43.40%,44.80%,78.30%,12.60%,2.2,60.10%,0.6,0.70%,11.90%,0.00%,36.40%,17.00%,11.20%,2,3,0,0,2,0,0,0,0,0,0,1,0,0,49.2595472,-122.8563516,,,0,TRUE,TRUE,0.375,0,0
Lakeview Care Centre,9C477,Vancouver Coastal Health,PFP,3490 Porter Street,Vancouver,V5N5W4,Hospital Act,Accredited,2.58,0.19,2.77,2.79,0.19,2.98,177,105,36,0,0,0,2,0,10,0,0,2,0,0,1.1,0,5.6,0,0,1.1,0,0,87,64.30%,69.30%,1.60%,"1,143",23.80%,21.80%,29.30%,58.50%,9.60%,4.1,20.00%,0.56,0.00%,2.30%,0.00%,34.70%,10.60%,1.40%,4,7,0,3,0,0,1,1,0,1,0,1,0,0,49.25348995,-123.0664881,,,0,TRUE,TRUE,0,>0,>0
Lakeview Lodge,93DAA,Interior Health,PFP,2337 Butt Road,West Kelowna,V4T3L3,Community Care & Assisted Living Act,Unknown,2.8,0.35,3.15,2.85,0.35,3.2,114,114,0,0,0,0,1,3,26,0,0,4,8,2,0.9,2.6,22.8,0,0,3.5,7,1.8,85,68.10%,62.70%,4.60%,805,8.00%,17.40%,32.80%,76.70%,6.30%,3.4,33.00%,0.56,12.60%,50.00%,0.40%,53.00%,12.60%,7.90%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,49.8370173,-119.6237769,,,0,TRUE,TRUE,0.122807018,>0,0
Langley Gardens,925CA,Fraser Health,PFP,8888 202nd Street,Langley,V1M4A7,Community Care & Assisted Living Act,Accredited,2.43,0.31,2.74,2.64,0.31,2.95,92,86,6,0,1,0,1,0,16,0,0,0,0,1,1.1,0,17.4,0,0,0,0,1.1,89,69.50%,81.00%,1.20%,535,12.70%,33.90%,15.10%,60.60%,4.00%,2.3,59.00%,0.58,38.10%,40.50%,5.30%,33.30%,9.80%,0.00%,4,1,0,0,1,0,0,0,0,0,0,0,0,0,49.1663494,-122.6609691,6,0,1,TRUE,TRUE,0.206521739,>0,0
Langley Lodge,98JIE,Fraser Health,PNP,5451-204th St,Langley,V3A5M9,Community Care & Assisted Living Act,Accredited,2.55,0.3,2.85,3.01,0.35,3.36,139,127,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.7,88,66.20%,71.40%,2.30%,831,18.90%,29.80%,29.20%,57.90%,10.70%,2.4,58.30%,0.57,8.50%,11.00%,0.20%,47.20%,18.10%,1.40%,2,9,0,2,1,0,3,1,0,0,0,2,0,0,49.1015673,-122.6573035,68,26,1,TRUE,TRUE,0.100719424,0,>0
Langley Memorial Hospital ECU,9A5E0,Fraser Health,HA,22051 Fraser Hwy,Langley,V3A4H4,Hospital Act,Unknown,2.98,0.28,3.26,2.92,0.27,3.19,230,8,4,44,5,1,1,0,1,0,0,3,0,0,0.4,0,0.4,0,0,1.3,0,0,89,72.10%,71.20%,3.00%,597,13.70%,26.90%,25.80%,54.20%,7.10%,2.6,53.10%,0.57,6.50%,52.30%,4.00%,46.70%,23.30%,2.40%,6,10,0,2,1,0,3,1,0,0,1,2,0,0,49.0944775,-122.6116674,3,1,1,TRUE,FALSE,0,>0,>0
Laurel Place,9359A,Fraser Health,PFP,9688 137A St,Surrey,V3T4H9,Community Care & Assisted Living Act,Accredited,2.54,0.27,2.8,2.99,0.37,3.36,215,207,4,0,1,0,0,0,17,0,0,0,2,0,0,0,7.9,0,0,0,0.9,0,85,58.40%,60.40%,5.90%,899,18.90%,37.90%,25.20%,58.00%,6.10%,2.4,60.70%,0.6,16.70%,1.70%,0.20%,39.60%,15.60%,16.60%,4,2,0,1,0,0,1,0,0,0,0,0,0,0,49.1784219,-122.8417807,,,0,TRUE,TRUE,0.060465116,0,0
Little Mountain Place,9BA01,Vancouver Coastal Health,PNP,330 East 36th Avenue,Vancouver,V5W3Z4,Community Care & Assisted Living Act,Not Accredited,2.59,0.18,2.77,2.8,0.23,3.03,117,117,0,0,1,0,2,0,15,0,0,6,1,18,1.7,0,12.8,0,0,5.1,0.9,15.4,84,55.50%,51.40%,3.00%,"1,417",22.20%,33.10%,21.00%,60.60%,10.30%,2.4,57.40%,0.53,0.20%,1.30%,0.40%,37.10%,18.50%,9.30%,3,2,0,1,0,1,0,0,0,0,0,0,0,0,49.2376636,-123.0998532,1,0,1,TRUE,TRUE,0,>0,0
Louis Brier Home and Hospital,999G3,Vancouver Coastal Health,PNP,1055 West 41st Ave,Vancouver,V6M1W9,Hospital Act & Community Care & Assisted Living Act,Accredited,2.62,0.24,2.86,2.87,0.26,3.13,215,149,33,0,1,1,2,0,22,0,0,8,3,12,0.9,0,10.2,0,0,3.7,1.4,5.6,85,61.40%,59.00%,3.90%,"1,410",18.20%,45.70%,33.90%,57.40%,13.40%,1.9,69.10%,0.58,15.90%,20.70%,8.20%,51.70%,34.70%,1.90%,6,16,2,5,1,4,0,0,0,2,0,2,6,0,49.2346366,-123.1292727,,,0,TRUE,TRUE,0,>0,0
Luther Court,99DIG,Vancouver Island Health,PNP,1525 Cedar Hill Cross Rd,Victoria,V8P5M1,Community Care & Assisted Living Act,Accredited,2.66,0.36,3.01,2.91,0.34,3.25,60,60,0,0,0,0,0,0,2,0,0,1,0,2,0,0,3.3,0,0,1.7,0,3.3,84,64.10%,59.30%,5.60%,762,35.10%,36.70%,55.80%,73.30%,7.20%,1.8,72.10%,0.59,8.00%,0.00%,0.00%,55.00%,11.60%,1.20%,2,1,0,0,0,1,0,0,0,0,0,0,0,0,48.4619202,-123.3364271,,,0,FALSE,FALSE,0,0,0
Lynn Valley Care Centre,9B5JB,Vancouver Coastal Health,PFP,"1070 Lynn Valley Rd, North",North Vancouver,V7J1Z8,Hospital Act & Community Care & Assisted Living Act,Accredited,2.92,0.27,3.19,3,0.26,3.26,201,178,13,0,0,0,0,0,9,0,0,0,0,0,0,0,4.5,0,0,0,0,0,87,64.30%,69.30%,2.40%,"1,442",19.90%,31.30%,16.90%,62.90%,7.70%,2.6,47.30%,0.56,7.20%,8.20%,0.00%,58.20%,25.60%,8.70%,3,2,2,0,0,0,0,0,0,0,0,0,2,0,49.33396,-123.045,79,20,1,TRUE,TRUE,0.308457711,0,0
MSA Manor,98H7B,Fraser Health,PNP,2510 Gladwin Rd,Abbotsford,V2T3N9,Community Care & Assisted Living Act,Accredited,2.44,0.29,2.73,2.66,0.29,2.95,34,34,0,0,0,0,0,1,3,0,0,0,0,0,0,2.9,8.8,0,0,0,0,0,90,61.50%,73.50%,0.30%,944,21.30%,27.90%,23.50%,51.50%,4.40%,2.6,47.80%,0.58,1.50%,5.10%,0.00%,61.00%,36.60%,2.00%,1,3,0,0,2,0,0,1,0,0,0,0,0,0,49.04747485,-122.3146229,1,0,1,TRUE,FALSE,0,0,>0
Mackenzie and District Hospital and Health Centre,93790,Northern Health,HA,45 Centennial Drive,Mackenzie,V0J2C0,Hospital Act,Accredited,3.31,0,3.31,3.61,0,3.61,5,4,0,0,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,1,2,0,1,0,0,0,0,0,0,0,1,0,0,55.3375782,-123.100648,,,0,FALSE,FALSE,0,unknown,0
Malaspina Gardens,99I1B,Vancouver Island Health,PFP,100 Eleventh Street,Nanaimo,V9R6R6,Community Care & Assisted Living Act,Accredited,2.78,0.29,3.07,2.93,0.28,3.21,136,136,0,0,1,0,1,0,29,0,0,3,2,0,0.7,0,21.3,0,0,2.2,1.5,0,81,60.20%,46.10%,11.20%,854,27.50%,25.30%,23.00%,61.90%,5.50%,3.2,35.80%,0.57,3.90%,0.90%,1.80%,45.30%,12.60%,1.30%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,49.1298617,-123.9227916,,,0,TRUE,TRUE,0.007352941,>0,0
Maple Ridge Seniors Village,9376A,Fraser Health,PFP,22141 - 119th Avenue,Maple Ridge,V2X2Y7,Community Care & Assisted Living Act,Accredited,2.65,0.24,2.89,3,0.36,3.36,108,108,0,0,7,3,0,2,20,0,0,0,6,9,0,1.9,18.5,0,0,0,5.6,8.3,85,60.10%,57.50%,1.50%,614,23.90%,30.90%,41.20%,77.00%,14.90%,2.3,62.90%,0.57,5.80%,10.30%,0.30%,35.80%,27.30%,9.50%,6,2,1,0,0,0,1,0,0,0,0,0,0,0,49.2193789,-122.6084592,1,0,1,TRUE,TRUE,0.166666667,0,0
Maplewood House,9BE34,Fraser Health,PNP,1919 Jackson St.,Abbotsford,V2S2Z8,Community Care & Assisted Living Act,Accredited,2.48,0.31,2.79,2.74,0.33,3.07,78,78,0,0,1,0,0,2,7,0,0,0,1,0,0,2.6,9,0,0,0,1.3,0,85,59.80%,58.00%,6.20%,607,18.40%,37.50%,39.80%,66.60%,18.10%,1.9,66.20%,0.6,4.00%,33.10%,2.00%,53.50%,36.30%,12.80%,3,3,0,2,0,0,0,1,0,0,0,0,0,0,49.0366072,-122.3091484,,,0,TRUE,FALSE,0,0,>0
Mariposa Gardens,935JA,Interior Health,PFP,8816 97th Street (highway 97),Osoyoos,V0H1V5,Community Care & Assisted Living Act,Unknown,2.8,0.35,3.15,2.92,0.35,3.27,109,97,6,0,2,1,3,3,16,0,0,2,2,0,2.8,2.8,14.7,0,0,1.8,1.8,0,86,72.40%,62.00%,0.90%,801,16.90%,10.80%,42.90%,88.10%,11.20%,4.1,11.00%,0.58,14.80%,34.70%,0.00%,65.60%,13.60%,5.70%,3,10,0,1,0,0,1,0,0,0,0,0,0,0,49.034727,-119.4770583,,,0,TRUE,TRUE,0.04587156,>0,0
McBride and District Hospital,9A681,Northern Health,HA,1136 5th Avenue,McBride,V0J2E0,Hospital Act,Accredited,3.15,0,3.15,3.61,0,3.61,9,7,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,50.00%,100.00%,0.00%,,19.40%,51.60%,35.50%,96.80%,3.20%,3.6,19.40%,0.59,9.70%,0.00%,0.00%,45.20%,37.30%,20.00%,1,9,0,1,0,0,0,0,1,2,1,4,0,0,53.3016398,-120.1608281,,,0,FALSE,FALSE,0,0,0
McKinney Place - South Okanagan General Hospital,9A722,Interior Health,HA,911 McKinney Road,Oliver,V0H1T3,Hospital Act,Accredited,2.85,0.34,3.19,2.85,0.34,3.19,75,7,4,15,0,0,1,2,7,0,0,1,0,0,1.3,2.7,9.3,0,0,1.3,0,0,86,62.10%,66.50%,2.30%,210,25.70%,22.90%,28.60%,66.90%,3.70%,1.7,74.30%,0.54,9.40%,22.40%,2.90%,28.60%,15.80%,4.10%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.1835315,-119.5390004,,,0,TRUE,TRUE,0,>0,0
Menno Home,98H8D,Fraser Health,PNP,32910 Brundige Ave,Abbotsford,V2S1N2,Community Care & Assisted Living Act,Accredited,2.48,0.31,2.79,2.7,0.33,3.03,196,186,5,0,2,0,0,0,20,0,1,1,1,0,0,0,10.2,0,0.5,0.5,0.5,0,87,64.10%,62.80%,2.20%,780,22.40%,15.10%,23.90%,81.80%,16.60%,3,44.30%,0.56,5.90%,84.30%,4.40%,58.00%,12.30%,3.60%,3,0,0,0,0,0,0,0,0,0,0,0,0,0,49.0401555,-122.3081538,,,0,TRUE,TRUE,0,0,0
Menno Hospital,9A6H1,Fraser Health,PNP,32945 Marshall Road,Abbotsford,V2S1K1,Hospital Act,Accredited,2.99,0.38,3.37,2.99,0.38,3.37,151,59,43,2,0,0,1,0,16,0,0,0,2,1,0.7,0,10.6,0,0,0,1.3,0.7,88,76.30%,73.20%,3.30%,834,24.00%,25.70%,18.00%,61.10%,8.50%,2.3,57.90%,0.59,10.60%,70.70%,6.40%,51.80%,5.10%,4.40%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.03929855,-122.311107,,,0,TRUE,TRUE,0,>0,0
Minoru Residence,9A5B4,Vancouver Coastal Health,HA,7333 Gollner Avenue,Richmond,V6Y0J1,Hospital Act,Accredited,2.94,0.3,3.24,2.93,0.31,3.24,250,70,90,0,0,0,2,0,14,0,0,0,0,0,0.8,0,5.6,0,0,0,0,0,84,58.30%,57.20%,5.50%,"1,304",17.50%,52.70%,32.80%,38.50%,3.80%,2.1,63.50%,0.6,32.80%,1.80%,14.90%,40.20%,24.00%,6.20%,2,8,1,2,0,2,0,0,0,0,0,3,1,0,49.16897,-123.15,,,0,TRUE,TRUE,0,>0,0
Minto House - Arrow Lakes Hospital,9A5A2,Interior Health,HA,97 1st Avenue NE,Nakusp,V0G1R0,Hospital Act,Accredited,2.95,0.51,3.46,2.95,0.51,3.46,16,15,0,0,0,0,2,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,86,64.10%,62.40%,4.30%,604,0.00%,39.00%,32.20%,79.70%,3.40%,3.5,28.80%,0.57,33.90%,0.00%,0.00%,42.40%,23.90%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.2392729,-117.795712,,,0,TRUE,TRUE,0,>0,0
Mission Creek Landing,98J5G,Interior Health,PFP,3081 Hall Rd,Kelowna,V1W2R5,Community Care & Assisted Living Act,Accredited,2.8,0.35,3.15,2.87,0.35,3.22,104,94,5,0,0,2,2,2,9,0,1,2,1,0,1.9,1.9,8.7,0,1,1.9,1,0,88,76.00%,75.40%,1.00%,590,28.90%,22.10%,23.40%,74.70%,4.40%,3.4,31.50%,0.54,1.00%,0.30%,12.80%,54.90%,7.50%,2.20%,5,17,3,1,1,3,2,2,0,0,0,2,2,0,49.8697756,-119.429557,,,0,TRUE,TRUE,0.038461538,>0,>0
Monashee Mews,93D80,Interior Health,PFP,2165 Norris Avenue,Lumby,V0E2G5,Community Care & Assisted Living Act,Accredited,2.8,0.35,3.15,2.8,0.35,3.15,46,46,0,0,0,0,0,6,2,0,1,0,2,0,0,13,4.3,0,2.2,0,4.3,0,85,62.70%,67.50%,8.30%,724,51.90%,27.10%,30.90%,73.50%,10.50%,2.4,58.60%,0.59,10.50%,37.60%,18.80%,71.30%,23.30%,17.60%,1,4,0,1,0,0,2,0,0,0,0,0,1,0,50.2498936,-118.9617267,,,0,TRUE,TRUE,0,0,0
Morgan Place,926A0,Fraser Health,PFP,3288 156a St,Surrey,V3Z9T1,Community Care & Assisted Living Act,Accredited,2.48,0.31,2.79,3,0.36,3.36,141,111,5,0,0,0,0,0,4,0,0,0,0,0,0,0,2.8,0,0,0,0,0,90,55.40%,75.30%,1.10%,458,23.70%,33.10%,25.10%,67.10%,10.30%,2.6,49.20%,0.6,38.90%,63.40%,0.00%,57.00%,13.80%,9.10%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,49.062332,-122.790069,,,0,TRUE,TRUE,0.092198582,0,0
Mount Cartier Court - Queen Victoria Hospital,92JJ0,Interior Health,HA,1200 Newlands Rd,Revelstoke,V0E2S1,Community Care & Assisted Living Act,Accredited,3,0.4,3.4,3.07,0.41,3.49,44,38,6,0,0,0,1,0,4,0,0,1,0,0,2.3,0,9.1,0,0,2.3,0,0,87,68.60%,64.30%,7.10%,"1,045",26.80%,34.50%,31.50%,73.20%,6.50%,3.1,38.70%,0.61,7.70%,10.70%,9.50%,60.70%,15.80%,4.30%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.9769146,-118.1847111,,,0,TRUE,TRUE,0,>0,0
Mount Ida Mews,93D60,Interior Health,PFP,100 5th Avenue SE,Salmon Arm,V1E4H4,Community Care & Assisted Living Act,Accredited,2.8,0.35,3.15,3,0.35,3.35,132,72,0,0,1,0,0,3,10,0,0,0,1,0,0,2.3,7.6,0,0,0,0.8,0,86,62.10%,55.80%,2.30%,837,36.10%,8.40%,23.90%,73.90%,20.60%,2.3,54.50%,0.56,4.20%,19.70%,3.50%,56.50%,13.00%,11.50%,2,2,0,0,0,1,0,0,0,0,0,1,0,0,50.696003,-119.28418,,,0,TRUE,TRUE,0.007575758,0,0
Mount Saint Joseph Hospital,9A54J,Vancouver Coastal Health,PNP,3080 Prince Edward Street,Vancouver,V5T3N4,Hospital Act,Accredited,2.88,0.29,3.17,2.88,0.29,3.17,99,16,8,17,0,0,1,0,8,0,0,0,0,0,1,0,8.1,0,0,0,0,0,88,72.80%,72.30%,1.70%,"1,448",22.30%,41.50%,40.20%,58.80%,5.00%,1.8,71.90%,0.62,16.50%,5.20%,18.10%,31.50%,15.40%,2.10%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,49.257699,-123.096358,,,0,TRUE,TRUE,0,>0,0
Mount St. Mary Hospital,9A6A6,Vancouver Island Health,PNP,861 Fairfield Rd.,Victoria,V8V5A9,Hospital Act,Unknown,2.85,0.15,3,2.87,0.16,3.04,200,184,8,0,5,0,,,,,,,,,,,,,,,,,83,74.50%,55.60%,9.70%,883,28.50%,31.40%,29.20%,53.70%,5.20%,2.7,46.30%,0.6,1.30%,9.60%,43.30%,58.50%,25.20%,0.60%,1,2,0,1,1,0,0,0,0,0,0,0,0,0,48.4132064,-123.3446919,,,0,TRUE,TRUE,0,unknown,0
Mount Tolmie Hospital,9A5JC,Vancouver Island Health,HA,3690 Richmond Rd.,Victoria,V8P4R6,Hospital Act,Accredited,2.9,0.27,3.17,2.91,0.27,3.18,72,9,14,9,0,0,,,,,,,,,,,,,,,,,85,81.50%,59.40%,1.20%,580,35.30%,31.30%,24.30%,53.30%,5.30%,3.3,35.70%,0.61,0.70%,76.00%,25.30%,53.70%,23.60%,3.70%,1,4,0,1,0,0,2,0,0,0,0,1,0,0,48.459924,-123.330454,,,0,TRUE,TRUE,0,unknown,0
Mountain Lake Seniors Community,92HIA,Interior Health,PFP,908 11th St,Nelson,V1L7A6,Community Care & Assisted Living Act,Unknown,2.8,0.35,3.15,3.01,0.35,3.36,92,92,0,0,1,1,0,4,5,0,0,0,1,0,0,4.3,5.4,0,0,0,1.1,0,84,65.50%,59.50%,8.10%,980,26.20%,14.50%,25.50%,67.90%,10.00%,3.3,31.70%,0.57,3.40%,0.30%,0.70%,40.70%,25.30%,0.00%,2,2,0,0,1,0,1,0,0,0,0,0,0,0,49.5081403,-117.2661182,,,0,TRUE,TRUE,0.076086957,0,0
Mountain View Lodge - Lillooet Hospital and Health Centre,9A4E5,Interior Health,HA,951 Murray St. ,Lillooet,V0K1V0,Community Care & Assisted Living Act,Accredited,2.9,0.37,3.27,2.9,0.37,3.27,22,20,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.5,0,0,87,72.30%,66.00%,3.90%,"1,958",47.00%,42.20%,38.60%,78.30%,10.80%,2.6,49.40%,0.65,44.60%,2.40%,0.00%,57.80%,30.60%,0.30%,1,2,0,1,0,0,1,0,0,0,0,0,0,0,50.68929895,-121.939356,,,0,TRUE,TRUE,0,0,0
Mountain View Manor - Delta Hospital,9A56E,Fraser Health,HA,5800 Mountain View Boulevard,Delta,V4K3V6,Hospital Act,Unknown,3.04,0.37,3.41,3.04,0.37,3.41,92,12,4,18,0,0,0,0,3,0,0,0,1,0,0,0,3.3,0,0,0,1.1,0,90,64.60%,73.60%,1.10%,911,11.50%,44.70%,28.10%,45.30%,5.00%,1.7,72.50%,0.58,21.60%,63.00%,1.50%,37.90%,22.00%,3.60%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,49.0856824,-123.0612524,,,0,TRUE,TRUE,0,0,0
