"Facility Name","Facility Address",City,Province,Postal,Country,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source,"Riding Code","Riding Name (French)","Riding Name (English)","Statcan Census Division id","Statcan Census Division Name","Statcan Census Division Type","Statcan Census Division Type Description","Statcan Census Consolidated Subdivision id","Statcan Census Consolidated Subdivision Name","Statcan Census Subdivision id","Statcan Census Subdivision Name","Statcan Census Subdivision Type","Statcan Census Subdivision Type Description","Statcan Census Economic Region","Statcan Census Statistical Area Code","Statcan Census Statistical Area Code Description","Statcan Census Statistical Area Type","Statcan Census Statistical Area Type Description","Statcan Census CMA/CA id","Statcan Census CMA/CA Name","Statcan Census CMA/CA Type","Statcan Census CMA/CA Type Description","Statcan Census Tract","Statcan Census Year"
"Raymond Health Centre","150 N 4 Street East RAYMOND, Alberta T0K 2S0",RAYMOND,Alberta,"T0K 2S0",Canada,49.853986,-112.843718,0.71,nearest_rooftop_match,146,"4th St",,,Shaughnessy,AB,,T0K,CA,"Contains information licensed under the Open Government Licence – Alberta Municipal Data Sharing Partnership (AMDSP)",48026,Lethbridge,Lethbridge,4802,"Division No.  2",CDR,"Census division / Division de recensement CT County / Comté",4802011,"Lethbridge County",4802011,"Lethbridge County",MD,"Municipal district","Lethbridge--Medicine Hat",810,"CMA or CA",1,"Census subdivision within census metropolitan area",810,Lethbridge,B,"Census metropolitan area (CMA)",8100100.01,2016
"Redwater Health Centre","4812 58 Street REDWATER, Alberta T0A 2W0",REDWATER,Alberta,"T0A 2W0",Canada,53.948931,-113.124568,1,point,4812,"58th St",,,Redwater,AB,,T0A,CA,"CanVec+ by Natural Resources Canada",48033,"Sturgeon River--Parkland","Sturgeon River--Parkland",4811,"Division No. 11",CDR,"Census division / Division de recensement CT County / Comté",4811059,"Sturgeon County",4811065,Redwater,T,Town,Edmonton,835,"CMA or CA",1,"Census subdivision within census metropolitan area",835,Edmonton,B,"Census metropolitan area (CMA)",8350142.02,2016
"Rimbey Hospital And Care Centre","5228 50 Avenue RIMBEY, Alberta T0C 2J0",RIMBEY,Alberta,"T0C 2J0",Canada,52.639659,-114.250274,1,point,5228,"50th Ave",,,Castor,AB,,T0C,CA,"CanVec+ by Natural Resources Canada",48030,"Red Deer--Lacombe","Red Deer--Lacombe",4808,"Division No.  8",CDR,"Census division / Division de recensement CT County / Comté",4808038,"Ponoka County",4808044,Rimbey,T,Town,"Red Deer",997,Moderate,5,"Census subdivision outside of census metropolitan area/census agglomeration area having moderate metropolitan influence",,,,,,2016
"Rivercrest Care Centre","10104 101 Avenue FORT SASKATCHEWAN, Alberta T8L 2A5","FORT SASKATCHEWAN",Alberta,"T8L 2A5",Canada,53.713169,-113.216059,1,range_interpolation,10104,"101st Ave",,,"Fort Saskatchewan",AB,,T8L,CA,"CanVec+ by Natural Resources Canada",48032,"Sherwood Park--Fort Saskatchewan","Sherwood Park--Fort Saskatchewan",4811,"Division No. 11",CDR,"Census division / Division de recensement CT County / Comté",4811052,"Strathcona County",4811056,"Fort Saskatchewan",CY,City,Edmonton,835,"CMA or CA",1,"Census subdivision within census metropolitan area",835,Edmonton,B,"Census metropolitan area (CMA)",8350111.00,2016
"Riverview Care Centre","603 Prospect Drive SW MEDICINE HAT, Alberta T1A 4C2","MEDICINE HAT",Alberta,"T1A 4C2",Canada,50.036975,-110.701906,1,rooftop,603,"Prospect Dr SW",,,"Medicine Hat",AB,,T1A,CA,"Contains information licensed under the Open Government Licence – Alberta Municipal Data Sharing Partnership (AMDSP)",48027,"Medicine Hat--Cardston--Warner","Medicine Hat--Cardston--Warner",4801,"Division No.  1",CDR,"Census division / Division de recensement CT County / Comté",4801003,"Cypress County",4801006,"Medicine Hat",CY,City,"Lethbridge--Medicine Hat",805,"CMA or CA",2,"Census subdivision within census agglomeration with at least one census tract",805,"Medicine Hat",K,"Census agglomeration (CA) that is tracted",8050010.00,2016
"Sagewood Seniors Community (LTC)","140 Cambridge Glen Drive STRATHMORE, Alberta T1P1N3",STRATHMORE,Alberta," T1P1N3",Canada,51.056424,-113.379384,0.6,street_center,,"Cambridge Glen Dr",,,Strathmore,AB,,T1P,CA,"CanVec+ by Natural Resources Canada",48003,"Bow River","Bow River",4805,"Division No.  5",CDR,"Census division / Division de recensement CT County / Comté",4805012,"Wheatland County",4805018,Strathmore,T,Town,Camrose--Drumheller,826,"CMA or CA",3,"Census subdivision within census agglomeration having no census tracts",826,Strathmore,D,"Census agglomeration (CA) that is not tracted",,2016
"Salem Manor Nursing Home","4419 46 Street LEDUC, Alberta T9E 6L2","LEDUC,",Alberta,"T9E 6L2",Canada,53.25833,-113.542882,1,range_interpolation,4419,"46th St",,,Leduc,AB,,T9E,CA,"CanVec+ by Natural Resources Canada",48021,Edmonton--Wetaskiwin,Edmonton--Wetaskiwin,4811,"Division No. 11",CDR,"Census division / Division de recensement CT County / Comté",4811012,"Leduc County",4811016,Leduc,CY,City,Edmonton,835,"CMA or CA",1,"Census subdivision within census metropolitan area",835,Edmonton,B,"Census metropolitan area (CMA)",8350152.00,2016
"Edmonton Chinatown Care Centre (LTC)","9539 102A Avenue EDMONTON, Alberta T5H 0G2",EDMONTON,Alberta,"T5H 0G2",Canada,53.545515,-113.481517,0.9,rooftop,9539,"102A Ave NW",,,Edmonton,AB,,T5H,CA,"City of Edmonton",48015,"Edmonton Griesbach","Edmonton Griesbach",4811,"Division No. 11",CDR,"Census division / Division de recensement CT County / Comté",4811061,Edmonton,4811061,Edmonton,CY,City,Edmonton,835,"CMA or CA",1,"Census subdivision within census metropolitan area",835,Edmonton,B,"Census metropolitan area (CMA)",8350034.00,2016
"Seton Seniors Community (LTC)","4963 Front Street SE CALGARY, Alberta, T3M 2M3",CALGARY,Alberta,"T3M 2M3",Canada,50.881789,-113.946797,1,rooftop,4963,"Front St SE",,,Calgary,AB,,T3M,CA,"City of Calgary",48011,"Calgary Shepard","Calgary Shepard",4806,"Division No.  6",CDR,"Census division / Division de recensement CT County / Comté",4806016,Calgary,4806016,Calgary,CY,City,Calgary,825,"CMA or CA",1,"Census subdivision within census metropolitan area",825,Calgary,B,"Census metropolitan area (CMA)",8250002.21,2016
"Sherwood Care","2020 Brentwood Boulevard N SHERWOOD PARK, Alberta T8A 0X1","SHERWOOD PARK",Alberta,"T8A 0X1",Canada,53.528491,-113.300626,1,rooftop,2020,"Brentwood Blvd",,,"Sherwood Park",AB,,T8A,CA,"Contains information licensed under the Open Government Licence – Alberta Municipal Data Sharing Partnership (AMDSP)",48032,"Sherwood Park--Fort Saskatchewan","Sherwood Park--Fort Saskatchewan",4811,"Division No. 11",CDR,"Census division / Division de recensement CT County / Comté",4811052,"Strathcona County",4811052,"Strathcona County",SM,"Specialized municipality",Edmonton,835,"CMA or CA",1,"Census subdivision within census metropolitan area",835,Edmonton,B,"Census metropolitan area (CMA)",8350101.01,2016
"Slave Lake Healthcare Centre","309 6 Street NE SLAVE LAKE, Alberta T0G 2A2","SLAVE LAKE",Alberta,"T0G 2A2",Canada,55.283991,-114.76283,1,point,309,"6th St NE",,,"Slave Lake",AB,,T0G,CA,"CanVec+ by Natural Resources Canada",48028,"Peace River--Westlock","Peace River--Westlock",4817,"Division No. 17",CDR,"Census division / Division de recensement CT County / Comté",4817033,"Lesser Slave River No.124",4817029,"Slave Lake",T,Town,"Athabasca--Grande Prairie--Peace River",998,Weak,6,"Census subdivision outside of census metropolitan area/census agglomeration area having weak metropolitan influence",,,,,,2016
"Smoky Lake Continuing Care Centre","4607 52 Avenue SMOKY LAKE, Alberta T0A 3C0","SMOKY LAKE",Alberta,"T0A 3C0",Canada,54.11694,-112.469578,1,range_interpolation,4607,"52nd Ave",,,"Bon Accord",AB,,T0A,CA,"CanVec+ by Natural Resources Canada",48025,Lakeland,Lakeland,4812,"Division No. 12",CDR,"Census division / Division de recensement CT County / Comté",4812022,"Smoky Lake County",4812029,"Smoky Lake",T,Town,"Wood Buffalo--Cold Lake",997,Moderate,5,"Census subdivision outside of census metropolitan area/census agglomeration area having moderate metropolitan influence",,,,,,2016
"South Terrace Continuing Care Centre","5905 112 Street EDMONTON, Alberta T6H 3J4",EDMONTON,Alberta,"T6H 3J4",Canada,53.496103,-113.518582,0.9,rooftop,5905,"112th St NW",,,Edmonton,AB,,T6H,CA,"City of Edmonton",48019,"Edmonton Strathcona","Edmonton Strathcona",4811,"Division No. 11",CDR,"Census division / Division de recensement CT County / Comté",4811061,Edmonton,4811061,Edmonton,CY,City,Edmonton,835,"CMA or CA",1,"Census subdivision within census metropolitan area",835,Edmonton,B,"Census metropolitan area (CMA)",8350003.00,2016
"St. Joseph's Auxiliary Hospital","10707 29 Avenue EDMONTON, Alberta T6J 6W1",EDMONTON,Alberta,"T6J 6W1",Canada,53.459835,-113.506064,0.9,rooftop,10707,"29th Ave NW",,,Edmonton,AB,,T6J,CA,"City of Edmonton",48018,"Edmonton Riverbend","Edmonton Riverbend",4811,"Division No. 11",CDR,"Census division / Division de recensement CT County / Comté",4811061,Edmonton,4811061,Edmonton,CY,City,Edmonton,835,"CMA or CA",1,"Census subdivision within census metropolitan area",835,Edmonton,B,"Census metropolitan area (CMA)",8350001.06,2016
"St. Mary's Health Care Centre","451 Dechauney Avenue TROCHU, Alberta T0M 2C0",TROCHU,Alberta,"T0M 2C0",Canada,51.819916,-113.227305,1,rooftop,451,"Dechauney Ave",,,Trochu,AB,,T0M,CA,"Contains information licensed under the Open Government Licence – Alberta Municipal Data Sharing Partnership (AMDSP)",48002,"Battle River--Crowfoot","Battle River--Crowfoot",4805,"Division No.  5",CDR,"Census division / Division de recensement CT County / Comté",4805041,"Kneehill County",4805049,Trochu,T,Town,Camrose--Drumheller,998,Weak,6,"Census subdivision outside of census metropolitan area/census agglomeration area having weak metropolitan influence",,,,,,2016
"St. Michael's Health Centre","1400 9 Avenue South LETHBRIDGE, Alberta T1J 4V5",LETHBRIDGE,Alberta,"T1J 4V5",Canada,49.685846,-112.822735,1,rooftop,1400,"9th Ave S",,,Lethbridge,AB,,T1J,CA,"City of Lethbridge",48026,Lethbridge,Lethbridge,4802,"Division No.  2",CDR,"Census division / Division de recensement CT County / Comté",4802011,"Lethbridge County",4802012,Lethbridge,CY,City,"Lethbridge--Medicine Hat",810,"CMA or CA",1,"Census subdivision within census metropolitan area",810,Lethbridge,B,"Census metropolitan area (CMA)",8100008.00,2016
"St. Michael's Long Term Care Centre","7404 139 Avenue EDMONTON, Alberta T5C3H7",EDMONTON,Alberta," T5C3H7",Canada,53.60211,-113.456518,0.9,rooftop,7404,"139th Ave NW",,,Edmonton,AB,,T5C,CA,"City of Edmonton",48015,"Edmonton Griesbach","Edmonton Griesbach",4811,"Division No. 11",CDR,"Census division / Division de recensement CT County / Comté",4811061,Edmonton,4811061,Edmonton,CY,City,Edmonton,835,"CMA or CA",1,"Census subdivision within census metropolitan area",835,Edmonton,B,"Census metropolitan area (CMA)",8350076.01,2016
"St. Theresa General Hospital","4506 46 Avenue FORT VERMILION, Alberta T0H 1N0",VERMILION,Alberta,"T0H 1N0",Canada,55.754315,-118.702062,1,range_interpolation,4506,"46th Ave",,,Grimshaw,AB,,T0H,CA,"CanVec+ by Natural Resources Canada",48024,"Grande Prairie--Mackenzie","Grande Prairie--Mackenzie",4819,"Division No. 19",CDR,"Census division / Division de recensement CT County / Comté",4819054,"Spirit River No. 133",4819056,Rycroft,VL,Village,"Athabasca--Grande Prairie--Peace River",997,Moderate,5,"Census subdivision outside of census metropolitan area/census agglomeration area having moderate metropolitan influence",,,,,,2016
"St. Therese - St. Paul Healthcare Centre","4713 48 Avenue ST. PAUL, Alberta T0A 3A3","ST. PAUL",Alberta,"T0A 3A3",Canada,53.948816,-113.10615,1,range_interpolation,4713,"48th Ave",,,"Bon Accord",AB,,T0A,CA,"CanVec+ by Natural Resources Canada",48033,"Sturgeon River--Parkland","Sturgeon River--Parkland",4811,"Division No. 11",CDR,"Census division / Division de recensement CT County / Comté",4811059,"Sturgeon County",4811065,Redwater,T,Town,Edmonton,835,"CMA or CA",1,"Census subdivision within census metropolitan area",835,Edmonton,B,"Census metropolitan area (CMA)",8350142.02,2016
"Stettler Hospital And Care Centre","5912 47 Avenue STETTLER, Alberta T0C 2L0",STETTLER,Alberta,"T0C 2L0",Canada,52.322419,-112.719425,1,range_interpolation,5912,"47th Ave",,,Calmar,AB,,T0C,CA,"CanVec+ by Natural Resources Canada",48002,"Battle River--Crowfoot","Battle River--Crowfoot",4807,"Division No.  7",CDR,"Census division / Division de recensement CT County / Comté",4807019,"Stettler County No. 6",4807026,Stettler,T,Town,Camrose--Drumheller,998,Weak,6,"Census subdivision outside of census metropolitan area/census agglomeration area having weak metropolitan influence",,,,,,2016
"Sundre Hospital And Care Centre","709 1 Street NE SUNDRE, Alberta T0M 1X0",SUNDRE,Alberta,"T0M 1X0",Canada,51.806934,-114.637484,1,point,709,"1st St NE",,,Sundre,AB,,T0M,CA,"CanVec+ by Natural Resources Canada",48029,"Red Deer--Mountain View","Red Deer--Mountain View",4806,"Division No.  6",CDR,"Census division / Division de recensement CT County / Comté",4806028,"Mountain View County",4806036,Sundre,T,Town,Calgary,997,Moderate,5,"Census subdivision outside of census metropolitan area/census agglomeration area having moderate metropolitan influence",,,,,,2016
"Sunnyside Care Centre [South Country Village Campus]               (LTC)","1720 Bell Street SW MEDICINE HAT, Alberta T1A 5G1","MEDICINE HAT",Alberta,"T1A 5G1",Canada,50.024154,-110.72691,1,rooftop,1720,"Bell St SW",,,"Medicine Hat",AB,,T1A,CA,"Contains information licensed under the Open Government Licence – Alberta Municipal Data Sharing Partnership (AMDSP)",48027,"Medicine Hat--Cardston--Warner","Medicine Hat--Cardston--Warner",4801,"Division No.  1",CDR,"Census division / Division de recensement CT County / Comté",4801003,"Cypress County",4801006,"Medicine Hat",CY,City,"Lethbridge--Medicine Hat",805,"CMA or CA",2,"Census subdivision within census agglomeration with at least one census tract",805,"Medicine Hat",K,"Census agglomeration (CA) that is tracted",8050004.00,2016
"Sunrise Village Drayton Valley [Sunrise Village (Drayton) Holdings Ltd.]","3902 47 Street DRAYTON VALLEY, Alberta T7AA02","DRAYTON VALLEY",Alberta," T7AA02",Canada,53.218167,-114.955639,0.7,range_interpolation,3902,"47th Ave",,,"Drayton Valley",AB,,T7A,CA,"CanVec+ by Natural Resources Canada",48034,Yellowhead,Yellowhead,4811,"Division No. 11",CDR,"Census division / Division de recensement CT County / Comté",4811032,"Brazeau County",4811031,"Drayton Valley",T,Town,Edmonton,998,Weak,6,"Census subdivision outside of census metropolitan area/census agglomeration area having weak metropolitan influence",,,,,,2016
"Taber Health Centre","4326 50 Avenue TABER, Alberta T1G 1N9",TABER,Alberta,"T1G 1N9",Canada,49.785827,-112.164477,1,rooftop,4326,"50th Ave",,,Taber,AB,,T1G,CA,"Contains information licensed under the Open Government Licence – Alberta Municipal Data Sharing Partnership (AMDSP)",48003,"Bow River","Bow River",4802,"Division No.  2",CDR,"Census division / Division de recensement CT County / Comté",4802021,Taber,4802022,Taber,T,Town,"Lethbridge--Medicine Hat",997,Moderate,5,"Census subdivision outside of census metropolitan area/census agglomeration area having moderate metropolitan influence",,,,,,2016
"The Dianne And Irving Kipnes Centre For Veterans","4470 McCrae Avenue EDMONTON, Alberta T5E 6M8",EDMONTON,Alberta,"T5E 6M8",Canada,53.613324,-113.513999,0.9,rooftop,4470,"McCrae Ave NW",,,Edmonton,AB,,T5E,CA,"City of Edmonton",48015,"Edmonton Griesbach","Edmonton Griesbach",4811,"Division No. 11",CDR,"Census division / Division de recensement CT County / Comté",4811061,Edmonton,4811061,Edmonton,CY,City,Edmonton,835,"CMA or CA",1,"Census subdivision within census metropolitan area",835,Edmonton,B,"Census metropolitan area (CMA)",8350078.01,2016
"The Valleyview (LTC)","65 Valleyview Drive SW MEDICINE HAT, Alberta T1A 7K5","MEDICINE HAT",Alberta,"T1A 7K5",Canada,50.036033,-110.708418,1,rooftop,65,"Valleyview Dr SW",,,"Medicine Hat",AB,,T1A,CA,"Contains information licensed under the Open Government Licence – Alberta Municipal Data Sharing Partnership (AMDSP)",48027,"Medicine Hat--Cardston--Warner","Medicine Hat--Cardston--Warner",4801,"Division No.  1",CDR,"Census division / Division de recensement CT County / Comté",4801003,"Cypress County",4801006,"Medicine Hat",CY,City,"Lethbridge--Medicine Hat",805,"CMA or CA",2,"Census subdivision within census agglomeration with at least one census tract",805,"Medicine Hat",K,"Census agglomeration (CA) that is tracted",8050010.00,2016
"Three Hills Health Centre","1504 2 Street North THREE HILLS, Alberta T0M 2A0","THREE HILLS",Alberta,"T0M 2A0",Canada,51.70714,-113.252079,1,point,1504,"2nd St N",,,"Three Hills",AB,,T0M,CA,"CanVec+ by Natural Resources Canada",48002,"Battle River--Crowfoot","Battle River--Crowfoot",4805,"Division No.  5",CDR,"Census division / Division de recensement CT County / Comté",4805041,"Kneehill County",4805048,"Three Hills",T,Town,Camrose--Drumheller,998,Weak,6,"Census subdivision outside of census metropolitan area/census agglomeration area having weak metropolitan influence",,,,,,2016
"Tofield Health Centre","5543 44 Street Box 1200 TOFIELD, Alberta T0B 4J0",TOFIELD,Alberta,"T0B 4J0",Canada,53.765378,-112.770194,1,range_interpolation,5543,"44th St",,,Provost,AB,,T0B,CA,"CanVec+ by Natural Resources Canada",48025,Lakeland,Lakeland,4810,"Division No. 10",CDR,"Census division / Division de recensement CT County / Comté",4810058,"Lamont County",4810064,Lamont,T,Town,Camrose--Drumheller,996,Strong,4,"Census subdivision outside of census metropolitan area/census agglomeration area having strong metropolitan influence",,,,,,2016
"Touchmark At Wedgewood","18333 Lessard Road EDMONTON, Alberta T6M 2Y5",EDMONTON,Alberta,"T6M 2Y5",Canada,53.483707,-113.642785,0.9,rooftop,18333,"Lessard Rd NW",,,Edmonton,AB,,T6M,CA,"City of Edmonton",48020,Edmonton-Ouest,"Edmonton West",4811,"Division No. 11",CDR,"Census division / Division de recensement CT County / Comté",4811061,Edmonton,4811061,Edmonton,CY,City,Edmonton,835,"CMA or CA",1,"Census subdivision within census metropolitan area",835,Edmonton,B,"Census metropolitan area (CMA)",8350006.18,2016
"Two Hills Health Centre","4401 53 Avenue TWO HILLS, Alberta T0B 4K0","TWO HILLS",Alberta,"T0B 4K0",Canada,53.71332,-111.734187,1,point,4401,"53rd Ave",,,Irma,AB,,T0B,CA,"CanVec+ by Natural Resources Canada",48025,Lakeland,Lakeland,4810,"Division No. 10",CDR,"Census division / Division de recensement CT County / Comté",4810048,"Two Hills County No. 21",4810052,"Two Hills",T,Town,Camrose--Drumheller,998,Weak,6,"Census subdivision outside of census metropolitan area/census agglomeration area having weak metropolitan influence",,,,,,2016
"Valleyview Health Centre","4802 Highway Street East VALLEYVIEW, Alberta T0H3N0",VALLEYVIEW,Alberta," T0H3N0",Canada,55.067828,-117.296647,0.52,street_center,,"Highway St W",,,"Greenview No. 16, M.d. Of",AB,,T0H,CA,"CanVec+ by Natural Resources Canada",48028,"Peace River--Westlock","Peace River--Westlock",4818,"Division No. 18",CDR,"Census division / Division de recensement CT County / Comté",4818015,"Greenview No. 16",4818015,"Greenview No. 16",MD,"Municipal district","Athabasca--Grande Prairie--Peace River",997,Moderate,5,"Census subdivision outside of census metropolitan area/census agglomeration area having moderate metropolitan influence",,,,,,2016
"Vegreville Care Centre","4525 50 Street VEGREVILLE, Alberta T9A0A1",VEGREVILLE,Alberta," T9A0A1",Canada,53.491521,-112.05698,0.8,range_interpolation,4525,"50th St",,,Vegreville,AB,,T9C,CA,"CanVec+ by Natural Resources Canada",48025,Lakeland,Lakeland,4810,"Division No. 10",CDR,"Census division / Division de recensement CT County / Comté",4810026,"Minburn County No. 27",4810028,Vegreville,T,Town,Camrose--Drumheller,997,Moderate,5,"Census subdivision outside of census metropolitan area/census agglomeration area having moderate metropolitan influence",,,,,,2016
"Venta Care Centre","13525 102 Street EDMONTON, Alberta T5E 4K3",EDMONTON,Alberta,"T5E 4K3",Canada,53.597615,-113.494607,0.9,rooftop,13525,"102nd St NW",,,Edmonton,AB,,T5E,CA,"City of Edmonton",48015,"Edmonton Griesbach","Edmonton Griesbach",4811,"Division No. 11",CDR,"Census division / Division de recensement CT County / Comté",4811061,Edmonton,4811061,Edmonton,CY,City,Edmonton,835,"CMA or CA",1,"Census subdivision within census metropolitan area",835,Edmonton,B,"Census metropolitan area (CMA)",8350068.02,2016
"Vermilion Health Centre","5720 50 Avenue VERMILION, Alberta T9X 1K7",VERMILION,Alberta,"T9X 1K7",Canada,53.354635,-110.871011,1,range_interpolation,5720,"50th Ave",,,Connolly,AB,,T9X,CA,"CanVec+ by Natural Resources Canada",48025,Lakeland,Lakeland,4810,"Division No. 10",CDR,"Census division / Division de recensement CT County / Comté",4810036,"Vermilion River County",4810042,Vermilion,T,Town,Camrose--Drumheller,997,Moderate,5,"Census subdivision outside of census metropolitan area/census agglomeration area having moderate metropolitan influence",,,,,,2016
"Vulcan Community Health Centre","610 Elizabeth Street S VULCAN, Alberta T0L 2B0",VULCAN,Alberta,"T0L 2B0",Canada,50.396763,-113.257322,1,rooftop,610,"Elizabeth St",,,Vulcan,AB,,T0L,CA,"Contains information licensed under the Open Government Licence – Alberta Municipal Data Sharing Partnership (AMDSP)",48003,"Bow River","Bow River",4805,"Division No.  5",CDR,"Census division / Division de recensement CT County / Comté",4805001,"Vulcan County",4805006,Vulcan,T,Town,Camrose--Drumheller,997,Moderate,5,"Census subdivision outside of census metropolitan area/census agglomeration area having moderate metropolitan influence",,,,,,2016
"Wainwright Health Centre","530 6 Avenue WAINWRIGHT, Alberta T9W 1R6",WAINWRIGHT,Alberta,"T9W 1R6",Canada,52.840468,-110.866525,1,range_interpolation,530,"6th Ave",,,Wainwright,AB,,T9W,CA,"CanVec+ by Natural Resources Canada",48002,"Battle River--Crowfoot","Battle River--Crowfoot",4807,"Division No.  7",CDR,"Census division / Division de recensement CT County / Comté",4807049,"Wainwright No. 61",4807054,Wainwright,T,Town,Camrose--Drumheller,998,Weak,6,"Census subdivision outside of census metropolitan area/census agglomeration area having weak metropolitan influence",,,,,,2016
"Walden Heights Seniors Community (LTC)","250 Walden Drive SE CALGARY, Alberta T2X 0V1",CALGARY,Alberta,"T2X 0V1",Canada,50.873951,-114.036913,1,rooftop,250,"Walden Dr SE",,,Calgary,AB,,T2X,CA,"City of Calgary",48008,"Calgary Midnapore","Calgary Midnapore",4806,"Division No.  6",CDR,"Census division / Division de recensement CT County / Comté",4806016,Calgary,4806016,Calgary,CY,City,Calgary,825,"CMA or CA",1,"Census subdivision within census metropolitan area",825,Calgary,B,"Census metropolitan area (CMA)",8250001.34,2016
"Wentworth Manor ‚Äö√Ñ√¨ The Court (LTC)","5717 14 Avenue SW CALGARY, Alberta T3H3M2",CALGARY,Alberta," T3H3M2",Canada,51.03968,-114.170208,1,rooftop,5717,"14th Ave SW",,,Calgary,AB,,T3H,CA,"City of Calgary",48012,"Calgary Signal Hill","Calgary Signal Hill",4806,"Division No.  6",CDR,"Census division / Division de recensement CT County / Comté",4806016,Calgary,4806016,Calgary,CY,City,Calgary,825,"CMA or CA",1,"Census subdivision within census metropolitan area",825,Calgary,B,"Census metropolitan area (CMA)",8250049.02,2016
"Westlock Healthcare Centre [Westlock Continuing Care Centre]","10220 93 Street WESTLOCK, Alberta T7P2G4",WESTLOCK,Alberta," T7P2G4",Canada,54.14633,-113.851115,1,point,10220,"93rd St",,,Westlock,AB,,T7P,CA,"CanVec+ by Natural Resources Canada",48028,"Peace River--Westlock","Peace River--Westlock",4813,"Division No. 13",CDR,"Census division / Division de recensement CT County / Comté",4813028,"Westlock County",4813031,Westlock,T,Town,"Athabasca--Grande Prairie--Peace River",997,Moderate,5,"Census subdivision outside of census metropolitan area/census agglomeration area having moderate metropolitan influence",,,,,,2016
"Westview Care Community","700 Nursing Home Road LINDEN, Alberta T0M 1J0",LINDEN,Alberta,"T0M 1J0",Canada,51.591042,-113.489125,0.27,place,,,,,Linden,AB,,T0M,CA,"CanVec+ by Natural Resources Canada",48003,"Bow River","Bow River",4805,"Division No.  5",CDR,"Census division / Division de recensement CT County / Comté",4805041,"Kneehill County",4805046,Linden,VL,Village,Camrose--Drumheller,997,Moderate,5,"Census subdivision outside of census metropolitan area/census agglomeration area having moderate metropolitan influence",,,,,,2016
"Westview Health Centre - Stony Plain","4405 Southpark Drive STONY PLAIN, Alberta T7Z2M7","STONY PLAIN",Alberta," T7Z2M7",Canada,53.528986,-114.004873,0.27,place,,,,,"Stony Plain",AB,,T7Z,CA,"CanVec+ by Natural Resources Canada",48033,"Sturgeon River--Parkland","Sturgeon River--Parkland",4811,"Division No. 11",CDR,"Census division / Division de recensement CT County / Comté",4811034,"Parkland County",4811048,"Stony Plain",T,Town,Edmonton,835,"CMA or CA",1,"Census subdivision within census metropolitan area",835,Edmonton,B,"Census metropolitan area (CMA)",8350163.03,2016
"Wetaskiwin Hospital and Care Centre","6910 47 Street WETASKIWIN, Alberta T9A3N3",WETASKIWIN,Alberta," T9A3N3",Canada,52.984449,-113.366107,1,point,6910,"47th St",,,Wetaskiwin,AB,,T9A,CA,"CanVec+ by Natural Resources Canada",48021,Edmonton--Wetaskiwin,Edmonton--Wetaskiwin,4811,"Division No. 11",CDR,"Census division / Division de recensement CT County / Comté",4811001,"Wetaskiwin County No. 10",4811002,Wetaskiwin,CY,City,Edmonton,865,"CMA or CA",3,"Census subdivision within census agglomeration having no census tracts",865,Wetaskiwin,D,"Census agglomeration (CA) that is not tracted",,2016
"William J. Cadzow - Lac La Biche Healthcare Centre","9110 93 Street LAC LA BICHE, Alberta T0A 2C0","LAC LA BICHE",Alberta,"T0A 2C0",Canada,54.764379,-111.965086,1,rooftop,9110,"93rd St",,,"Lac La Biche",AB,,T0A,CA,"Contains information licensed under the Open Government Licence – Alberta Municipal Data Sharing Partnership (AMDSP)",48023,"Fort McMurray--Cold Lake","Fort McMurray--Cold Lake",4812,"Division No. 12",CDR,"Census division / Division de recensement CT County / Comté",4812037,"Lac la Biche County",4812037,"Lac la Biche County",MD,"Municipal district","Wood Buffalo--Cold Lake",997,Moderate,5,"Census subdivision outside of census metropolitan area/census agglomeration area having moderate metropolitan influence",,,,,,2016
"Willow Creek Continuing Care Centre","4221 8 Street West CLARESHOLM, Alberta T0L 0T0",CLARESHOLM,Alberta,"T0L 0T0",Canada,50.018138,-113.596307,1,rooftop,4221,"8th St W",,,Claresholm,AB,,T0L,CA,"Contains information licensed under the Open Government Licence – Alberta Municipal Data Sharing Partnership (AMDSP)",48022,Foothills,Foothills,4803,"Division No.  3",CDR,"Census division / Division de recensement CT County / Comté",4803018,"Willow Creek No. 26",4803022,Claresholm,T,Town,"Lethbridge--Medicine Hat",997,Moderate,5,"Census subdivision outside of census metropolitan area/census agglomeration area having moderate metropolitan influence",,,,,,2016
"Wing Kei Care Centre","1212 Centre Street NE CALGARY, Alberta T2E 2R4",CALGARY,Alberta,"T2E 2R4",Canada,51.062553,-114.061703,1,rooftop,1212,"Centre St NE",,,Calgary,AB,,T2E,CA,"City of Calgary",48005,"Calgary Confederation","Calgary Confederation",4806,"Division No.  6",CDR,"Census division / Division de recensement CT County / Comté",4806016,Calgary,4806016,Calgary,CY,City,Calgary,825,"CMA or CA",1,"Census subdivision within census metropolitan area",825,Calgary,B,"Census metropolitan area (CMA)",8250059.00,2016
