facility_name,Number of dead,HCC_CODE,HLTH_AUTH,STREET_ADDRESS,CITY,POSTAL,PHONE,OPEN_DATE,COUNCIL,ACCRED_STATUS,BEDS_PRIVATE,BEDS_PUBLIC,BEDS_TOTAL,ROOMS_PRIVATE,ROOMS_SEMI,ROOMS_MULTI,COMPLAINTS,SUB_COMPLAINTS,INCIDENT_OUTBREAK,INCIDENT_ABUSE,INCIDENT_FALL,INCIDENT_POISON,INCIDENT_MEDICATION,INCIDENT_WANDERING,INCIDENT_INJURY,INCIDENT_AGGRESSION,INCIDENT_OUTBREAK_100,INCIDENT_ABUSE_100,INCIDENT_FALL_100,INCIDENT_POISON_100,INCIDENT_MEDICATION_100,INCIDENT_WANDERING_100,INCIDENT_INJURY_100,INCIDENT_AGGRESSION_100,AGE,FEMALE,AGE_85_PLUS,AGE_UNDER_65,STAY_LENGTH,DEPRESSION,ADL_DEPENDENT,CPS_SEVERE,DEMENTIA,ABS_PHYS_ABUSIVE,ISE,ISE_LOW,CMI,THERAPY_PT,THERAPY_RT,THERAPY_OT,MEDS_DEPRESSION,MEDS_ANTIPSYCHOTICS,RESTRAINTS,INSPECTIONS,INFRACTIONS,INFRACTIONS_LICENSING,INFRACTIONS_FACILITY,INFRACTIONS_STAFFING,INFRACTIONS_POLICY,INFRACTIONS_CARE,INFRACTIONS_DISEASE,INFRACTIONS_FOOD,INFRACTIONS_MEDICATION,INFRACTIONS_PROGRAM,INFRACTIONS_REPORTING,INFRACTIONS_RIGHTS,INFRACTIONS_OTHER,outbreak_status,location,point,latitude,longitude,residents_council,family_council,accreditation,home_type,years_operating,LONGITUDE,LATITUDE
rotary manor,0.0,9976D,Northern Health,1121 90th Avenue,Dawson Creek,V1G5A3,(250) 719-3480,2002,Resident Council,Accredited,0.0,115.0,115.0,115.0,0.0,0.0,0,0,1,0,9,0,0,0,3,0,0.9,0,7.8,0,0,0,2.6,0,82,0.607,0.494,0.089,1051,0.214,0.265,0.231,0.612,0.078,3.6,0.316,0.56,0.095,0,0,0.418,0.397,0.186,2.0,4.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,no,,,,,yes,no,yes,health_authority,18.0,-120.2357358,55.772960100000006
royal ascot care centre,0.0,917JC,Vancouver Coastal Health,2455 East Broadway,Vancouver,V5M1Y1,(604) 254-5559,1995,"Resident Council, Family Council",Not Accredited,2.0,80.0,82.0,64.0,9.0,0.0,1,0,1,0,9,0,0,2,1,1,1.2,0,11,0,0,2.4,1.2,1.2,85,0.745,0.607,0.034,708,0.366,0.315,0.327,0.685,0.065,3.1,0.372,0.56,0.003,0,0.03,0.548,0.093,0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,no,"Royal Ascot Care Centre, 2455, East Broadway, Grandview-Woodland, Vancouver, Metro Vancouver Regional District, British Columbia, V5M, Canada","(49.26239535, -123.0555417, 0.0)",49.26239535,-123.0555417,yes,yes,no,for-profit,25.0,-123.0555417,49.26239535
royal city manor,0.0,91JJ3,Fraser Health,77 Jamieson Court,New Westminster,V3L5P8,(604) 522-6699,1999,Resident & Family Council (combined),Accredited,115.0,50.0,165.0,125.0,21.0,0.0,6,2,0,1,10,0,0,1,2,0,0,0.6,6.1,0,0,0.6,1.2,0,85,0.581,0.622,0.041,643,0.314,0.231,0.205,0.733,0.052,2.6,0.492,0.58,0.05,0.14,0,0.353,0.1,0,12.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,no,"Royal City Manor, 77, Jamieson Court, Victory Heights, Queens Park, New Westminster, Metro Vancouver Regional District, British Columbia, V3L 5P5, Canada","(49.2153353, -122.89483537016255, 0.0)",49.21533529999999,-122.89483537016257,yes,yes,yes,for-profit,21.0,-122.8951618,49.2153153
saanich peninsula hospital residential care,0.0,9A6B8,Vancouver Island Health,2166 Mt Newton X Rd,Saanichton,V8M2B2,(250) 544-7676,1972,"Resident Council, Family Council",Accredited,0.0,143.0,143.0,17.0,10.0,116.0,0,0,,,,,,,,,,,,,,,,,87,0.716,0.693,0.011,751,0.151,0.427,0.341,0.628,0.009,2.9,0.453,0.6,0.19,0.776,0.338,0.464,0.125,0.073,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,,,,,yes,yes,yes,health_authority,48.0,,
selkirk seniors village,0.0,93570,Vancouver Island Health,385 Waterfront Crescent,Victoria,V8T5K7,(250) 940-1028,2008,"Resident Council, Family Council",Accredited,32.0,185.0,217.0,195.0,11.0,0.0,6,3,0,0,25,0,0,4,5,9,0,0,11.5,0,0,1.8,2.3,4.1,84,0.584,0.611,0.052,851,0.142,0.212,0.257,0.44,0.123,3,0.406,0.56,0.001,0.001,0,0.487,0.329,0.141,12.0,11.0,1.0,3.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,no,"385, Waterfront Crescent, Burnside, Victoria, Capital Regional District, British Columbia, V8T 5K3, Canada","(48.4421852, -123.3783981, 0.0)",48.442185200000004,-123.3783981,yes,yes,yes,for-profit,12.0,-123.3783981,48.442185200000004
shorncliffe,0.0,9AHA5,Vancouver Coastal Health,5847 Medusa Street,Sechelt,V0N3A0,(604) 885-5126,1983,"Resident Council, Family Council",Accredited,0.0,59.0,59.0,59.0,0.0,0.0,0,0,0,0,2,0,0,0,0,0,0,0,3.4,0,0,0,0,0,83,0.596,0.528,0.02,782,0.151,0.301,0.429,0.676,0.037,2.7,0.466,0.53,0,0.059,0.027,0.411,0.369,0.065,2.0,10.0,0.0,2.0,0.0,2.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,no,"5847, Medusa Street, Sechelt, Sunshine Coast Regional District, British Columbia, V0N 3A0, Canada","(49.4749397, -123.7668569, 0.0)",49.47493970000001,-123.76685690000001,yes,yes,yes,health_authority,37.0,-123.7489277,49.4744395
sidney care home,0.0,9BHDB,Vancouver Island Health,9888 Fifth St.,Sidney,V8L2X3,(250) 656-0121,1960,Family Council,Unknown,0.0,54.0,54.0,44.0,5.0,0.0,0,0,0,0,4,1,0,3,0,0,0,0,7.4,1.9,0,5.6,0,0,87,0.79,0.724,0.025,797,0.241,0.268,0.344,0.585,0.022,1.3,0.866,0.57,0.004,0,0,0.518,0.06,0.011,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,"9888, Fifth Street, Sidney, Capital Regional District, British Columbia, V8L 2Z5, Canada","(48.65135092508934, -123.40040332363377, 0.0)",48.65135092508934,-123.40040332363377,no,yes,unknown,for-profit,60.0,-123.4010229,48.6512125
silver kettle village,0.0,93CIA,Interior Health,2350 72nd Avenue,Grand Forks,V0H1H4,(250) 442-0667,2012,"Resident Council, Family Council",Unknown,2.0,40.0,42.0,42.0,0.0,0.0,0,0,0,1,2,0,0,0,0,0,0,2.4,4.8,0,0,0,0,0,81,0.672,0.45,0.083,557,0.126,0.155,0.213,0.638,0.006,3.4,0.293,0.51,0.052,0.586,0.017,0.483,0.255,0.016,1.0,4.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,no,"72nd Avenue, Grand Forks, Regional District of Kootenay Boundary, British Columbia, V0H 1H9, Canada","(49.030082, -118.4425821, 0.0)",49.030082,-118.4425821,yes,yes,unknown,for-profit,8.0,-118.4425821,49.030082
simon fraser lodge,0.0,9B65F,Northern Health,2410 Laurier Cres.,Prince George,V2M2B3,(250) 563-3413,1986,"Resident Council, Family Council",Accredited,0.0,130.0,130.0,130.0,0.0,0.0,,,2,0,4,0,0,1,1,2,1.5,0,3.1,0,0,0.8,0.8,1.5,82,0.607,0.435,0.056,1049,0.225,0.181,0.308,0.654,0.165,2.9,0.44,0.52,0,0.016,0,0.5,0.274,0.089,1.0,7.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,no,"2410, Laurier Crescent, College Heights, Prince George, Regional District of Fraser-Fort George, British Columbia, V2L 2Z1, Canada","(53.9153784, -122.7642509, 0.0)",53.9153784,-122.76425090000001,yes,yes,yes,for-profit,34.0,-122.76425090000001,53.9153784
simon k.y. lee seniors care home,0.0,926I0,Vancouver Coastal Health,555 Carrall Street,Vancouver,V6B2J8,(604) 608-8800,2001,"Resident Council, Family Council",Unknown,4.0,110.0,114.0,104.0,5.0,0.0,2,1,0,0,6,0,1,0,2,1,0,0,5.3,0,0.9,0,1.8,0.9,88,0.708,0.729,0.025,1594,0.18,0.367,0.228,0.672,0.104,3.1,0.37,0.55,0.167,0.002,0.007,0.33,0.208,0.065,6.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,no,"Carrall Street, Chinatown, Vancouver, Metro Vancouver Regional District, British Columbia, V6B 6E3, Canada","(49.2814788, -123.1043333, 0.0)",49.281478799999995,-123.1043333,yes,yes,unknown,non-profit,19.0,-123.10484869999999,49.2797458
slocan community health centre - the pavillion,0.0,98G52,Interior Health,401 Galena Ave,New Denver,V0G1S0,(250) 358-7911,1979,"Resident Council, Family Council",Accredited,0.0,28.0,28.0,6.0,20.0,0.0,0,0,0,0,2,0,0,0,1,0,0,0,7.1,0,0,0,3.6,0,87,0.641,0.627,0.026,510,0.157,0.259,0.102,0.648,0.028,4.1,0.25,0.55,0.315,0,0.102,0.491,0.157,0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,no,"Galena Avenue, New Denver, Regional District of Central Kootenay, British Columbia, V0G 1S0, Canada","(49.9843977, -117.3754623, 0.0)",49.9843977,-117.3754623,yes,yes,yes,health_authority,41.0,-117.37409240000001,49.9842253
sluggett house,0.0,9373A,Vancouver Island Health,1336 Marchant Rd.,Brentwood Bay,V8M1G5,(250) 544-0925,2009,Resident & Family Council (combined),Accredited,0.0,16.0,16.0,16.0,0.0,0.0,0,0,0,0,5,0,0,0,1,0,0,0,31.3,0,0,0,6.3,0,83,0.549,0.606,0.028,519,0.062,0,0.077,0.892,0.015,3.4,0.277,0.46,0,0,0,0.308,0.099,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,"Marchant Road, Brentwood Bay, Central Saanich, Capital Regional District, British Columbia, V8M 1P8, Canada","(48.5724714, -123.4515615, 0.0)",48.5724714,-123.4515615,yes,yes,yes,non-profit,11.0,-123.4431413,48.5726658
spring valley seniors community,0.0,990F2,Interior Health,355 Terai Court,Kelowna,V1X5X6,(250) 979-6000,1979,"Resident Council, Family Council",Unknown,1.0,150.0,151.0,114.0,8.0,0.0,3,1,1,1,20,0,0,4,9,4,0.7,0.7,13.2,0,0,2.6,6,2.6,86,0.615,0.627,0.046,675,0.242,0.217,0.221,0.695,0.109,2.9,0.422,0.56,0.003,0.272,0.104,0.433,0.234,0.038,3.0,9.0,2.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,no,"355, Terai Court, Rutland, Dilworth Mountain, Kelowna, Regional District of Central Okanagan, British Columbia, V1X 4J2, Canada","(49.8855029, -119.416278, 0.0)",49.8855029,-119.416278,yes,yes,unknown,for-profit,41.0,-119.41712220000001,49.88520870000001
st. jude's anglican home,0.0,999GE,Vancouver Coastal Health,810 West 27th Avenue,Vancouver,V5Z2G7,(604) 874-3200,1979,"Resident Council, Family Council",Not Accredited,2.0,53.0,55.0,45.0,5.0,0.0,0,0,1,0,3,0,0,0,0,1,1.8,0,5.5,0,0,0,0,1.8,85,0.831,0.629,0.024,638,0.313,0.455,0.429,0.71,0.147,2.8,0.478,0.58,0,0.844,0.009,0.478,0.395,0.108,3.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,no,"West 27th Avenue, Shaughnessy, Vancouver, Metro Vancouver Regional District, British Columbia, V6H, Canada","(49.2472831, -123.1305988, 0.0)",49.2472831,-123.13059879999999,yes,yes,no,non-profit,41.0,-123.12273259999999,49.2468877
st. michael's centre,0.0,9A9FB,Fraser Health,7451 Sussex Avenue,Burnaby,V5J5C2,(604)-434-1323,1981,Resident & Family Council (combined),Not Accredited,0.0,144.0,144.0,20.0,36.0,9.0,2,0,0,2,6,0,0,1,0,0,0,1.4,4.2,0,0,0.7,0,0,84,0.635,0.538,0.03,603,0.169,0.41,0.235,0.594,0.077,2,0.646,0.63,0.008,0.433,0.185,0.456,0.171,0.153,7.0,5.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,no,"7451, Sussex Avenue, Fairways at Nelson, South Slope, Burnaby, Metro Vancouver Regional District, British Columbia, V5J 5C2, Canada","(49.2157228, -123.0052424, 0.0)",49.215722799999995,-123.00524240000001,yes,yes,no,non-profit,39.0,-123.00524240000001,49.215722799999995
st. vincent's - brock fahrni pavilion,0.0,9A587,Vancouver Coastal Health,4650 Oak St.,Vancouver,V6H4J4,(604) 806-9710,1980,Resident Council,Accredited,0.0,148.0,148.0,12.0,8.0,30.0,0,0,0,0,5,0,0,0,0,1,0,0,3.4,0,0,0,0,0.7,83,0.328,0.551,0.089,741,0.257,0.345,0.304,0.532,0.049,2,0.687,0.59,0.014,0.002,0.007,0.369,0.165,0.027,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,no,"Brock Fahrni Pavillion, 4650, Oak Street, South Cambie, Vancouver, Metro Vancouver Regional District, British Columbia, V6H 4J4","(49.2432438, -123.12301099560094, 0.0)",49.243243799999995,-123.12301099560094,yes,no,yes,non-profit,40.0,-123.12759409999998,49.2436354
st. vincent's - langara,0.0,9C05H,Vancouver Coastal Health,255 W 62nd Ave,Vancouver,V5X4V4,(604) 325-4116,1991,"Resident Council, Family Council",Accredited,0.0,197.0,197.0,17.0,8.0,41.0,0,0,1,0,12,0,1,4,0,3,0.5,0,6.1,0,0.5,2,0,1.5,85,0.751,0.56,0.045,1002,0.212,0.405,0.376,0.557,0.046,2.2,0.62,0.61,0.125,0.043,0.063,0.318,0.162,0.039,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,no,"St. Vincent's Hospital Langara, 255, West 62nd Avenue, Sunset, Vancouver, Metro Vancouver Regional District, British Columbia, V5X, Canada","(49.2147869, -123.11081877119537, 0.0)",49.2147869,-123.11081877119535,yes,yes,yes,non-profit,29.0,-123.11081877119535,49.2147869
stanford seniors village,0.0,93590,Vancouver Island Health,250 Craig St,Parksville,V9P0A7,(250) 951-0811,2008,"Resident Council, Family Council",Accredited,21.0,161.0,182.0,172.0,5.0,0.0,18,8,1,2,25,0,2,12,4,4,0.5,1.1,13.7,0,1.1,6.6,2.2,2.2,84,0.558,0.581,0.066,786,0.269,0.217,0.228,0.513,0.081,3,0.402,0.56,0.124,0.113,0.033,0.515,0.362,0.049,15.0,6.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,no,"Craig Street, Parksville, Regional District of Nanaimo, British Columbia, V9P 2H3, Canada","(49.3084133, -124.3124394, 0.0)",49.3084133,-124.3124394,yes,yes,yes,for-profit,12.0,-124.3124394,49.3084133
stuart lake hospital,0.0,928GA,Northern Health,600 Stuart Drive E,Fort St. James,V0J1P0,(250) 996-8201,1972,No Councils,Accredited,0.0,6.0,6.0,6.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0.652,0.739,0,,0.188,0,0.375,0.25,0,3.1,0.25,0.48,0,0,0,0.125,0.055,0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,no,"Stuart Lake General Hospital, 600, Stuart Drive East, Fort St. James, Regional District of Bulkley-Nechako, British Columbia, V0J 1P0, Canada","(54.440323750000005, -124.24202536775226, 0.0)",54.44032375000001,-124.24202536775226,no,no,yes,health_authority,48.0,-124.24202536775226,54.44032375000001
stuart nechako manor,0.0,997BF,Northern Health,3277 Hospital Road,Vanderhoof,V0J3A2,(250) 567-2013,2005,Resident & Family Council (combined),Accredited,0.0,53.0,53.0,45.0,4.0,0.0,1,1,0,1,5,0,0,6,3,0,0,1.9,9.4,0,0,11.3,5.7,0,79,0.571,0.355,0.147,1848,0.269,0.241,0.386,0.6,0.138,2.7,0.503,0.57,0.007,0.124,0.021,0.745,0.359,0.066,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,"Hospital Road, Vanderhoof, Regional District of Bulkley-Nechako, British Columbia, V0J 3A1, Canada","(54.0309663, -124.0092796, 0.0)",54.030966299999996,-124.00927959999999,yes,yes,yes,health_authority,15.0,-124.00927959999999,54.030966299999996
summerland seniors village,0.0,92HB0,Interior Health,12803 Atkinson Road,Summerland,V0H1Z4,(250) 404-4400,2006,"Resident Council, Family Council",Accredited,37.0,75.0,112.0,105.0,0.0,0.0,3,5,3,1,17,0,1,2,3,0,2.7,0.9,15.2,0,0.9,1.8,2.7,0,87,0.694,0.723,0.013,855,0.136,0.293,0.339,0.886,0.154,2.9,0.386,0.56,0.004,0.561,0.036,0.518,0.404,0.04,7.0,22.0,6.0,1.0,5.0,2.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,no,"Atkinson Road, Summerland, Regional District of Okanagan-Similkameen, British Columbia, V0H 1Z0, Canada","(49.601395, -119.6698685, 0.0)",49.601395000000004,-119.6698685,yes,yes,yes,for-profit,14.0,-119.66879180000001,49.600055499999996
sun pointe village,0.0,92450,Interior Health,700 Rutland Road N,Kelowna,V1X7W8,(250) 491-1400,2000,"Resident Council, Family Council",Unknown,0.0,100.0,100.0,100.0,0.0,0.0,0,0,2,3,8,1,0,3,5,0,2,3,8,1,0,3,5,0,84,0.691,0.562,0.06,984,0.359,0.304,0.452,0.847,0.104,2.3,0.521,0.57,0,0.468,0.022,0.614,0.257,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,"700, Rutland Road North, Rutland, Kelowna, Regional District of Central Okanagan, British Columbia, V1X 2M9, Canada","(49.8958819, -119.3870785, 0.0)",49.8958819,-119.38707849999999,yes,yes,unknown,non-profit,20.0,-119.38782450000001,49.8962631
suncreek village,0.0,9370A,Fraser Health,13687 62nd Avenue,Surrey,V3X0B5,(604) 591-5177,2009,"Resident Council, Family Council",Unknown,14.0,120.0,134.0,120.0,0.0,0.0,1,0,0,1,12,0,0,1,4,0,0,0.7,9,0,0,0.7,3,0,82,0.65,0.501,0.098,849,0.2,0.462,0.349,0.598,0.103,1.5,0.756,0.59,0.506,0.554,0.044,0.526,0.353,0.014,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,no,,,,,yes,yes,unknown,for-profit,11.0,-122.84282209999999,49.115637299999996
sunnybank retirement home,0.0,98IDJ,Interior Health,6553 Park Drive,Oliver,V0H1T0,(250) 498-4951,1979,Resident & Family Council (combined),Accredited,0.0,51.0,51.0,51.0,0.0,0.0,0,0,1,0,10,0,0,0,2,0,2,0,19.6,0,0,0,3.9,0,88,0.588,0.746,0.038,565,0.29,0.241,0.173,0.549,0.031,2.5,0.475,0.57,0.228,0.352,0.068,0.346,0.21,0.051,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,no,"Sunnybank Centre, 6553, Park Drive, Oliver, Regional District of Okanagan-Similkameen, British Columbia, V0H 1T0, Canada","(49.18796645, -119.53956620008628, 0.0)",49.18796645,-119.53956620008628,yes,yes,yes,health_authority,41.0,-119.5401017,49.187837
sunridge place seniors community,0.0,93580,Vancouver Island Health,361 Bundock Ave,Duncan,V9L3P1,(250) 748-8048,2008,"Resident Council, Family Council",Not Accredited,0.0,160.0,160.0,160.0,0.0,0.0,19,9,1,0,28,0,0,0,5,7,0.6,0,17.5,0,0,0,3.1,4.4,82,0.605,0.472,0.091,1228,0.16,0.206,0.259,0.709,0.091,2.6,0.495,0.55,0.014,0.003,0.064,0.614,0.262,0.022,5.0,10.0,0.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,no,"Bundock Avenue, Duncan, Cowichan Valley Regional District, British Columbia, V9L 3R6, Canada","(48.7787315, -123.696975, 0.0)",48.7787315,-123.696975,yes,yes,no,for-profit,12.0,-123.6975203,48.7777429
sunset lodge,0.0,99ICF,Vancouver Island Health,952 Arm Street,Esquimalt,V9A4G7,(250) 385-3422,1979,"Resident Council, Family Council",Accredited,0.0,108.0,108.0,108.0,0.0,0.0,10,1,1,3,15,0,0,6,3,2,0.9,2.8,13.9,0,0,5.6,2.8,1.9,83,0.592,0.52,0.064,862,0.28,0.32,0.458,0.659,0.089,2,0.631,0.55,0.019,0.016,0.007,0.661,0.433,0.024,6.0,9.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,no,,,,,yes,yes,yes,non-profit,41.0,,
swan valley lodge,0.0,98F21,Interior Health,818 Vancouver St,Creston,V0B1G4,(250) 428-2283,1995,"Resident Council, Family Council",Accredited,0.0,90.0,90.0,90.0,0.0,0.0,0,0,0,0,4,0,2,4,1,0,0,0,4.4,0,2.2,4.4,1.1,0,84,0.632,0.49,0.047,777,0.183,0.322,0.257,0.716,0.107,2.9,0.432,0.56,0.169,0.015,0,0.527,0.236,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,"818, Vancouver Street, Creston, Regional District of Central Kootenay, British Columbia, V1B 1G0, Canada","(49.0978772, -116.5163929, 0.0)",49.097877200000006,-116.5163929,yes,yes,yes,health_authority,25.0,-116.51571470000002,49.1043599
tabor home,0.0,98H94,Fraser Health,31944 Sunrise Cres,Abbotsford,V2T1N5,(604) 859-8715,1960,"Resident Council, Family Council",Unknown,0.0,118.0,118.0,106.0,6.0,0.0,2,0,1,0,9,0,0,2,1,2,0.8,0,7.6,0,0,1.7,0.8,1.7,90,0.736,0.761,0.028,804,0.173,0.102,0.316,0.769,0.082,3.2,0.386,0.57,0.288,0.151,0,0.561,0.336,0.049,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,"Sunrise Crescent, South Clearbrook, Abbotsford, British Columbia, V2T 1N7, Canada","(49.0472421, -122.3376291, 0.0)",49.047242100000005,-122.3376291,yes,yes,unknown,non-profit,60.0,-122.3385113,49.0467932
talarico place - castlegar district community health centre,0.0,9C0DE,Interior Health,709 10th Street,Castlegar,V1N2H7,(250) 365-7221,1991,"Resident Council, Family Council",Accredited,0.0,60.0,60.0,38.0,11.0,0.0,1,0,1,2,5,1,0,0,0,0,1.7,3.3,8.3,1.7,0,0,0,0,88,0.717,0.724,0.016,721,0.244,0.449,0.327,0.571,0.088,2.4,0.483,0.6,0.215,0,0.01,0.449,0.066,0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,no,"10th Street, Castlegar, Regional District of Central Kootenay, British Columbia, V1N 1H4, Canada","(49.3144174, -117.6608054, 0.0)",49.314417399999996,-117.6608054,yes,yes,yes,health_authority,29.0,-117.66142430000001,49.314969299999994
terraceview lodge,0.0,9AIHF,Northern Health,4707 Kerby Avenue,Terrace,V8G2W2,(250) 631-4209,1984,"Resident Council, Family Council",Accredited,0.0,99.0,99.0,95.0,0.0,0.0,0,0,1,0,2,0,0,0,2,0,1,0,2,0,0,0,2,0,81,0.562,0.486,0.124,1122,0.179,0.254,0.403,0.667,0.129,2.3,0.552,0.56,0.03,0.045,0.04,0.363,0.276,0.103,1.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,"Kerby Avenue, Horseshoe, Terrace, Regional District of Kitimat-Stikine, British Columbia, V8G 3C4, Canada","(54.5334426, -128.5935008, 0.0)",54.5334426,-128.5935008,yes,yes,yes,health_authority,36.0,-128.5941273,54.5328428
the cascades care community,0.0,9A599,Fraser Health,45586 Mcintosh Drive,Chilliwack,V2P7W8,(604) 795-2500,2006,"Resident Council, Family Council",Unknown,13.0,106.0,119.0,101.0,9.0,0.0,0,0,0,0,16,0,1,0,2,1,0,0,13.4,0,0.8,0,1.7,0.8,88,0.66,0.723,0.034,710,0.148,0.277,0.296,0.666,0.138,2.2,0.642,0.6,0.002,0.019,0,0.594,0.2,0.071,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,no,"McIntosh Drive, Chilliwack, British Columbia, V2P 6Z3, Canada","(49.1608031, -121.9656901, 0.0)",49.1608031,-121.96569009999999,yes,yes,unknown,for-profit,14.0,-121.96296979999998,49.160818
the gardens at qualicum beach,0.0,9C6H8,Vancouver Island Health,650 Berwick Road North,Qualicum Beach,V9K2T8,(250) 752-2818,2006,"Resident Council, Family Council",Accredited,15.0,85.0,100.0,86.0,5.0,0.0,6,4,1,3,13,0,1,3,0,1,1,3,13,0,1,3,0,1,87,0.683,0.713,0.038,925,0.227,0.199,0.278,0.509,0.045,3.4,0.378,0.55,0.034,0.114,0,0.44,0.253,0.156,6.0,5.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,"Berwick Road, Qualicum Beach, Regional District of Nanaimo, British Columbia, V9K 2T0, Canada","(49.3432794, -124.4389709, 0.0)",49.3432794,-124.4389709,yes,yes,yes,for-profit,14.0,-124.4389709,49.3432794
the gateby,0.0,9AFCB,Interior Health,3000 Gateby Place,Vernon,V1T8V8,(250) 545-4456,1982,Resident & Family Council (combined),Accredited,0.0,75.0,75.0,75.0,0.0,0.0,0,0,4,0,11,0,0,0,8,3,5.3,0,14.7,0,0,0,10.7,4,85,0.661,0.582,0.016,607,0.409,0.387,0.243,0.696,0.078,2.9,0.4,0.63,0.152,0.639,0.087,0.517,0.242,0.152,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,"Gateby Place, Vernon, Regional District of North Okanagan, British Columbia, V1T 6G5, Canada","(50.2650127, -119.2830938, 0.0)",50.26501270000001,-119.2830938,yes,yes,yes,health_authority,38.0,-119.2822132,50.2640382
the hamlets at penticton,0.0,93510,Interior Health,103 Duncan Ave West,Penticton,V2A2Y3,(250) 490-8503,2008,"Resident Council, Family Council",Unknown,3.0,86.0,89.0,94.0,2.0,0.0,5,0,1,3,2,0,0,4,1,2,1.1,3.4,2.2,0,0,4.5,1.1,2.2,83,0.624,0.526,0.108,1684,0.303,0.18,0.18,0.607,0.067,3.6,0.281,0.58,0,0.112,0.326,0.427,0.242,0.04,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,"Duncan Avenue West, Penticton, Regional District of Okanagan-Similkameen, British Columbia, V2A 5E0, Canada","(49.4833336, -119.5895761, 0.0)",49.4833336,-119.58957609999999,yes,yes,unknown,for-profit,12.0,-119.58974189999999,49.484061600000004
