,Facility,Location,Prov.,Number of dead,Number of beds (appx),%,Public or private,Link,Street address,city/postal,phone,Health authority,Accreditation status,Councils,Private beds (not publicly funded),Publicly funded beds (short- and long-term),Total beds,Private rooms,Semi-private rooms,Multi-person rooms,Total direct care hours (hours per resident per day),Number of licensing complaints,Number substantiated licensing complaints,Number of Inspections,Number of licensing infractions found,Hygiene & communicable disease control,Average age of population,outbreak_status,residents_council,family_council,accreditation
278,Village by the Station,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/92CBA, 270 Hastings Avenue, Penticton V2A2V6, (250) 490-4949,Interior Health,Accredited,"Resident Council, Family Council",0,100,100,133,4,0,3.15,1,0,1,0,0,84,no,yes,yes,yes
279,Village at Mill Creek,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9911G, 1450 Sutherland Avenue, Kelowna V1Y5Y5, (250) 860-2216,Interior Health,Unknown,"Resident Council, Family Council",14,82,96,96,0,0,3.15,0,0,0,0,0,86,no,yes,yes,unknown
280,Village at Smith Creek,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9C1H6, 2425 Orlin Road, West Kelowna V4T3C7, (250) 768-0488,Interior Health,Unknown,Resident & Family Council (combined),1,138,139,130,8,0,3.15,0,0,0,0,0,86,no,yes,yes,unknown
281,Westview Extended Care - Pentiction Regional Hospital,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9A6F7, 550 Carmi Ave, Penticton V2A8P9, (250) 492-9039/(250) 492-9026,Interior Health,Accredited,"Resident Council, Family Council",0,102,102,10,10,18,3.19,0,0,1,4,1,86,no,yes,yes,yes
282,Westhaven,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9A642, 3949 Pt. Alberni Hwy, Port Alberni V9Y4S1, (250) 724-8875,Vancouver Island Health,Accredited,n/a,0,32,32,32,0,0,3.42,0,0,1,0,0,80,no,no,no,yes
283,West Shore Laylum,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9927D, 4900 Central Ave, Delta V4K2G7, (604) 946-2822,Fraser Health,Not Accredited,"Resident Council, Family Council",0,55,55,45,5,0,2.73,0,0,0,0,0,89,no,yes,yes,no
284,West Vancouver Care Centre,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9B9IG, 1675 27th Street, West Vancouver V7V4K9, (604) 925-1247,Vancouver Coastal Health,Unknown,"Resident Council, Family Council",3,75,78,23,16,7,2.5,0,0,1,2,0,87,no,yes,yes,unknown
285,Wexford Creek Seniors Community,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9358A, 80 10th Street, Nanaimo V9R0A8, (250) 753-4044,Vancouver Island Health,Accredited,Resident & Family Council (combined),0,110,110,110,0,0,3.11,6,2,5,12,1,85,no,yes,yes,yes
286,White Rock Seniors Village,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/993I1, 1183 Maple Street, White Rock V8B5K9, (604) 541-4663,Fraser Health,Accredited,"Resident Council, Family Council",11,60,71,59,6,0,2.8,0,0,6,11,2,89,no,yes,yes,yes
287,Williams Lake Seniors Village,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/92CIA, 1455 Western Avenue, Williams Lake V2G5N1, (250) 305-1131,Interior Health,Accredited,"Resident Council, Family Council",0,113,113,113,0,0,3.15,0,0,1,1,0,81,no,yes,yes,yes
288,William Rudd House,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/91828, 95 Blackberry Drive, New Westminster V3L5S7, (604) 517-8640,Fraser Health,Unknown,Resident Council,0,12,12,12,0,0,3.52,0,0,1,3,0,46,no,yes,no,unknown
289,Willingdon Care Centre,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9B79H, 4435 Grange St, Burnaby V5H1P4, (604) 433-2455,Fraser Health,Unknown,Resident Council,0,95,95,10,23,10,2.79,0,0,1,4,0,89,no,yes,no,unknown
290,Willingdon Creek Village,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/93FB0, 4980 Kiwanis Drive, Powell River V8A5H5, (604) 485-9868,Vancouver Coastal Health,Accredited,"Resident Council, Family Council",0,102,102,102,0,0,3.26,1,0,1,4,0,83,no,yes,yes,yes
291,Woodgrove Manor,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/91FGB, 6304 Metral Drive, Nanaimo V9T2L8, (250) 390-1036,Vancouver Island Health,Not Accredited,"Resident Council, Family Council",12,31,43,39,0,0,2.8,1,0,2,1,0,n/a,no,yes,yes,no
292,Yucalta Lodge,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/99EJC, 555 - 2nd Avenue, Campbell River V9W3V1, (250) 850-2900,Vancouver Island Health,Accredited,Resident Council,0,99,99,100,0,0,3.22,12,5,4,2,0,82,no,yes,no,yes
293,Youville Residence,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/99A15, 4950 Heather Street, Vancouver V5Z3L9, (604) 261-9371,Vancouver Coastal Health,Accredited,Resident & Family Council (combined),0,42,42,42,0,0,3.57,0,0,5,5,0,79,no,yes,yes,yes
294,Yaletown House,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9B0I5, 1099 Cambie Street, Vancouver V6B5A8, (604) 689-0022,Vancouver Coastal Health,Not Accredited,Resident & Family Council (combined),0,127,127,127,0,0,2.77,0,0,4,2,0,82,no,yes,yes,no
295,Wrinch Memorial Hospital,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9A63B, 2510 West Hwy 62, Hazelton V0J1Y0, (250) 842-5211,Northern Health,Accredited,n/a,0,10,10,1,5,0,3.24,n/a,n/a,1,8,0,88,no,no,no,yes
296,Zion Park Manor,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/99444, 5939-180th St, Surrey V3S4L2, (604) 576-2891,Fraser Health,Not Accredited,Resident & Family Council (combined),29,70,99,99,0,0,3.08,0,0,1,2,0,85,no,yes,yes,no
