index,name,address,city_and_postal_code,LHIN,licensee,management,home_type,beds,short_stay,residents_council,family_council,accreditation,additional_info,city,postal_code,number_of_beds,first_inspection_date,total_inspections,5y_inspections,2y_inspections,total_complaints,5y_complaints,2y_complaints,total_critical,5y_critical,2y_critical,total_withOrders,5y_withOrders,2y_withOrders
275,HILLSDALE TERRACES,600 Oshawa Blvd. North,"Oshawa, L1G5T9",Central East,Regional Municipality Of Durham,,Municipal,Home with approximately 200 beds,No,Yes,Yes,Yes,,Oshawa, L1G5T9,200,2010-08-16,57,26,9,30,14,6,20,8,3,5,3,1
276,HILLSIDE MANOR,R. R. #5,"Stratford, N5A6S6",South West,Revera Long Term Care Inc.,,For-Profit,Home with approximately 90 beds,No,Yes,Yes,Yes,,Stratford, N5A6S6,90,2010-08-26,29,17,9,8,5,3,15,8,6,1,1,
277,HILLTOP MANOR NURSING HOME (MERRICKVILLE),1005 St Lawrence Street P.O. Box 430,"Merrickville, K0G1N0",South East,Hilltop Manor Nursing Home,,For-Profit,Home with approximately 60 beds,No,Yes,Yes,No,,Merrickville, K0G1N0,60,2010-08-01,43,14,7,23,5,3,5,4,2,8,2,1
278,HOGARTH RIVERVIEW MANOR,300 Lillie Street,"Thunder Bay, P7C4Y7",North West,St. Joseph's Care Group,Extendicare (Canada) Inc.,Non-Profit,Home with approximately 543 beds,No,Yes,Yes,Yes,,Thunder Bay, P7C4Y7,543,2010-09-21,89,67,38,33,25,14,26,20,15,44,37,17
279,HOPE STREET TERRACE,20 Hope Street South,"Port Hope, L1A2M8",Central East,"Cvh (No. 6) Lp By Its General Partners, Southbridge Health Care Gp Inc. And Southbridge Care Homes (A Limited Partnership, By Its General Partner, Southbridge Care Homes Inc.)",,For-Profit,Home with approximately 97 beds,Yes,Yes,No,Yes,,Port Hope, L1A2M8,97,2010-09-17,43,24,12,10,6,4,19,11,6,6,1,1
280,HORNEPAYNE COMMUNITY HOSPITAL,278 Front Street P.O. Box 190,"Hornepayne, P0M1Z0",North East,Hornepayne Community Hospital,,Non-Profit,Home with approximately 12 beds,No,No,No,Yes,,Hornepayne, P0M1Z0,12,2011-06-14,12,8,5,2,,,,,,7,7,4
281,HUMBER VALLEY TERRACE,95 Humber College Blvd.,"Rexdale, M9V5B5",Central West,Humber Valley Terrace Operating Inc.,,For-Profit,Home with approximately 158 beds,No,Yes,Yes,Yes,,Rexdale, M9V5B5,158,2010-11-30,35,17,4,18,5,2,8,5,1,8,7,2
283,HURON LODGE LONG TERM CARE HOME,1881 Cabana Road West,"Windsor, N9G1C7",Erie St. Clair,Corporation Of The City Of Windsor,,Municipal,Home with approximately 224 beds,Yes,Yes,No,Yes,,Windsor, N9G1C7,224,2010-11-03,45,27,11,25,12,4,15,10,5,,,
284,HURONLEA HOME FOR THE AGED,820 Turnberry Street South,"Brussels, N0G1H0",South West,Corporation Of The County Of Huron,,Municipal,Home with approximately 64 beds,No,Yes,Yes,No,,Brussels, N0G1H0,64,2010-08-31,28,17,8,6,6,3,13,5,4,4,2,1
285,HURONVIEW HOME FOR THE AGED,77722A London Road R.R. #5,"Clinton, N0M1L0",South West,Corporation Of The County Of Huron,,Municipal,Home with approximately 120 beds,No,Yes,Yes,No,,Clinton, N0M1L0,120,2010-09-15,39,18,7,14,7,1,18,8,6,4,1,
286,HYLAND CREST,6 McPherson Street P.O. Box 30,"Minden, K0M2K0",Central East,Haliburton Highlands Health Services Corporation,,Municipal,Home with approximately 62 beds,Yes,Yes,Yes,Yes,,Minden, K0M2K0,62,2010-10-19,22,13,8,3,1,,11,7,7,7,4,2
287,IDLEWYLD MANOR,449 Sanatorium Road,"Hamilton, L9C2A7",Hamilton Niagara Haldimand Brant (Hnhb),Idlewyld Manor,,Non-Profit,Home with approximately 192 beds,No,Yes,Yes,Yes,,Hamilton, L9C2A7,192,2010-08-17,61,22,14,27,6,4,20,6,5,15,11,7
288,ILER LODGE,111 Iler Avenue,"Essex, N8M1T6",Erie St. Clair,Axr Operating (National) Lp,,For-Profit,Home with approximately 104 beds,No,Yes,Yes,Yes,,Essex, N8M1T6,104,2010-08-26,108,49,21,48,24,11,50,19,8,3,2,
289,INA GRAFTON GAGE HOME,40 Bell Estate Road,"Scarborough, M1L0E2",Central East,Ina Grafton Gage Home Of Toronto,,Non-Profit,Home with approximately 128 beds,No,No,Yes,Yes,,Scarborough, M1L0E2,128,2010-07-08,61,30,9,32,15,4,16,9,4,13,5,2
290,IOOF SENIORS HOME,10 Brooks Street,"Barrie, L4N7X2",North Simcoe Muskoka,Ioof Seniors Homes Inc.,,Non-Profit,Home with approximately 188 beds,Yes,Yes,Yes,No,,Barrie, L4N7X2,188,2011-02-09,30,18,8,11,4,,10,8,5,10,7,3
291,IROQUOIS LODGE NURSING HOME,1755 Chiefswood Road P.O. Box 309,"Ohsweken, N0A1M0",Hamilton Niagara Haldimand Brant (Hnhb),Six Nations Of The Grand River,,Non-Profit,Home with approximately 50 beds,Yes,Yes,Yes,Yes,,Ohsweken, N0A1M0,50,2011-05-18,18,13,8,5,2,1,5,4,4,4,4,2
292,ISABEL AND ARTHUR MEIGHEN MANOR,155 Millwood Road,"Toronto, M4S1J6",Toronto Central,The Governing Council Of The Salvation Army In Canada,,Non-Profit,Home with approximately 168 beds,No,Yes,Yes,Yes,,Toronto, M4S1J6,168,2011-01-06,37,19,10,21,6,4,8,6,4,6,5,3
293,IVAN FRANKO HOME (ETOBICOKE),767 Royal York Road,"Toronto, M8Y2T3",Toronto Central,Ukrainian Home For The Aged,,Non-Profit,Home with approximately 85 beds,No,Yes,Yes,Yes,,Toronto, M8Y2T3,85,2011-09-08,11,7,5,1,,,5,4,4,1,,
294,JOHN NOBLE HOME,97 Mount Pleasant Street,"Brantford, N3T1T5",Hamilton Niagara Haldimand Brant (Hnhb),The John Noble Home,,Municipal,Home with approximately 156 beds,No,Yes,Yes,Yes,,Brantford, N3T1T5,156,2010-09-09,25,9,4,7,3,2,10,3,2,2,2,1
295,KEMPTVILLE DISTRICT HOSPITAL,2675 Concession Road P. O. Bag 2007,"Kemptville, K0G1J0",Champlain,Kemptville District Hospital,,Non-Profit,Home with approximately 12 beds,Yes,Yes,Yes,Yes,,Kemptville, K0G1J0,12,2011-10-19,13,9,4,1,,,,,,4,4,1
296,KENNEDY LODGE,1400 Kennedy Road,"Scarborough, M1P4V6",Central East,Revera Long Term Care Inc.,,For-Profit,Home with approximately 289 beds,Yes,Yes,Yes,Yes,,Scarborough, M1P4V6,289,2011-07-18,25,11,7,7,3,3,13,4,3,2,2,1
297,KENSINGTON VILLAGE,1340 Huron Street,"London, N5V3R3",South West,Sharon Farms & Enterprises Limited,,For-Profit,Home with approximately 126 beds,Yes,Yes,Yes,Yes,,London, N5V3R3,126,2010-07-20,72,28,6,41,13,1,13,7,2,10,4,1
298,KENTWOOD PARK,2 Ontario Street,"Picton, K0K2T0",South East,0760444 B.C. Ltd. As General Partner On Behalf Of Omni Health Care Limited Partnership,,For-Profit,Home with approximately 45 beds,No,Yes,Yes,Yes,,Picton, K0K2T0,45,2010-09-08,28,14,7,8,3,2,13,7,4,2,1,1
299,KILEAN LODGE,83 Main Street East,"Grimsby, L3M1N6",Hamilton Niagara Haldimand Brant (Hnhb),Revera Long Term Care Inc.,,For-Profit,Home with approximately 50 beds,No,Yes,Yes,Yes,,Grimsby, L3M1N6,50,2010-10-29,18,8,5,5,2,2,8,3,3,1,1,1
300,KING CITY LODGE NURSING HOME,146 Fog Road,"King City, L7B1A3",Central,Poranganel Holdings Limited,,For-Profit,Home with approximately 36 beds,No,Yes,Yes,Yes,,King City, L7B1A3,36,2011-09-30,13,8,3,7,4,3,1,,,1,1,
301,KING NURSING HOME,49 Sterne Street,"Bolton, L7E1B9",Central West,King Nursing Home Limited,,For-Profit,Home with approximately 86 beds,Yes,Yes,Yes,Yes,,Bolton, L7E1B9,86,2010-08-17,56,23,13,13,4,2,16,7,5,23,9,5
302,KINGSWAY LODGE NURSING HOME,310 Queen Street East R.R. #6,"St. Marys, N4X1C8",South West,Kingsway Nursing Homes Limited,,For-Profit,Home with approximately 63 beds,Yes,Yes,Yes,No,,St. Marys, N4X1C8,63,2010-11-30,19,11,5,6,2,1,6,4,3,3,2,2
303,KIPLING ACRES,2233 Kipling Avenue,"Etobicoke, M9W4L3",Central West,Toronto Long-term Care Homes And Services,,Municipal,Home with approximately 337 beds,Yes,Yes,Yes,Yes,,Etobicoke, M9W4L3,337,2010-09-07,44,23,14,19,8,6,18,10,7,3,3,2
304,KNOLLCREST LODGE,50 William Street,"Milverton, N0K1M0",South West,Knollcrest Lodge,,Non-Profit,Home with approximately 78 beds,Yes,Yes,Yes,No,,Milverton, N0K1M0,78,2010-12-20,14,6,3,4,1,1,6,2,2,1,1,
305,KRISTUS DARZS LATVIAN HOME,11290 Pine Valley Drive,"Woodbridge, L4L1A6",Central,Kristus Darzs Latvian Home,,Non-Profit,Home with approximately 100 beds,Yes,Yes,No,No,,Woodbridge, L4L1A6,100,2011-11-17,18,13,6,4,4,1,7,5,4,5,4,4
306,LABDARA LITHUANIAN NURSING HOME,5 Resurrection Road,"Toronto, M9A5G1",Mississauga Halton,Labdara Foundation,Assured Care Consulting Inc.,Non-Profit,Home with approximately 90 beds,No,Yes,Yes,No,,Toronto, M9A5G1,90,2010-09-28,19,7,4,6,,,8,3,3,1,1,
307,LADY DUNN HEALTH CENTRE (WAWA),17 Government Road P.O. Box 179,"Wawa, P0S1K0",North East,Lady Dunn Health Centre,,Non-Profit,Home with approximately 16 beds,Yes,Yes,Yes,Yes,,Wawa, P0S1K0,16,2011-11-16,15,10,3,2,1,,5,3,1,7,6,1
309,LAKELAND LONG TERM CARE (ELDCAP),6 Albert Street,"Parry Sound, P2A3A4",North East,West Parry Sound Health Centre,,Non-Profit,Home with approximately 20 beds,No,No,No,No,,Parry Sound, P2A3A4,20,2011-12-08,14,9,3,3,1,,6,4,3,2,1,
310,LAKELAND LONG TERM CARE SERVICES,6 Albert Street,"Parry Sound, P2A3A4",North East,Lakeland Long Term Care Services Corporation,,Non-Profit,Home with approximately 90 beds,No,Yes,No,No,,Parry Sound, P2A3A4,90,2011-12-08,24,18,11,5,3,2,10,7,6,8,7,3
311,LAKESHORE LODGE,3197 Lakeshore Blvd. West,"Etobicoke, M8V3X5",Toronto Central,Toronto Long-term Care Homes And Services,,Municipal,Home with approximately 150 beds,No,Yes,Yes,Yes,,Etobicoke, M8V3X5,150,2011-01-11,17,10,6,10,3,2,4,4,4,,,
312,LAKESIDE LONG TERM CARE CENTRE,150 Dunn Avenue,"Toronto, M6K2R6",Toronto Central,Toronto Rehabilitation Institute,Extendicare (Canada) Inc.,Non-Profit,Home with approximately 128 beds,Yes,Yes,Yes,Yes,,Toronto, M6K2R6,128,2011-12-20,14,9,4,6,3,2,2,1,1,1,,
313,LAKEVIEW MANOR,133 Main Street P.O. Box 514,"Beaverton, L0K1A0",Central East,Regional Municipality Of Durham,,Municipal,Home with approximately 149 beds,Yes,Yes,Yes,Yes,,Beaverton, L0K1A0,149,2010-07-14,31,15,6,9,3,1,13,6,5,4,2,
314,LAMBTON MEADOWVIEW VILLA,3958 Petrolia Line R. R. #4,"Petrolia, N0N1R0",Erie St. Clair,The Corporation Of The County Of Lambton,,Municipal,Home with approximately 125 beds,No,Yes,Yes,No,,Petrolia, N0N1R0,125,2010-11-04,34,21,9,10,7,2,18,10,5,3,3,
315,LANARK HEIGHTS LONG TERM CARE CENTRE,46 Lanark Crescent,"Kitchener, N2N2Z8",Waterloo Wellington,Steeves & Rozema Enterprises Limited,,For-Profit,Home with approximately 160 beds,No,Yes,Yes,Yes,,Kitchener, N2N2Z8,160,2010-08-26,82,20,7,34,8,3,33,8,4,10,3,
316,LANARK LODGE,"115 Christie Lake Road, R. R. #4 Lot 27, Concession 2","Perth, K7H3C6",South East,The Corporation Of The County Of Lanark,,Municipal,Home with approximately 163 beds,Yes,Yes,Yes,Yes,,Perth, K7H3C6,163,2010-08-10,37,27,15,14,10,6,15,11,7,3,3,2
317,LANCASTER LONG TERM CARE RESIDENCE,105 Military Road North P.O. Box 429,"Lancaster, K0C1N0",Champlain,"Dtoc Ii Long Term Care Lp, By Its General Partner, Dtoc Ii Long Term Care Mgp (A General Partnership) By Its Partners, Dtoc Ii Long Term Care Gp Inc. And Arch Venture Holdings Inc.",Responsive Health Management Inc.,For-Profit,Home with approximately 60 beds,No,Yes,Yes,Yes,,Lancaster, K0C1N0,60,2011-10-26,38,22,8,,,,22,12,8,5,4,
318,LANGSTAFF SQUARE CARE COMMUNITY,170 Red Maple Road,"Richmond Hill, L4B4T8",Central,2063414 Ontario Limited As General Partner Of 2063414 Investment Lp,,For-Profit,Home with approximately 160 beds,No,Yes,Yes,Yes,,Richmond Hill, L4B4T8,160,2010-09-27,20,15,7,13,8,4,3,3,3,3,3,2
319,LAPOINTE-FISHER NURSING HOME,271 Metcalfe Street,"Guelph, N1E4Y8",Waterloo Wellington,"Lapointe-fisher Nursing Home, Limited",,For-Profit,Home with approximately 92 beds,No,Yes,Yes,Yes,,Guelph, N1E4Y8,92,2010-09-08,55,33,18,24,14,7,15,10,6,15,11,7
320,LEACOCK CARE CENTRE,25 Museum Drive,"Orillia, L3V7T9",North Simcoe Muskoka,Orillia Long Term Care Centre Inc.,,For-Profit,Home with approximately 145 beds,Yes,Yes,Yes,Yes,"705-325-9181 ext.  201
doc: cara sander
rcollins@jarlette.com
",Orillia, L3V7T9,145,2010-09-15,41,29,15,14,8,3,14,10,6,10,9,5
322,LEAMINGTON MENNONITE HOME LONG TERM CARE RESIDENCE,35 Pickwick Drive,"Leamington, N8H4T5",Erie St. Clair,The Leamington United Mennonite Home And Apartments,,Non-Profit,Home with approximately 84 beds,No,Yes,Yes,No,,Leamington, N8H4T5,84,2010-11-17,20,13,6,6,3,1,5,5,3,1,1,
323,LEE MANOR HOME,875 Sixth Street East,"Owen Sound, N4K5W5",South West,Corporation Of The County Of Grey,,Municipal,Home with approximately 150 beds,No,Yes,Yes,No,,Owen Sound, N4K5W5,150,2010-11-03,37,17,11,15,5,4,16,7,5,2,2,2
325,LINHAVEN,403 Ontario Street,"St. Catharines, L2N1L5",Hamilton Niagara Haldimand Brant (Hnhb),The Regional Municipality Of Niagara,,Municipal,Home with approximately 248 beds,Yes,Yes,Yes,Yes,,St. Catharines, L2N1L5,248,2010-09-21,56,21,12,22,6,3,21,11,7,10,5,3
326,LONGFIELDS MANOR,330 Beatrice Drive,"Nepean, K2J5A5",Champlain,Axr Operating (National) Lp,,For-Profit,Home with approximately 114 beds,No,Yes,Yes,Yes,,Nepean, K2J5A5,114,2011-07-12,34,22,10,14,9,5,15,9,4,,,
327,MACASSA LODGE,701 Upper Sherman Avenue,"Hamilton, L8V3M7",Hamilton Niagara Haldimand Brant (Hnhb),City Of Hamilton,,Municipal,Home with approximately 270 beds,No,Yes,Yes,Yes,,Hamilton, L8V3M7,270,2010-09-22,31,18,11,10,3,3,10,7,5,6,4,2
328,MACKENZIE HEALTH LONG TERM CARE FACILITY,10 Trench Street,"Richmond Hill, L4C4Z3",Central,Mackenzie Health,Universalcare Canada Inc.,Non-Profit,Home with approximately 168 beds,No,Yes,Yes,Yes,,Richmond Hill, L4C4Z3,168,2011-10-19,25,16,8,11,6,4,8,5,3,5,3,2
329,MACKENZIE PLACE,52 George Street,"Newmarket, L3Y4V3",Central,Revera Long Term Care Inc.,,For-Profit,Home with approximately 93 beds,No,Yes,Yes,Yes,,Newmarket, L3Y4V3,93,2011-02-07,27,21,10,14,11,5,7,6,5,2,2,1
330,MADONNA CARE COMMUNITY,1541 St. Joseph Boulevard,"Orleans, K1C7L3",Champlain,The Royale Development Lp,,For-Profit,Home with approximately 160 beds,No,Yes,Yes,Yes,,Orleans, K1C7L3,160,2011-05-17,111,68,40,43,24,14,48,32,20,11,6,4
331,MAIN STREET TERRACE,77 Main Street,"Toronto, M4E2V6",Toronto Central,Revera Long Term Care Inc.,,For-Profit,Home with approximately 150 beds,Yes,Yes,Yes,Yes,,Toronto, M4E2V6,150,2010-10-05,49,25,9,26,10,5,12,10,4,6,2,
332,MAITLAND MANOR,290 South Street,"Goderich, N7A4G6",South West,Grosvenor Health Care Partnership (No. 3),Extendicare (Canada) Inc.,For-Profit,Home with approximately 91 beds,Yes,Yes,Yes,Yes,,Goderich, N7A4G6,91,2011-03-02,36,22,11,12,6,3,16,9,5,7,5,4
334,MALTON VILLAGE LONG TERM CARE CENTRE,7075 Rexwood Road,"Mississauga, L4T4M1",Central West,The Regional Municipality Of Peel,,Municipal,Home with approximately 160 beds,No,Yes,Yes,Yes,,Mississauga, L4T4M1,160,2010-07-22,62,21,14,29,6,5,18,7,5,6,4,2
335,MANITOULIN CENTENNIAL MANOR HOME FOR THE AGED,70 Robinson Street Postal Bag 460,"Little Current, P0P1K0",North East,Manitoulin Centennial Manor Home For The Aged Board Of Management,Extendicare (Canada) Inc.,Municipal,Home with approximately 60 beds,No,Yes,No,No,,Little Current, P0P1K0,60,2011-02-28,26,12,6,7,2,1,11,5,3,10,3,1
336,MANITOULIN LODGE,3 Main Street P. O. Box 648,"Gore Bay, P0P1H0",North East,584482 Ontario Inc.,,For-Profit,Home with approximately 61 beds,Yes,Yes,Yes,Yes,,Gore Bay, P0P1H0,61,2010-07-23,28,12,8,10,3,3,11,4,4,5,3,
337,MANOIR MAROCHEL,949 Montreal Road,"Ottawa, K1K0S6",Champlain,"Cvh (No. 4) Lp By Its General Partners, Southbridge Health Care Gp Inc. And Southbridge Care Homes (A Limited Partnership, By Its General Partner, Southbridge Care Homes Inc.)",,For-Profit,Home with approximately 64 beds,No,Yes,Yes,No,,Ottawa, K1K0S6,64,2011-05-18,115,68,22,29,14,4,34,18,10,43,30,4
338,MAPLE GROVE CARE COMMUNITY,215 Sunny Meadow Blvd.,"Brampton, L6R3B5",Central West,2063415 Ontario Limited As General Partner Of 2063415 Investment Lp,,For-Profit,Home with approximately 160 beds,No,Yes,Yes,Yes,,Brampton, L6R3B5,160,2010-07-20,39,24,15,18,11,7,12,5,4,11,11,7
339,MAPLE MANOR NURSING HOME,73 Bidwell Street,"Tillsonburg, N4G3T8",South West,Maplewood Nursing Home Limited,,For-Profit,Home with approximately 106 beds,No,Yes,Yes,Yes,,Tillsonburg, N4G3T8,106,2010-10-26,29,16,8,7,2,,12,6,5,7,7,5
340,MAPLE PARK LODGE,6 Hagey Avenue,"Fort Erie, L2A5M5",Hamilton Niagara Haldimand Brant (Hnhb),1365853 Ontario Limited,,For-Profit,Home with approximately 96 beds,No,Yes,Yes,Yes,,Fort Erie, L2A5M5,96,2011-01-19,26,15,5,9,4,2,11,7,3,4,2,
341,MAPLE VIEW,1029-4Th Avenue West,"Owen Sound, N4K4W1",South West,"Cvh (No. 3) Lp By Its General Partners, Southbridge Health Care Gp Inc. And Southbridge Care Homes (A Limited Partnership, By Its General Partner, Southbridge Care Homes Inc.)",,For-Profit,Home with approximately 29 beds,No,Yes,Yes,Yes,,Owen Sound, N4K4W1,29,2010-07-21,19,9,3,3,1,,9,3,2,4,2,
342,MAPLE VIEW LODGE,"746 County Road, 42 East P.O. Box 100","Athens, K0E1B0",South East,United Counties Of Leeds And Grenville,,Municipal,Home with approximately 60 beds,No,Yes,Yes,No,,Athens, K0E1B0,60,2011-06-08,33,14,4,7,3,1,15,4,1,5,3,1
343,MAPLE VILLA LONG TERM CARE CENTRE,441 Maple Avenue,"Burlington, L7S1L8",Hamilton Niagara Haldimand Brant (Hnhb),Dallov Holdings Limited,,For-Profit,Home with approximately 93 beds,No,Yes,Yes,Yes,,Burlington, L7S1L8,93,2011-02-15,18,11,5,8,6,3,4,2,2,4,1,
344,MAPLEWOOD,12 Maplewood Avenue Box 249,"Brighton, K0K1H0",South East,0760444 B.C. Ltd. As General Partner On Behalf Of Omni Health Care Limited Partnership,,For-Profit,Home with approximately 49 beds,No,Yes,Yes,Yes,,Brighton, K0K1H0,49,2011-10-12,25,19,10,3,2,2,14,11,6,6,5,3
346,MARIANHILL NURSING HOME,600 Cecelia Street,"Pembroke, K8A7Z3",Champlain,Marianhill Inc.,,Non-Profit,Home with approximately 139 beds,Yes,Yes,Yes,Yes,,Pembroke, K8A7Z3,139,2011-11-30,32,22,12,12,8,6,15,10,6,,,
347,MARIANN HOME,9915 Yonge Street,"Richmond Hill, L4C1V1",Central,Mariann Nursing Home And Residence,,Non-Profit,Home with approximately 64 beds,No,Yes,Yes,Yes,,Richmond Hill, L4C1V1,64,2010-12-12,13,6,3,2,1,,4,2,2,4,2,
348,MARKHAVEN,54 Parkway Avenue,"Markham, L3P2G4",Central,"Markhaven, Inc.",,Non-Profit,Home with approximately 96 beds,No,No,Yes,No,,Markham, L3P2G4,96,2010-11-08,27,15,10,9,2,2,8,5,4,6,5,4
349,MARSHALL GOWLAND MANOR,749 Devine Street,"Sarnia, N7T1X3",Erie St. Clair,The Corporation Of The County Of Lambton,,Municipal,Home with approximately 126 beds,No,Yes,Yes,No,,Sarnia, N7T1X3,126,2010-08-27,63,32,14,28,14,5,25,14,8,4,3,3
350,MAUNO KAIHLA KOTI,723 North Street,"Sault Ste Marie, P6B6G8",North East,The Ontario-finnish Resthome Association,,Non-Profit,Home with approximately 63 beds,Yes,Yes,Yes,No,,Sault Ste Marie, P6B6G8,63,2011-11-02,21,13,4,5,3,1,6,4,2,3,1,
351,MAXVILLE MANOR,80 Mechanic Street West,"Maxville, K0C1T0",Champlain,Maxville Manor,,Non-Profit,Home with approximately 122 beds,Yes,Yes,Yes,No,,Maxville, K0C1T0,122,2010-09-17,32,10,3,12,3,2,10,3,,7,1,1
352,MAYNARD NURSING HOME,28 Halton Street,"Toronto, M6J1R3",Toronto Central,Schlegel Villages Inc,,For-Profit,Home with approximately 77 beds,No,Yes,Yes,Yes,,Toronto, M6J1R3,77,2011-08-25,21,11,4,8,1,,4,2,2,8,6,2
353,MCCALL CENTRE LONG TERM CARE INTERIM UNIT,140 SHERWAY DRIVE,"ETOBICOKE, M9C1A4",Mississauga Halton,The Credit Valley Hospital & Trillium Health Cntr,Extendicare (Canada) Inc.,Non-Profit,Home with approximately 21 beds,No,Yes,No,Yes,,ETOBICOKE, M9C1A4,21,2012-09-07,11,8,4,1,,,,,,2,2,2
354,MCCORMICK HOME,2022 Kains Road,"London, N6K0A8",South West,The Women's Christian Association Of London,,Non-Profit,Home with approximately 160 beds,Yes,Yes,Yes,Yes,,London, N6K0A8,160,2010-08-24,48,19,10,18,4,1,24,11,7,,,
355,MCGARRELL PLACE,355 McGarrell Drive,"London, N6G0B1",South West,Axr Operating (National) Lp,,For-Profit,Home with approximately 157 beds,No,Yes,Yes,Yes,,London, N6G0B1,157,2011-02-18,50,24,13,14,7,2,31,14,11,1,,
356,MEADOW PARK (LONDON),1210 Southdale Road East,"London, N6E1B4",South West,Meadow Park (London) Inc.,,For-Profit,Home with approximately 126 beds,Yes,Yes,Yes,Yes,,London, N6E1B4,126,2010-08-11,91,51,14,48,26,8,26,16,4,12,9,2
357,MEADOW PARK NURSING HOME (CHATHAM),110 Sandys Street,"Chatham, N7L4X3",Erie St. Clair,Meadow Park (Chatham) Inc.,,For-Profit,Home with approximately 99 beds,Yes,Yes,Yes,Yes,,Chatham, N7L4X3,99,2011-11-04,19,8,5,8,2,2,6,2,2,,,
358,MEAFORD LONG TERM CARE - A PEOPLECARE COMMUNITY,135 William Street,"Meaford, N4L1T4",South West,Meaford Nursing Home Limited,,For-Profit,Home with approximately 77 beds,Yes,Yes,Yes,Yes,,Meaford, N4L1T4,77,2010-11-04,37,10,6,10,2,2,14,3,2,7,3,3
359,MENNONITE BRETHREN SENIOR CITIZENS HOME,1 Tabor Drive,"St Catharines, L2N1V9",Hamilton Niagara Haldimand Brant (Hnhb),Mennonite Brethren Senior Citizens Home,,Non-Profit,Home with approximately 82 beds,Yes,Yes,Yes,No,,St Catharines, L2N1V9,82,2010-10-08,28,13,6,5,1,,13,6,4,4,4,1
360,MIDDLESEX TERRACE,2094 Gideon Drive R.R. #1,"Delaware, N0L1E0",South West,Middlesex Terrace Limited,Apans Health Services,For-Profit,Home with approximately 105 beds,No,Yes,Yes,Yes,,Delaware, N0L1E0,105,2010-08-24,43,21,7,10,5,,25,11,6,3,2,
361,MIDLAND GARDENS CARE COMMUNITY,130 Midland Avenue,"Scarborough, M1N4B2",Central East,2063414 Ontario Limited As General Partner Of 2063414 Investment Lp,,For-Profit,Home with approximately 299 beds,Yes,Yes,Yes,Yes,,Scarborough, M1N4B2,299,2010-07-16,86,62,39,40,28,21,27,17,10,33,32,17
362,MILL CREEK CARE CENTRE,286 Hurst Drive,"Barrie, L4N0Z3",North Simcoe Muskoka,Mill Creek Care Centre,,Non-Profit,Home with approximately 160 beds,Yes,Yes,Yes,Yes,,Barrie, L4N0Z3,160,2011-01-30,38,16,9,18,4,3,11,6,3,12,8,4
363,MILLENNIUM TRAIL MANOR,6861 Oakwood Drive,"Niagara Falls, L2E6S5",Hamilton Niagara Haldimand Brant (Hnhb),955464 Ontario Limited,,For-Profit,Home with approximately 160 beds,No,Yes,Yes,Yes,,Niagara Falls, L2E6S5,160,2010-12-14,51,24,14,23,9,5,17,9,7,13,4,1
364,MIRAMICHI LODGE,725 Pembroke Street West,"Pembroke, K8A8S6",Champlain,County Of Renfrew,,Municipal,Home with approximately 166 beds,Yes,Yes,Yes,Yes,,Pembroke, K8A8S6,166,2010-10-22,30,18,10,11,8,5,15,7,5,1,1,1
365,MISSISSAUGA LONG TERM CARE FACILITY,26 Peter Street North,"Mississauga, L5H2G7",Mississauga Halton,Mississauga Long Term Care Facility Inc.,,For-Profit,Home with approximately 55 beds,No,Yes,No,Yes,,Mississauga, L5H2G7,55,2010-08-30,15,11,6,3,3,2,3,3,3,4,4,1
366,MITCHELL NURSING HOME,"184 Napier Street, S.S. #1","Mitchell, N0K1N0",South West,Ritz Lutheran Villa,,Non-Profit,Home with approximately 48 beds,No,Yes,Yes,No,,Mitchell, N0K1N0,48,2010-08-31,35,11,6,14,5,2,9,2,2,6,1,1
367,MOIRA PLACE LONG-TERM CARE HOME,415 River Street West P.O. Box 200,"Tweed, K0K3J0",South East,Aon Inc.,,For-Profit,Home with approximately 128 beds,No,Yes,Yes,Yes,,Tweed, K0K3J0,128,2011-07-28,37,27,7,12,7,2,14,13,4,5,2,
368,MON SHEONG HOME FOR THE AGED,36 D'Arcy Street,"Toronto, M5T1J7",Toronto Central,Mon Sheong Foundation,,Non-Profit,Home with approximately 105 beds,Yes,Yes,No,No,,Toronto, M5T1J7,105,2010-12-02,13,9,4,3,1,1,4,4,3,,,
369,MON SHEONG RICHMOND HILL LONG TERM CARE CENTRE,11199 Yonge Street,"Richmond Hill, L4S1L2",Central,Mon Sheong Foundation,,Non-Profit,Home with approximately 192 beds,Yes,Yes,Yes,No,,Richmond Hill, L4S1L2,192,2011-10-14,13,10,6,4,4,4,4,2,2,,,
370,MON SHEONG SCARBOROUGH LONG TERM CARE CENTRE,2030 Mcnicoll Avenue,"Scarborough, M1V5P4",Central East,Mon Sheong Foundation,,Non-Profit,Home with approximately 160 beds,Yes,Yes,Yes,No,,Scarborough, M1V5P4,160,2011-11-26,18,13,6,5,4,2,8,6,3,2,1,
371,MONTFORT,705 Montreal Road,"Ottawa, K1K0M9",Champlain,Revera Long Term Care Inc.,,For-Profit,Home with approximately 128 beds,No,Yes,Yes,Yes,,Ottawa, K1K0M9,128,2011-03-02,89,53,26,43,25,22,27,10,4,14,12,
